,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-12,2020-10-29,2020-11-06,0.205,"Income, Qualified",Regular,Quarterly,3
1,2020-08-13,2020-07-30,2020-08-07,0.205,"Income, Qualified",Regular,Quarterly,4
2,2020-05-14,2020-04-30,2020-05-08,0.205,"Income, Qualified",Regular,Quarterly,0
3,2020-02-13,2020-01-28,2020-02-07,0.205,"Income, Qualified",Regular,Quarterly,3
4,2019-11-14,2019-10-30,2019-11-07,0.205,"Income, Qualified",Regular,Quarterly,0
5,2019-08-15,2019-07-30,2019-08-09,0.205,"Income, Qualified",Regular,Quarterly,2
6,2019-05-16,2019-04-30,2019-05-10,0.205,"Income, Qualified",Regular,Quarterly,36
7,2019-02-14,2019-01-29,2019-02-08,0.205,"Income, Qualified",Regular,Quarterly,8
8,2018-11-15,2018-11-01,2018-11-08,0.205,"Income, Qualified",Regular,Quarterly,-
9,2018-08-16,2018-07-31,2018-08-10,0.205,"Income, Qualified",Regular,Quarterly,2
10,2018-05-17,2018-05-01,2018-05-11,0.205,"Income, Qualified",Regular,Quarterly,15
11,2018-02-15,2018-02-01,2018-02-09,0.205,"Income, Qualified",Regular,Quarterly,0
12,2017-11-16,2017-11-02,2017-11-10,0.205,"Income, Qualified",Regular,Quarterly,26
13,2017-08-17,2017-08-01,2017-08-10,0.205,"Income, Qualified",Regular,Quarterly,3
14,2017-05-18,2017-05-02,2017-05-11,0.205,"Income, Qualified",Regular,Quarterly,0
15,2017-02-16,2017-01-31,2017-02-09,0.205,"Income, Qualified",Regular,Quarterly,0
16,2016-11-10,2016-10-25,2016-11-03,0.205,"Income, Qualified",Regular,Quarterly,12
17,2016-08-11,2016-07-26,2016-08-04,0.205,"Income, Qualified",Regular,Quarterly,0
18,2016-05-12,2016-04-26,2016-05-05,0.205,"Income, Qualified",Regular,Quarterly,9
19,2016-02-11,2016-01-26,2016-02-04,0.205,"Income, Qualified",Regular,Quarterly,0
20,2015-11-12,2015-10-27,2015-11-05,0.205,"Income, Qualified",Regular,Quarterly,-
21,2015-08-13,2015-07-21,2015-08-06,0.205,"Income, Qualified",Regular,Quarterly,1
22,2015-05-14,2015-04-27,2015-05-07,0.205,"Income, Qualified",Regular,Quarterly,0
23,2015-02-12,2015-01-27,2015-02-05,0.205,"Income, Qualified",Regular,Quarterly,0
24,2014-11-13,2014-10-20,2014-11-06,0.205,"Income, Qualified",Regular,Quarterly,1
25,2014-08-14,2014-07-22,2014-08-07,0.205,"Income, Qualified",Regular,Quarterly,2
26,2014-05-15,2014-04-23,2014-05-08,0.205,"Income, Qualified",Regular,Quarterly,2
27,2014-02-13,2014-01-27,2014-02-06,0.205,"Income, Qualified",Regular,Quarterly,1
28,2013-11-14,2013-10-28,2013-11-06,0.205,"Income, Qualified",Regular,Quarterly,6
29,2013-08-15,2013-07-23,2013-08-08,0.205,"Income, Qualified",Regular,Quarterly,2
30,2013-05-16,2013-04-23,2013-05-09,0.205,"Income, Qualified",Regular,Quarterly,62
31,2013-02-14,2013-01-23,2013-02-07,0.205,"Income, Qualified",Regular,Quarterly,0
32,2012-11-15,2012-10-25,2012-11-07,0.205,"Income, Qualified",Regular,Quarterly,13
33,2012-08-16,2012-07-24,2012-08-09,0.205,"Income, Qualified",Regular,Quarterly,0
34,1995-12-15,1995-10-09,1995-11-21,0.205,Income,Regular,Quarterly,0
35,1995-09-08,1995-07-20,1995-08-16,0.205,Income,Regular,Quarterly,0
36,1995-06-23,1995-05-02,1995-05-26,0.205,Income,Regular,Quarterly,6
