,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-02-16,2020-10-29,2021-01-14,1.3,"Income, Qualified",Regular,Quarterly,4
1,2020-11-16,2020-09-11,2020-10-14,1.3,"Income, Qualified",Regular,Quarterly,13
2,2020-08-14,2020-06-17,2020-07-14,1.3,"Income, Qualified",Regular,Quarterly,0
3,2020-05-15,2020-02-20,2020-04-14,1.3,"Income, Qualified",Regular,Quarterly,0
4,2020-02-14,2019-11-01,2020-01-14,1.3,"Income, Qualified",Regular,Quarterly,1
5,2019-11-15,2019-09-06,2019-10-11,1.3,"Income, Qualified",Regular,Quarterly,2
6,2019-08-15,2019-06-20,2019-07-12,1.3,"Income, Qualified",Regular,Quarterly,47
7,2019-05-15,2019-02-21,2019-04-12,1.3,"Income, Qualified",Regular,Quarterly,-
8,2019-02-15,2018-11-02,2019-01-14,1.3,"Income, Qualified",Regular,Quarterly,4
9,2018-11-15,2018-09-07,2018-10-12,1.3,"Income, Qualified",Regular,Quarterly,2
10,2018-08-15,2018-06-14,2018-07-12,1.3,"Income, Qualified",Regular,Quarterly,0
11,2018-05-15,2018-02-15,2018-04-12,1.3,"Income, Qualified",Regular,Quarterly,4
12,2018-02-15,2017-10-27,2018-01-11,1.3,"Income, Qualified",Regular,Quarterly,1
13,2017-11-15,2017-09-08,2017-10-12,1.3,"Income, Qualified",Regular,Quarterly,4
14,2017-08-15,2017-06-22,2017-07-12,1.3,"Income, Qualified",Regular,Quarterly,0
15,2017-05-15,2017-02-16,2017-04-11,1.3,"Income, Qualified",Regular,Quarterly,10
16,2017-02-15,2016-10-28,2017-01-11,1.3,"Income, Qualified",Regular,Quarterly,40
17,2016-11-15,2016-09-09,2016-10-12,1.3,"Income, Qualified",Regular,Quarterly,20
18,2016-08-15,2016-06-16,2016-07-13,1.3,"Income, Qualified",Regular,Quarterly,12
19,2016-05-16,2016-02-18,2016-04-13,1.3,"Income, Qualified",Regular,Quarterly,4
20,2016-02-16,2015-10-30,2016-01-13,1.3,"Income, Qualified",Regular,Quarterly,2
21,2015-11-16,2015-09-11,2015-10-13,1.3,"Income, Qualified",Regular,Quarterly,2
22,2015-08-14,2015-06-18,2015-07-13,1.3,"Income, Qualified",Regular,Quarterly,0
23,2015-05-15,2015-02-19,2015-04-13,1.3,"Income, Qualified",Regular,Quarterly,2
24,2015-02-13,2014-10-20,2015-01-13,1.3,"Income, Qualified",Regular,Quarterly,-
25,2014-11-17,2014-09-19,2014-10-10,1.3,"Income, Qualified",Regular,Quarterly,8
26,2014-08-15,2014-06-19,2014-07-11,1.3,"Income, Qualified",Regular,Quarterly,31
27,2014-05-15,2014-02-20,2014-04-11,1.3,"Income, Qualified",Regular,Quarterly,2
28,2014-02-14,2013-12-12,2014-01-13,1.3,"Income, Qualified",Regular,Quarterly,26
29,2013-11-15,2013-09-19,2013-10-10,1.3,"Income, Qualified",Regular,Quarterly,0
30,2013-08-15,2013-06-20,2013-07-11,1.3,"Income, Qualified",Regular,Quarterly,1
31,2013-05-15,2013-02-15,2013-04-11,1.3,"Income, Qualified",Regular,Quarterly,7
32,2013-02-15,2013-01-04,2013-01-11,1.3,"Initial, Qualified",Regular,Quarterly,1
