,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-02-16,2020-12-11,2021-01-14,0.45,"Income, Qualified",Regular,Quarterly,3
1,2020-11-16,2020-09-17,2020-10-14,0.45,"Income, Qualified",Regular,Quarterly,2
2,2020-08-17,2020-06-12,2020-07-14,0.45,"Income, Qualified",Regular,Quarterly,0
3,2020-05-15,2020-02-21,2020-04-14,0.45,"Income, Qualified",Regular,Quarterly,0
4,2020-02-14,2019-12-13,2020-01-14,0.45,"Income, Qualified",Regular,Quarterly,0
5,2019-11-15,2019-09-12,2019-10-11,0.45,"Income, Qualified",Regular,Quarterly,2
6,2019-08-15,2019-06-14,2019-07-12,0.45,"Income, Qualified",Regular,Quarterly,4
7,2019-05-15,2019-02-22,2019-04-12,0.45,"Income, Qualified",Regular,Quarterly,10
8,2019-02-15,2018-12-14,2019-01-14,0.45,"Income, Qualified",Regular,Quarterly,1
9,2018-11-15,2018-09-13,2018-10-12,0.45,"Income, Qualified",Regular,Quarterly,0
10,2018-08-15,2018-06-08,2018-07-12,0.45,"Income, Qualified",Regular,Quarterly,0
11,2018-05-15,2018-02-16,2018-04-12,0.45,"Income, Qualified",Regular,Quarterly,0
12,2018-02-15,2017-12-15,2018-01-11,0.45,"Income, Qualified",Regular,Quarterly,0
13,2017-11-15,2017-09-14,2017-10-12,0.45,"Income, Qualified",Regular,Quarterly,0
14,2017-08-15,2017-06-09,2017-07-12,0.45,"Income, Qualified",Regular,Quarterly,0
15,2017-05-15,2017-02-17,2017-04-11,0.45,"Income, Qualified",Regular,Quarterly,6
16,2017-02-15,2016-12-09,2017-01-11,0.45,"Income, Qualified",Regular,Quarterly,14
17,2016-11-15,2016-09-15,2016-10-12,0.45,"Income, Qualified",Regular,Quarterly,4
18,2016-08-15,2016-06-10,2016-07-13,0.45,"Income, Qualified",Regular,Quarterly,5
19,2016-05-16,2016-02-19,2016-04-13,0.45,"Income, Qualified",Regular,Quarterly,0
20,2016-02-16,2015-12-11,2016-01-13,0.45,"Income, Qualified",Regular,Quarterly,54
21,2015-11-15,2015-09-17,2015-10-13,0.45,"Income, Qualified",Regular,Quarterly,2
22,2015-08-15,2015-06-12,2015-07-13,0.45,"Income, Qualified",Regular,Quarterly,1
23,2015-05-15,2015-02-20,2015-04-13,0.45,"Income, Qualified",Regular,Quarterly,7
24,2015-02-13,2014-12-12,2015-01-13,0.45,"Income, Qualified",Regular,Quarterly,15
