,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-08,2020-10-21,2020-11-13,1.6,"Income, Qualified",Regular,Quarterly,0
1,2020-09-08,2020-07-23,2020-08-14,1.6,"Income, Qualified",Regular,Quarterly,1
2,2020-06-08,2020-03-04,2020-05-15,1.6,"Income, Qualified",Regular,Quarterly,0
3,2020-03-06,2019-12-11,2020-02-13,1.6,"Income, Qualified",Regular,Quarterly,45
4,2019-12-06,2019-10-22,2019-11-14,1.6,"Income, Qualified",Regular,Quarterly,1
5,2019-09-06,2019-08-02,2019-08-14,1.6,"Income, Qualified",Regular,Quarterly,9
6,2019-06-07,2019-03-07,2019-05-16,1.6,"Income, Qualified",Regular,Quarterly,0
7,2019-03-08,2018-12-07,2019-02-14,1.6,"Income, Qualified",Regular,Quarterly,7
8,2018-12-07,2018-10-23,2018-11-15,1.6,"Income, Qualified",Regular,Quarterly,0
9,2018-09-07,2018-07-31,2018-08-16,1.6,"Income, Qualified",Regular,Quarterly,0
10,2018-06-08,2018-03-07,2018-05-16,1.6,"Income, Qualified",Regular,Quarterly,0
11,2018-03-08,2017-12-12,2018-02-14,1.6,"Income, Qualified",Regular,Quarterly,0
12,2017-12-08,2017-10-24,2017-11-16,1.6,"Income, Qualified",Regular,Quarterly,0
13,2017-09-08,2017-07-28,2017-08-15,1.6,"Income, Qualified",Regular,Quarterly,9
14,2017-06-08,2017-03-07,2017-05-15,1.6,"Income, Qualified",Regular,Quarterly,15
15,2017-03-08,2016-12-20,2017-02-13,1.6,"Income, Qualified",Regular,Quarterly,1
16,2016-12-08,2016-10-14,2016-11-14,1.6,"Income, Qualified",Regular,Quarterly,23
17,2016-09-08,2016-07-22,2016-08-15,1.6,"Income, Qualified",Regular,Quarterly,0
18,2016-06-08,2016-03-02,2016-05-13,1.6,"Income, Qualified",Regular,Quarterly,1
19,2016-03-08,2015-12-15,2016-02-11,1.6,"Income, Qualified",Regular,Quarterly,3
20,2015-12-07,2015-10-14,2015-11-12,1.6,"Income, Qualified",Regular,Quarterly,3
21,2015-09-08,2015-07-28,2015-08-13,1.6,"Income, Qualified",Regular,Quarterly,-
22,2015-06-05,2015-03-04,2015-05-12,1.6,"Income, Qualified",Regular,Quarterly,2
23,2015-03-06,2014-12-17,2015-02-10,1.6,"Income, Qualified",Regular,Quarterly,0
24,2014-12-05,2014-10-17,2014-11-10,1.6,"Income, Qualified",Regular,Quarterly,0
25,2014-09-05,2014-07-25,2014-08-12,1.6,"Income, Qualified",Regular,Quarterly,1
26,2014-06-06,2014-03-05,2014-05-13,1.6,"Income, Qualified",Regular,Quarterly,1
27,2014-03-07,2013-12-13,2014-02-11,1.6,"Income, Qualified",Regular,Quarterly,0
28,2013-12-06,2013-10-16,2013-11-12,1.6,"Income, Qualified",Regular,Quarterly,1
29,2013-09-06,2013-07-26,2013-08-14,1.6,"Income, Qualified",Regular,Quarterly,8
30,2013-06-07,2013-03-06,2013-05-14,1.6,"Income, Qualified",Regular,Quarterly,0
31,2013-03-07,2012-12-13,2013-02-11,1.6,"Income, Qualified",Regular,Quarterly,9
32,2012-12-07,2012-10-11,2012-11-13,1.6,"Income, Qualified",Regular,Quarterly,0
33,2012-09-07,2012-07-19,2012-08-14,1.6,"Income, Qualified",Regular,Quarterly,0
34,2012-06-07,2012-03-15,2012-05-14,1.6,"Income, Qualified",Regular,Quarterly,2
35,2012-03-07,2011-12-15,2012-02-13,1.6,"Income, Qualified",Regular,Quarterly,0
36,2011-12-08,2011-10-13,2011-11-15,1.6,"Income, Qualified",Regular,Quarterly,11
37,2011-09-08,2011-07-28,2011-08-16,1.6,"Income, Qualified",Regular,Quarterly,1
