,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-13,-,2020-11-02,1.3957,Income Regular,Semi,Annually,0
1,2020-05-06,-,2020-04-24,1.3957,Income Regular,Semi,Annually,0
2,2019-11-15,-,2019-11-04,1.3957,Income,Regular,Annually,0
3,2019-05-08,-,2019-04-26,1.3957,Income,Regular,Annually,0
4,2018-05-09,-,2018-04-27,1.3957,Income,Regular,Annually,8
5,2017-05-12,-,2017-04-28,1.3957,Income,Regular,Annually,2
6,2016-05-17,-,2016-05-03,1.3957,Income,Regular,Annually,15
7,2015-05-11,-,2015-04-24,1.3957,Income,Regular,Annually,1
8,2014-05-13,-,2014-04-25,1.3957,Income,Regular,Annually,22
9,2013-05-14,-,2013-04-26,1.3957,Income,Regular,Annually,4
10,2012-12-03,-,-,1.3957,Extra,Special,Annually,-
11,2012-05-15,-,2012-04-30,1.3957,Income,Regular,Annually,1
12,2011-05-10,-,2011-04-26,1.3957,Income,Regular,Annually,0
13,2010-04-13,-,2010-03-26,1.3957,Income,Regular,Annually,0
14,2009-04-15,-,2009-03-30,1.3957,Income,Regular,Annually,1
15,2008-05-14,-,2008-04-07,1.3957,Income,Regular,Annually,0
