,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-31,2020-12-10,2020-12-18,3.6,"Income, Qualified",Regular,Quarterly,0
1,2020-09-30,2020-09-03,2020-09-21,3.6,"Income, Qualified",Regular,Quarterly,1
2,2020-06-30,2020-06-04,2020-06-19,3.6,"Income, Qualified",Regular,Quarterly,11
3,2020-03-31,2020-03-12,2020-03-20,3.6,"Income, Qualified",Regular,Quarterly,2
4,2019-12-31,2019-12-12,2019-12-20,3.6,"Income, Qualified",Regular,Quarterly,38
5,2019-10-01,2019-09-12,2019-09-20,3.6,"Income, Qualified",Regular,Quarterly,26
6,2019-07-02,2019-06-12,2019-06-21,3.6,"Income, Qualified",Regular,Quarterly,1
7,2019-03-29,2019-03-13,2019-03-20,3.6,"Income, Qualified",Regular,Quarterly,7
8,2018-12-28,2018-12-06,2018-12-18,3.6,"Income, Qualified",Regular,Quarterly,9
9,2018-09-28,2018-09-06,2018-09-18,3.6,"Income, Qualified",Regular,Quarterly,0
10,2018-06-29,2018-06-07,2018-06-19,3.6,"Initial, Qualified",Regular,Quarterly,-
11,2018-03-29,2018-03-15,2018-03-21,3.6,Income,Regular,Quarterly,0
12,2017-12-29,2017-12-06,2017-12-18,3.6,Income,Regular,Quarterly,11
13,2017-09-29,2017-08-29,2017-09-18,3.6,Income,Regular,Quarterly,29
14,2017-06-30,2017-06-01,2017-06-15,3.6,Income,Regular,Quarterly,2
15,2017-03-31,2017-03-01,2017-03-16,3.6,Income,Regular,Quarterly,36
16,2016-12-30,2016-12-08,2016-12-14,3.6,Income,Regular,Quarterly,1
17,2016-09-30,2016-09-01,2016-09-15,3.6,Income,Regular,Quarterly,0
18,2016-06-30,2016-06-02,2016-06-15,3.6,Income,Regular,Quarterly,21
19,2016-03-31,2016-03-03,2016-03-16,3.6,Income,Regular,Quarterly,0
20,2015-12-30,2015-12-07,2015-12-16,3.6,Income,Regular,Quarterly,0
21,2015-09-30,2015-09-03,2015-09-16,3.6,Income,Regular,Quarterly,56
22,2015-06-30,2015-06-04,2015-06-17,3.6,Income,Regular,Quarterly,1
23,2015-03-31,2015-03-05,2015-03-18,3.6,Income,Regular,Quarterly,0
24,2014-12-31,2014-12-09,2014-12-17,3.6,Income,Regular,Quarterly,0
25,2014-09-30,2014-09-04,2014-09-17,3.6,Income,Regular,Quarterly,1
26,2014-06-30,2014-06-05,2014-06-17,3.6,Income,Regular,Quarterly,0
27,2014-03-31,2014-03-05,2014-03-18,3.6,Income,Regular,Quarterly,0
28,2013-12-31,2013-12-11,2013-12-18,3.6,Income,Regular,Quarterly,15
29,2013-09-30,2013-09-05,2013-09-17,3.6,Income,Regular,Quarterly,0
30,2013-06-28,2013-06-06,2013-06-13,3.6,Income,Regular,Quarterly,0
31,2013-04-04,2013-03-14,2013-03-21,3.6,Income,Regular,Quarterly,50
32,2012-12-28,2012-12-06,2012-12-13,3.6,Income,Regular,Quarterly,22
33,2012-10-01,2012-08-30,2012-09-18,3.6,Income,Regular,Quarterly,3
34,2012-06-29,2012-06-07,2012-06-14,3.6,Income,Regular,Quarterly,1
35,2012-03-30,2012-03-08,2012-03-15,3.6,Income,Regular,Quarterly,0
36,2011-12-30,2011-12-09,2011-12-15,3.6,Income,Regular,Quarterly,1
37,2011-09-30,2011-09-08,2011-09-15,3.6,Income,Regular,Quarterly,0
38,2011-06-30,2011-06-09,2011-06-15,3.6,Income,Regular,Quarterly,5
39,2011-03-30,2011-03-10,2011-03-16,3.6,Income,Regular,Quarterly,6
40,2010-12-30,2010-12-02,2010-12-13,3.6,Initial,Regular,Quarterly,0
