,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-09-14,-,2020-08-13,0.45,Income Regular,Semi,Annually,7
1,2020-03-30,-,2020-02-27,0.45,Income Regular,Semi,Annually,4
2,2019-09-09,-,2019-08-08,0.45,Income Regular,Semi,Annually,0
3,2019-03-27,-,2019-02-28,0.45,Income Regular,Semi,Annually,9
4,2018-09-10,-,2018-08-09,0.45,Income Regular,Semi,Annually,0
5,2018-03-19,-,2018-02-15,0.45,Income Regular,Semi,Annually,21
6,2017-09-11,-,2017-08-09,0.45,Income Regular,Semi,Annually,16
7,2017-03-20,-,2017-02-15,0.45,Income Regular,Semi,Annually,11
8,2016-09-12,-,2016-08-10,0.45,Income Regular,Semi,Annually,31
9,2016-03-21,-,2016-02-17,0.45,Income Regular,Semi,Annually,97
10,2015-09-14,-,2015-08-12,0.45,Income Regular,Semi,Annually,27
11,2015-03-23,-,2015-02-18,0.45,Income Regular,Semi,Annually,5
12,2014-09-15,-,2014-08-13,0.45,Income Regular,Semi,Annually,3
13,2014-03-24,-,2014-02-19,0.45,Income Regular,Semi,Annually,6
14,2013-09-16,-,2013-08-14,0.45,Income Regular,Semi,Annually,25
15,2013-03-18,-,2013-02-13,0.45,Income Regular,Semi,Annually,26
16,2012-09-10,-,2012-08-08,0.45,Income Regular,Semi,Annually,30
17,2012-03-19,-,2012-02-15,0.45,Income Regular,Semi,Annually,122
18,2011-09-12,-,2011-08-04,0.45,Income Regular,Semi,Annually,13
19,2011-03-14,-,2011-02-02,0.45,Income Regular,Semi,Annually,12
20,2010-09-13,-,2010-08-04,0.45,Income Regular,Semi,Annually,2
21,2010-03-15,-,2010-02-03,0.45,Income Regular,Semi,Annually,104
22,2009-09-14,-,2009-08-05,0.45,Income Regular,Semi,Annually,108
23,2009-03-16,-,2009-02-04,0.45,Income Regular,Semi,Annually,74
24,2008-09-15,-,2008-08-06,0.45,Income Regular,Semi,Annually,-
25,2008-03-17,-,2008-02-07,0.45,Income Regular,Semi,Annually,41
26,2007-09-17,-,2007-08-08,0.45,Income Regular,Semi,Annually,0
27,2007-03-19,-,2007-02-07,0.45,Income Regular,Semi,Annually,52
28,2006-09-18,-,2006-08-09,0.45,Income Regular,Semi,Annually,1
29,2006-03-20,-,2006-02-08,0.45,Income Regular,Semi,Annually,20
30,2005-09-19,-,2005-08-10,0.45,"Income, Qualified Regular",Regular,Annually,1
31,2005-03-21,-,2005-02-09,0.45,"Income, Qualified Regular",Regular,Annually,0
32,2004-09-20,-,2004-08-11,0.45,"Income, Qualified Regular",Regular,Annually,3
33,2004-04-06,-,2004-02-18,0.45,"Income, Qualified Regular",Regular,Annually,8
34,2003-10-06,-,2003-08-20,0.45,"Income, Qualified Regular",Regular,Annually,10
35,2003-04-07,-,2003-02-19,0.45,"Income, Qualified Regular",Regular,Annually,22
36,2002-10-07,-,2002-08-21,0.45,Income Regular,Semi,Annually,0
37,2002-04-08,-,2002-02-20,0.45,Income Regular,Semi,Annually,0
38,2001-10-05,-,2001-08-22,0.45,Income Regular,Semi,Annually,0
39,2001-04-09,-,2001-02-21,0.45,Income Regular,Semi,Annually,0
40,2000-04-17,-,2000-03-08,0.45,Income,Unknown,-,-
41,1999-04-28,-,1999-04-07,0.45,Income,Unknown,-,-
42,1998-05-12,-,1998-03-18,0.45,Income,Unknown,-,-
43,1997-05-13,-,1997-03-19,0.45,Income,Unknown,-,-
44,1996-05-14,-,1996-03-22,0.45,Income,Unknown,-,-
45,1995-05-16,-,1995-03-24,0.45,Income,Unknown,-,-
