,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-24,2020-10-21,2020-12-03,0.18,"Income, Qualified",Regular,Quarterly,1
1,2020-09-25,2020-07-22,2020-09-03,0.18,"Income, Qualified",Regular,Quarterly,1
2,2020-06-26,2020-04-22,2020-06-04,0.18,"Income, Qualified",Regular,Quarterly,0
3,2020-03-27,2020-01-29,2020-03-05,0.18,"Income, Qualified",Regular,Quarterly,-
4,2019-12-27,2019-10-22,2019-12-05,0.18,"Income, Qualified",Regular,Quarterly,1
5,2019-09-27,2019-07-25,2019-09-05,0.18,"Income, Qualified",Regular,Quarterly,0
6,2019-06-28,2019-04-24,2019-06-06,0.18,"Income, Qualified",Regular,Quarterly,2
7,2019-03-29,2019-01-30,2019-02-28,0.18,"Income, Qualified",Regular,Quarterly,12
8,2018-12-28,2018-10-24,2018-12-06,0.18,"Income, Qualified",Regular,Quarterly,29
9,2018-09-28,2018-07-26,2018-09-06,0.18,"Income, Qualified",Regular,Quarterly,10
10,2018-06-29,2018-04-25,2018-05-31,0.18,"Income, Qualified",Regular,Quarterly,4
11,2018-03-30,2018-01-31,2018-03-01,0.18,"Income, Qualified",Regular,Quarterly,2
12,2017-12-29,2017-10-25,2017-11-30,0.18,"Income, Qualified",Regular,Quarterly,2
13,2017-09-29,2017-07-26,2017-08-30,0.18,"Income, Qualified",Regular,Quarterly,0
14,2017-06-30,2017-04-26,2017-05-31,0.18,"Income, Qualified",Regular,Quarterly,6
15,2017-03-31,2017-01-26,2017-03-01,0.18,"Income, Qualified",Regular,Quarterly,0
16,2016-12-30,2016-10-27,2016-11-30,0.18,"Income, Qualified",Regular,Quarterly,0
17,2016-09-23,2016-07-27,2016-08-31,0.18,"Income, Qualified",Regular,Quarterly,26
18,2016-06-24,2016-04-27,2016-06-01,0.18,"Income, Qualified",Regular,Quarterly,0
19,2016-03-25,2016-01-21,2016-03-02,0.18,"Income, Qualified",Regular,Quarterly,0
20,2015-12-24,2015-10-22,2015-12-02,0.18,"Income, Qualified",Regular,Quarterly,-
21,2015-09-25,2015-07-23,2015-09-02,0.18,"Income, Qualified",Regular,Quarterly,0
22,2015-06-26,2015-04-16,2015-06-03,0.18,"Income, Qualified",Regular,Quarterly,0
23,2015-03-27,2015-02-10,2015-03-04,0.18,"Income, Qualified",Regular,Quarterly,2
24,2014-12-26,2014-10-23,2014-12-03,0.18,"Income, Qualified",Regular,Quarterly,0
25,2014-09-26,2014-08-06,2014-09-03,0.18,"Income, Qualified",Regular,Quarterly,3
26,2014-06-30,2014-06-18,2014-06-20,0.18,"Income, Qualified",Regular,Quarterly,1
27,2014-03-28,2014-02-11,2014-03-05,0.18,"Income, Qualified",Regular,Quarterly,0
28,2013-12-27,2013-10-24,2013-12-04,0.18,"Income, Qualified",Regular,Quarterly,0
29,2013-09-27,2013-07-24,2013-09-04,0.18,"Income, Qualified",Regular,Quarterly,0
30,2013-06-28,2013-04-30,2013-06-05,0.18,"Income, Qualified",Regular,Quarterly,2
31,2013-03-22,2013-01-23,2013-02-27,0.18,"Income, Qualified",Regular,Quarterly,0
32,2012-12-28,2012-10-24,2012-12-05,0.18,"Income, Qualified",Regular,Quarterly,0
33,2012-09-28,2012-07-11,2012-09-05,0.18,"Income, Qualified",Regular,Quarterly,1
34,2012-06-22,2012-04-11,2012-05-30,0.18,"Income, Qualified",Regular,Quarterly,5
35,2012-03-23,2012-01-11,2012-02-29,0.18,"Income, Qualified",Regular,Quarterly,1
36,2011-12-23,2011-11-18,2011-11-30,0.18,"Income, Qualified",Regular,Quarterly,0
37,2011-09-23,2011-08-22,2011-08-31,0.18,"Income, Qualified",Regular,Quarterly,0
38,2011-06-24,2011-05-11,2011-06-01,0.18,"Income, Qualified",Regular,Quarterly,-
39,2011-03-25,2011-01-26,2011-03-02,0.18,"Income, Qualified",Regular,Quarterly,1
40,2010-12-24,2010-10-25,2010-12-01,0.18,"Income, Qualified",Regular,Quarterly,0
41,2010-09-24,2010-07-28,2010-09-01,0.18,"Income, Qualified",Regular,Quarterly,0
42,2010-06-25,2010-04-28,2010-06-02,0.18,"Income, Qualified",Regular,Quarterly,0
43,2010-03-26,2010-01-27,2010-03-03,0.18,"Income, Qualified",Regular,Quarterly,2
44,2009-12-24,2009-10-28,2009-12-02,0.18,"Income, Qualified",Regular,Quarterly,2
45,2009-09-25,2009-07-21,2009-09-02,0.18,"Income, Qualified",Regular,Quarterly,1
46,2009-06-26,2009-04-29,2009-06-03,0.18,"Income, Qualified",Regular,Quarterly,1
47,2009-03-27,2009-01-16,2009-03-04,0.18,"Income, Qualified",Regular,Quarterly,3
48,2008-12-26,2008-10-06,2008-12-03,0.18,"Income, Qualified",Regular,Quarterly,0
49,2008-09-26,2008-07-23,2008-09-03,0.18,"Income, Qualified",Regular,Quarterly,0
50,2008-06-27,2008-04-23,2008-06-04,0.18,"Income, Qualified",Regular,Quarterly,35
51,2008-03-28,2008-01-23,2008-03-05,0.18,"Income, Qualified",Regular,Quarterly,9
