,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-21,2020-11-19,2020-12-03,3.63,"Income, Qualified",Regular,Quarterly,20
1,2020-09-22,2020-07-15,2020-09-03,3.63,"Income, Qualified",Regular,Quarterly,26
2,2020-06-23,2020-05-21,2020-06-04,3.63,"Income, Qualified",Regular,Quarterly,1
3,2020-03-23,2020-01-29,2020-03-04,3.63,"Income, Qualified",Regular,Quarterly,0
4,2019-12-23,2019-11-19,2019-12-05,3.63,"Income, Qualified",Regular,Quarterly,0
5,2019-09-24,2019-07-17,2019-09-04,3.63,"Income, Qualified",Regular,Quarterly,1
6,2019-06-20,2019-05-23,2019-06-05,3.63,"Income, Qualified",Regular,Quarterly,0
7,2019-03-21,2019-01-16,2019-03-05,3.63,"Income, Qualified",Regular,Quarterly,9
8,2018-12-26,2018-11-20,2018-12-06,3.63,"Income, Qualified",Regular,Quarterly,29
9,2018-09-24,2018-07-17,2018-09-06,3.63,"Income, Qualified",Regular,Quarterly,9
10,2018-06-21,2018-05-23,2018-06-06,3.63,"Income, Qualified",Regular,Quarterly,0
11,2018-03-22,2018-01-11,2018-03-06,3.63,"Income, Qualified",Regular,Quarterly,0
12,2017-12-21,2017-11-16,2017-12-01,3.63,"Income, Qualified",Regular,Quarterly,0
13,2017-09-22,2017-07-20,2017-08-31,3.63,"Income, Qualified",Regular,Quarterly,0
14,2017-06-23,2017-05-25,2017-06-01,3.63,"Income, Qualified",Regular,Quarterly,0
15,2017-03-23,2017-01-13,2017-03-02,3.63,"Income, Qualified",Regular,Quarterly,60
16,2016-12-23,2016-11-30,2016-12-08,3.63,"Income, Qualified",Regular,Quarterly,0
17,2016-09-23,2016-07-20,2016-08-31,3.63,"Income, Qualified",Regular,Quarterly,66
18,2016-06-23,2016-05-25,2016-06-02,3.63,"Income, Qualified",Regular,Quarterly,41
19,2016-03-23,2016-01-14,2016-03-03,3.63,"Income, Qualified",Regular,Quarterly,2
20,2015-12-23,2015-11-17,2015-12-01,3.63,"Income, Qualified",Regular,Quarterly,-
21,2015-09-22,2015-07-30,2015-08-31,3.63,"Income, Qualified",Regular,Quarterly,12
22,2015-06-23,2015-05-28,2015-06-05,3.63,"Income, Qualified",Regular,Quarterly,9
23,2015-03-24,2015-01-15,2015-03-04,3.63,"Income, Qualified",Regular,Quarterly,8
24,2014-12-23,2014-11-18,2014-12-01,3.63,"Income, Qualified",Regular,Quarterly,3
25,2014-09-22,2014-07-23,2014-08-28,3.63,"Income, Qualified",Regular,Quarterly,15
26,2014-06-23,2014-05-29,2014-06-05,3.63,"Income, Qualified",Regular,Quarterly,1
27,2014-03-24,2014-01-16,2014-03-05,3.63,"Income, Qualified",Regular,Quarterly,1
28,2013-12-23,2013-11-21,2013-11-29,3.63,"Income, Qualified",Regular,Quarterly,13
29,2013-09-23,2013-07-25,2013-08-29,3.63,"Income, Qualified",Regular,Quarterly,0
30,2013-06-24,2013-05-30,2013-06-06,3.63,"Income, Qualified",Regular,Quarterly,0
31,2013-03-25,2013-01-17,2013-03-05,3.63,"Income, Qualified",Regular,Quarterly,0
32,2012-12-24,2012-11-20,2012-11-29,3.63,"Income, Qualified",Regular,Quarterly,8
33,2012-09-24,2012-07-26,2012-08-30,3.63,"Income, Qualified",Regular,Quarterly,5
34,2012-06-25,2012-05-24,2012-06-05,3.63,"Income, Qualified",Regular,Quarterly,0
35,2012-03-23,2012-02-23,2012-03-05,3.63,"Income, Qualified",Regular,Quarterly,6
36,2011-12-23,2011-09-22,2011-12-01,3.63,"Income, Qualified",Regular,Quarterly,2
37,2011-09-22,2011-06-22,2011-08-31,3.63,"Income, Qualified",Regular,Quarterly,42
38,2011-06-23,2011-05-25,2011-06-03,3.63,"Income, Qualified",Regular,Quarterly,-
39,2011-03-23,2011-02-24,2011-03-03,3.63,"Income, Qualified",Regular,Quarterly,0
40,2010-12-23,2010-11-11,2010-12-01,3.63,"Income, Qualified",Regular,Quarterly,0
41,2010-09-22,2010-06-24,2010-08-31,3.63,"Income, Qualified",Regular,Quarterly,1
42,2010-06-23,2010-04-29,2010-06-03,3.63,"Income, Qualified",Regular,Quarterly,-
43,2010-03-23,2010-02-25,2010-03-04,3.63,"Income, Qualified",Regular,Quarterly,1
44,2009-12-21,2009-11-20,2009-11-24,3.63,"Income, Qualified",Regular,Quarterly,0
45,2009-09-22,2009-07-30,2009-08-31,3.63,"Income, Qualified",Regular,Quarterly,7
46,2009-06-23,2009-05-21,2009-06-04,3.63,"Income, Qualified",Regular,Quarterly,0
47,2009-03-23,2009-02-26,2009-03-05,3.63,"Income, Qualified",Regular,Quarterly,3
48,2008-12-23,2008-11-20,2008-12-01,3.63,"Income, Qualified",Regular,Quarterly,4
49,2008-09-22,2008-07-31,2008-08-28,3.63,"Income, Qualified",Regular,Quarterly,0
50,2008-06-23,2008-06-02,2008-06-10,3.63,"Income, Qualified",Regular,Quarterly,28
51,2008-03-24,2008-02-15,2008-03-05,3.63,"Income, Qualified",Regular,Quarterly,0
52,2007-12-24,2007-11-07,2007-11-29,3.63,Income,Regular,Quarterly,2
53,2007-09-24,2007-07-27,2007-08-29,3.63,Income,Regular,Quarterly,0
54,2007-06-25,2007-05-23,2007-06-05,3.63,Income,Regular,Quarterly,4
55,2007-03-23,2007-02-27,2007-03-05,3.63,Income,Regular,Quarterly,2
56,2006-12-26,2006-11-02,2006-11-30,3.63,Income,Regular,Quarterly,2
57,2006-09-22,2006-08-02,2006-08-31,3.63,Income,Regular,Quarterly,0
58,2006-06-23,2006-05-25,2006-06-05,3.63,Income,Regular,Quarterly,18
59,2006-03-23,2006-02-17,2006-03-03,3.63,Income,Regular,Quarterly,22
60,2005-12-23,2005-11-03,2005-12-01,3.63,Income,Regular,Quarterly,0
61,2005-09-22,2005-08-04,2005-08-31,3.63,Income,Regular,Quarterly,1
62,2005-06-23,2005-04-27,2005-06-03,3.63,Income,Regular,Quarterly,6
63,2005-03-23,2005-02-15,2005-03-03,3.63,Income,Regular,Quarterly,1
64,2004-12-23,2004-11-11,2004-12-01,3.63,Income,Regular,Quarterly,0
65,2004-09-22,2004-07-29,2004-08-31,3.63,Income,Regular,Quarterly,2
66,2004-06-23,2004-05-11,2004-06-03,3.63,Income,Regular,Quarterly,1
67,2004-03-26,2004-02-26,2004-03-05,3.63,Income,Regular,Quarterly,0
68,2003-12-23,2003-11-12,2003-12-01,3.63,Income,Regular,Quarterly,0
69,2003-09-29,2003-08-18,2003-09-04,3.63,Initial,Regular,Quarterly,2
