,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-02,2020-09-10,2020-10-01,0.45,"Income, Qualified",Regular,Quarterly,4
1,2020-08-03,2020-06-11,2020-07-02,0.45,"Income, Qualified",Regular,Quarterly,2
2,2020-05-01,2020-03-02,2020-04-02,0.45,"Income, Qualified",Regular,Quarterly,0
3,2020-02-03,2019-12-05,2020-01-02,0.45,"Income, Qualified",Regular,Quarterly,5
4,2019-11-01,2019-09-11,2019-10-03,0.45,"Income, Qualified",Regular,Quarterly,0
5,2019-08-01,2019-06-13,2019-07-03,0.45,"Income, Qualified",Regular,Quarterly,26
6,2019-05-01,2019-03-07,2019-04-04,0.45,"Income, Qualified",Regular,Quarterly,20
7,2019-02-01,2018-12-06,2019-01-03,0.45,"Income, Qualified",Regular,Quarterly,41
8,2018-11-01,2018-09-12,2018-10-04,0.45,"Income, Qualified",Regular,Quarterly,2
9,2018-08-01,2018-06-14,2018-07-05,0.45,"Income, Qualified",Regular,Quarterly,0
10,2018-05-01,2018-03-01,2018-04-05,0.45,"Income, Qualified",Regular,Quarterly,-
11,2018-02-01,2017-12-07,2018-01-04,0.45,"Income, Qualified",Regular,Quarterly,0
12,2017-11-01,2017-09-13,2017-10-05,0.45,"Income, Qualified",Regular,Quarterly,1
13,2017-08-01,2017-06-13,2017-07-05,0.45,"Income, Qualified",Regular,Quarterly,0
14,2017-05-01,2017-03-02,2017-04-05,0.45,"Income, Qualified",Regular,Quarterly,16
15,2017-02-01,2016-12-08,2017-01-04,0.45,"Income, Qualified",Regular,Quarterly,1
16,2016-11-01,2016-08-03,2016-10-05,0.45,"Income, Qualified",Regular,Quarterly,2
17,2016-08-01,2016-06-07,2016-06-29,0.45,"Income, Qualified",Regular,Quarterly,0
18,2016-05-02,2016-03-03,2016-03-30,0.45,"Income, Qualified",Regular,Quarterly,2
19,2016-02-01,2015-12-08,2015-12-30,0.45,"Income, Qualified",Regular,Quarterly,-
20,2015-11-02,2015-09-17,2015-09-30,0.45,"Income, Qualified",Regular,Quarterly,0
21,2015-08-03,2015-06-16,2015-07-01,0.45,"Income, Qualified",Regular,Quarterly,0
22,2015-05-01,2015-03-02,2015-04-01,0.45,"Income, Qualified",Regular,Quarterly,7
23,2015-02-02,2014-12-09,2014-12-30,0.45,"Income, Qualified",Regular,Quarterly,7
24,2014-11-03,2014-09-16,2014-10-01,0.45,"Income, Qualified",Regular,Quarterly,14
25,2014-08-01,2014-06-17,2014-07-01,0.45,"Income, Qualified",Regular,Quarterly,7
26,2014-05-01,2014-03-03,2014-04-02,0.45,"Income, Qualified",Regular,Quarterly,28
27,2014-02-03,2013-12-19,2013-12-31,0.45,"Income, Qualified",Regular,Quarterly,6
28,2013-11-01,2013-09-17,2013-10-02,0.45,"Income, Qualified",Regular,Quarterly,2
29,2013-08-01,2013-06-19,2013-07-02,0.45,"Income, Qualified",Regular,Quarterly,6
30,2013-05-01,2013-03-07,2013-04-03,0.45,"Income, Qualified",Regular,Quarterly,13
31,2013-02-01,2012-12-04,2013-01-02,0.45,"Income, Qualified",Regular,Quarterly,0
32,2012-11-01,2012-09-18,2012-10-03,0.45,"Income, Qualified",Regular,Quarterly,9
33,2012-08-01,2012-06-26,2012-07-03,0.45,"Income, Qualified",Regular,Quarterly,11
34,2012-05-01,2012-03-06,2012-04-03,0.45,"Income, Qualified",Regular,Quarterly,12
35,2012-02-01,2011-12-06,2012-01-04,0.45,"Income, Qualified",Regular,Quarterly,-
36,2011-11-01,2011-09-20,2011-10-06,0.45,"Income, Qualified",Regular,Quarterly,2
37,2011-08-01,2011-06-22,2011-06-29,0.45,"Income, Qualified",Regular,Quarterly,1
38,2011-05-02,2011-03-01,2011-03-30,0.45,"Income, Qualified",Regular,Quarterly,4
39,2011-02-01,2010-12-14,2011-01-05,0.45,"Income, Qualified",Regular,Quarterly,57
40,2010-11-01,2010-09-07,2010-09-29,0.45,"Income, Qualified",Regular,Quarterly,-
41,2010-08-02,2010-06-09,2010-06-30,0.45,"Income, Qualified",Regular,Quarterly,5
42,2010-05-03,2010-03-02,2010-03-30,0.45,"Income, Qualified",Regular,Quarterly,-
43,2010-02-01,2009-12-21,2009-12-30,0.45,"Income, Qualified",Regular,Quarterly,52
