,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-07-09,-,2020-06-09,0.5669,Income Regular,Semi,Annually,37
1,2019-12-18,-,2019-11-19,0.5669,Income Regular,Semi,Annually,21
2,2019-06-06,-,2019-05-07,0.5669,Income Regular,Semi,Annually,31
3,2018-12-21,-,2018-11-27,0.5669,Income Regular,Semi,Annually,2
4,2018-05-30,-,2018-05-01,0.5669,Income Regular,Semi,Annually,43
5,2017-12-07,-,2017-11-14,0.5669,Income Regular,Semi,Annually,-
6,2017-05-25,-,2017-05-01,0.5669,Income Regular,Semi,Annually,3
7,2016-12-08,-,2016-11-14,0.5669,Income Regular,Semi,Annually,66
8,2016-05-20,-,2016-04-28,0.5669,Income Regular,Semi,Annually,24
9,2015-11-30,-,2015-11-06,0.5669,Income Regular,Semi,Annually,3
10,2015-05-20,-,2015-04-29,0.5669,Income Regular,Semi,Annually,27
11,2014-11-28,-,2014-11-06,0.5669,Income Regular,Semi,Annually,3
12,2014-05-19,-,2014-04-30,0.5669,Income Regular,Semi,Annually,29
13,2013-11-29,-,2013-11-07,0.5669,Income Regular,Semi,Annually,2
14,2013-05-13,-,2013-04-23,0.5669,Income Regular,Semi,Annually,76
15,2012-05-14,-,2012-04-24,0.5669,Income,Regular,Annually,2
16,2011-05-12,-,2011-04-21,0.5669,Income,Regular,Annually,3
17,2010-05-11,-,2010-04-23,0.5669,Income,Regular,Annually,11
18,2008-12-09,2008-10-22,2008-11-06,0.5669,"Income, Qualified",Regular,Quarterly,-
19,2008-09-09,2008-07-23,2008-08-07,0.5669,"Income, Qualified",Regular,Quarterly,-
20,2008-06-09,2008-04-23,2008-05-07,0.5669,"Income, Qualified",Regular,Quarterly,-
21,2008-03-10,2008-01-10,2008-02-07,0.5669,"Income, Qualified",Regular,Quarterly,-
22,2007-12-10,2007-10-24,2007-11-07,0.5669,"Income, Qualified",Regular,Quarterly,-
23,2007-09-10,2007-07-25,2007-08-07,0.5669,"Income, Qualified",Regular,Quarterly,-
24,2007-06-11,2007-04-25,2007-05-07,0.5669,"Income, Qualified",Regular,Quarterly,-
25,2007-03-09,2007-01-11,2007-02-07,0.5669,"Income, Qualified",Regular,Quarterly,-
26,2006-12-11,2006-10-25,2006-11-07,0.5669,"Income, Qualified",Regular,Quarterly,-
27,2006-09-11,2006-07-26,2006-08-07,0.5669,"Income, Qualified",Regular,Quarterly,-
28,2006-06-09,2006-04-26,2006-05-05,0.5669,"Income, Qualified",Regular,Quarterly,-
29,2006-03-09,2006-01-11,2006-02-07,0.5669,"Income, Qualified",Regular,Quarterly,-
30,2005-12-09,2005-10-26,2005-11-07,0.5669,"Income, Qualified",Regular,Quarterly,-
31,2005-09-09,2005-07-27,2005-08-05,0.5669,"Income, Qualified",Regular,Quarterly,-
32,2005-06-09,2005-04-27,2005-05-05,0.5669,"Income, Qualified",Regular,Quarterly,-
33,2005-03-09,2005-01-12,2005-02-07,0.5669,"Income, Qualified",Regular,Quarterly,-
34,2004-12-09,2004-10-27,2004-11-05,0.5669,"Income, Qualified",Regular,Quarterly,-
35,2004-09-09,2004-07-28,2004-08-05,0.5669,"Income, Qualified",Regular,Quarterly,-
36,2004-06-09,2004-04-28,2004-05-06,0.5669,"Income, Qualified",Regular,Quarterly,-
37,2004-03-09,2004-01-14,2004-02-05,0.5669,"Income, Qualified",Regular,Quarterly,-
38,2003-12-09,2003-10-22,2003-11-06,0.5669,"Income, Qualified",Regular,Quarterly,-
39,2003-09-09,2003-07-23,2003-08-07,0.5669,"Income, Qualified",Regular,Quarterly,-
40,2003-06-09,2003-04-23,2003-05-07,0.5669,"Income, Qualified",Regular,Quarterly,-
41,2003-03-10,2003-01-14,2003-02-06,0.5669,"Income, Qualified",Regular,Quarterly,-
42,2002-12-09,2002-10-23,2002-11-06,0.5669,Income,Regular,Quarterly,-
43,2002-09-09,2002-07-24,2002-08-07,0.5669,Income,Regular,Quarterly,-
44,2002-06-10,2002-04-24,2002-05-07,0.5669,Income,Regular,Quarterly,-
45,2002-03-11,2002-01-14,2002-02-07,0.5669,Income,Regular,Quarterly,-
46,2001-12-10,2001-10-24,2001-11-07,0.5669,Income,Regular,Quarterly,-
47,2001-09-10,2001-07-25,2001-08-07,0.5669,Income,Regular,Quarterly,-
48,2001-06-11,2001-04-25,2001-05-07,0.5669,Income,Regular,Quarterly,-
49,2001-03-09,2001-01-16,2001-02-07,0.5669,Income,Regular,Quarterly,-
50,2000-12-11,2000-10-25,2000-11-07,0.5669,Income,Regular,Quarterly,-
51,2000-09-11,2000-07-26,2000-08-07,0.5669,Income,Regular,Quarterly,-
52,2000-06-09,2000-04-26,2000-05-05,0.5669,Income,Regular,Quarterly,-
53,2000-03-09,2000-01-14,2000-02-07,0.5669,Income,Regular,Quarterly,-
54,1999-12-09,1999-10-27,1999-11-05,0.5669,Income,Regular,Quarterly,-
55,1999-09-09,1999-07-28,1999-08-05,0.5669,Income,Regular,Quarterly,-
56,1999-06-09,1999-04-28,1999-05-06,0.5669,Income,Regular,Quarterly,-
57,1999-03-09,1998-12-16,1999-02-05,0.5669,Income,Regular,Quarterly,-
58,1998-12-09,1998-10-28,1998-11-05,0.5669,Income,Regular,Quarterly,-
59,1998-09-09,1998-07-22,1998-08-06,0.5669,Income,Regular,Quarterly,-
60,1998-06-09,1998-04-22,1998-05-06,0.5669,Income,Regular,Quarterly,-
61,1998-03-09,1997-12-17,1998-02-05,0.5669,Income,Regular,Quarterly,-
62,1997-12-09,1997-10-22,1997-11-06,0.5669,Income,Regular,Quarterly,-
63,1997-09-09,1997-07-23,1997-08-07,0.5669,Income,Regular,Quarterly,-
64,1997-06-09,1997-04-23,1997-05-07,0.5669,Income,Regular,Quarterly,-
65,1997-03-10,1996-12-18,1997-02-06,0.5669,Income,Regular,Quarterly,-
66,1996-12-09,1996-10-23,1996-11-06,0.5669,Income,Regular,Quarterly,-
67,1996-09-09,1996-07-24,1996-08-07,0.5669,Income,Regular,Quarterly,-
68,1996-06-10,1996-04-24,1996-05-07,0.5669,Income,Regular,Quarterly,-
69,1996-03-08,1995-12-20,1996-02-07,0.5669,Income,Regular,Quarterly,-
70,1995-12-08,1995-10-25,1995-11-07,0.5669,Income,Regular,Quarterly,-
71,1995-09-08,1995-07-26,1995-08-07,0.5669,Income,Regular,Quarterly,-
72,1995-06-09,1995-04-26,1995-05-03,0.5669,Income,Regular,Quarterly,-
