,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-01-27,2020-10-29,2021-01-05,0.23,"Income, Qualified",Regular,Quarterly,1
1,2020-10-28,2020-07-30,2020-10-06,0.23,"Income, Qualified",Regular,Quarterly,4
2,2020-07-22,2020-05-13,2020-06-30,0.23,"Income, Qualified",Regular,Quarterly,0
3,2020-04-22,2020-01-23,2020-03-31,0.23,"Income, Qualified",Regular,Quarterly,4
4,2020-01-29,2019-10-24,2020-01-07,0.23,"Income, Qualified",Regular,Quarterly,0
5,2019-10-23,2019-07-25,2019-10-01,0.23,"Income, Qualified",Regular,Quarterly,8
6,2019-07-24,2019-05-08,2019-07-02,0.23,"Income, Qualified",Regular,Quarterly,0
7,2019-04-24,2019-01-23,2019-04-02,0.23,"Income, Qualified",Regular,Quarterly,2
8,2019-01-23,2018-10-25,2018-12-31,0.23,"Income, Qualified",Regular,Quarterly,2
9,2018-10-24,2018-07-26,2018-10-02,0.23,"Income, Qualified",Regular,Quarterly,0
10,2018-07-25,2018-05-09,2018-07-02,0.23,"Income, Qualified",Regular,Quarterly,0
11,2018-04-25,2018-01-24,2018-04-03,0.23,"Income, Qualified",Regular,Quarterly,1
12,2018-01-24,2017-10-26,2018-01-02,0.23,"Income, Qualified",Regular,Quarterly,0
13,2017-10-25,2017-07-27,2017-10-03,0.23,"Income, Qualified",Regular,Quarterly,0
14,2017-07-26,2017-05-10,2017-06-30,0.23,"Income, Qualified",Regular,Quarterly,0
15,2017-04-26,2017-01-26,2017-04-03,0.23,"Income, Qualified",Regular,Quarterly,1
16,2017-01-25,2016-10-26,2016-12-30,0.23,"Income, Qualified",Regular,Quarterly,4
17,2016-10-26,2016-07-27,2016-10-03,0.23,"Income, Qualified",Regular,Quarterly,29
18,2016-07-27,2016-05-11,2016-07-01,0.23,"Income, Qualified",Regular,Quarterly,0
19,2016-04-27,2016-02-03,2016-04-04,0.23,"Income, Qualified",Regular,Quarterly,2
20,2016-01-27,2015-10-27,2016-01-04,0.23,"Income, Qualified",Regular,Quarterly,22
21,2015-10-28,2015-07-23,2015-10-05,0.23,"Income, Qualified",Regular,Quarterly,0
22,2015-07-22,2015-05-21,2015-06-29,0.23,"Income, Qualified",Regular,Quarterly,2
23,2015-04-22,2015-02-24,2015-03-30,0.23,"Income, Qualified",Regular,Quarterly,0
24,2015-01-28,2014-10-23,2015-01-05,0.23,"Income, Qualified",Regular,Quarterly,26
25,2014-10-22,2014-07-24,2014-09-29,0.23,"Income, Qualified",Regular,Quarterly,7
26,2014-07-23,2014-05-21,2014-06-30,0.23,"Income, Qualified",Regular,Quarterly,2
27,2014-04-23,2014-01-28,2014-03-31,0.23,"Income, Qualified",Regular,Quarterly,0
28,2014-01-23,2013-10-23,2013-12-30,0.23,"Income, Qualified",Regular,Quarterly,0
29,2013-10-23,2013-07-24,2013-09-30,0.23,"Income, Qualified",Regular,Quarterly,0
30,2013-07-24,2013-05-15,2013-07-01,0.23,"Income, Qualified",Regular,Quarterly,5
31,2013-04-24,2013-02-12,2013-04-01,0.23,"Income, Qualified",Regular,Quarterly,1
32,2013-01-23,2012-10-26,2012-12-28,0.23,"Income, Qualified",Regular,Quarterly,1
33,2012-10-24,2012-07-25,2012-10-01,0.23,"Income, Qualified",Regular,Quarterly,1
34,2012-07-25,2012-05-31,2012-06-29,0.23,"Income, Qualified",Regular,Quarterly,0
35,2012-04-25,2012-02-15,2012-04-02,0.23,"Income, Qualified",Regular,Quarterly,0
36,2012-01-25,2011-10-27,2011-12-30,0.23,"Income, Qualified",Regular,Quarterly,2
37,2011-10-26,2011-07-21,2011-10-03,0.23,"Income, Qualified",Regular,Quarterly,1
38,2011-07-27,2011-05-11,2011-07-01,0.23,"Income, Qualified",Regular,Quarterly,0
39,2011-04-27,2011-02-16,2011-04-04,0.23,"Income, Qualified",Regular,Quarterly,0
40,2011-01-26,2010-10-21,2011-01-03,0.23,"Income, Qualified",Regular,Quarterly,0
41,2010-10-27,2010-07-28,2010-10-04,0.23,"Income, Qualified",Regular,Quarterly,1
42,2010-07-28,2010-05-20,2010-07-02,0.23,"Income, Qualified",Regular,Quarterly,2
43,2010-04-28,2010-02-23,2010-04-05,0.23,"Income, Qualified",Regular,Quarterly,7
44,2010-01-27,2009-11-04,2010-01-04,0.23,"Income, Qualified",Regular,Quarterly,0
45,2009-10-28,2009-08-06,2009-10-05,0.23,"Income, Qualified",Regular,Quarterly,0
46,2009-07-29,2009-05-13,2009-07-06,0.23,"Income, Qualified",Regular,Quarterly,0
47,2009-04-29,2009-02-18,2009-04-06,0.23,"Income, Qualified",Regular,Quarterly,3
48,2009-01-28,2008-12-10,2009-01-05,0.23,"Income, Qualified",Regular,Quarterly,-
49,2008-10-29,2008-08-15,2008-10-06,0.23,"Income, Qualified",Regular,Quarterly,-
50,2008-07-30,2008-05-14,2008-07-07,0.23,"Income, Qualified",Regular,Quarterly,0
51,2008-04-30,2008-02-17,2008-03-31,0.23,"Income, Qualified",Regular,Quarterly,0
52,1999-03-25,1998-12-16,1999-03-02,0.23,Income,Regular,Quarterly,2
53,1998-12-24,1998-09-24,1998-12-01,0.23,Income,Regular,Quarterly,0
54,1998-09-24,1998-06-18,1998-09-01,0.23,Income,Regular,Quarterly,0
55,1998-06-25,1998-04-01,1998-06-02,0.23,Income,Regular,Quarterly,0
56,1998-03-26,1997-12-23,1998-03-03,0.23,Income,Regular,Quarterly,0
57,1997-12-25,1997-09-25,1997-12-02,0.23,Income,Regular,Quarterly,5
58,1997-09-26,1997-06-19,1997-09-03,0.23,Income,Regular,Quarterly,5
59,1997-06-27,1997-03-12,1997-06-04,0.23,Income,Regular,Quarterly,2
60,1997-03-27,1996-12-20,1997-03-04,0.23,Income,Regular,Quarterly,1
61,1996-12-26,1996-09-18,1996-12-03,0.23,Income,Regular,Quarterly,0
62,1996-09-27,1996-06-19,1996-09-04,0.23,Income,Regular,Quarterly,0
63,1996-06-28,1996-03-13,1996-06-05,0.23,Income,Regular,Quarterly,0
64,1996-03-28,1995-12-13,1996-03-05,0.23,Income,Regular,Quarterly,0
65,1995-12-28,1995-09-15,1995-12-05,0.23,Income,Regular,Quarterly,0
66,1995-09-22,1995-06-21,1995-08-30,0.23,Income,Regular,Quarterly,0
