,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-11,2020-11-16,2020-12-01,10.0,"Special, Qualified",Special,Quarterly,-
1,2020-11-13,2020-10-14,2020-10-29,10.0,"Income, Qualified",Regular,Quarterly,3
2,2020-08-14,2020-07-15,2020-07-30,10.0,"Income, Qualified",Regular,Quarterly,2
3,2020-05-15,2020-04-15,2020-04-30,10.0,"Income, Qualified",Regular,Quarterly,3
4,2020-02-21,2020-01-23,2020-02-06,10.0,"Income, Qualified",Regular,Quarterly,0
5,2019-11-15,2019-10-18,2019-10-31,10.0,"Income, Qualified",Regular,Quarterly,4
6,2019-09-13,2019-08-13,2019-08-29,10.0,"Income, Qualified",Regular,Quarterly,0
7,2019-05-24,2019-04-26,2019-05-09,10.0,"Income, Qualified",Regular,Quarterly,0
8,2019-02-22,2019-01-24,2019-02-07,10.0,"Income, Qualified",Regular,Quarterly,0
9,2018-11-23,2018-10-24,2018-11-08,10.0,"Income, Qualified",Regular,Quarterly,-
10,2018-09-14,2018-08-17,2018-08-30,10.0,"Income, Qualified",Regular,Quarterly,0
11,2018-05-25,2018-04-24,2018-05-10,10.0,"Income, Qualified",Regular,Quarterly,4
12,2018-03-02,2018-01-30,2018-02-15,10.0,"Income, Qualified",Regular,Quarterly,0
13,2017-12-01,2017-10-30,2017-11-16,10.0,"Income, Qualified",Regular,Quarterly,0
14,2017-09-01,2017-07-31,2017-08-16,10.0,"Income, Qualified",Regular,Quarterly,0
15,2017-05-26,2017-04-25,2017-05-08,10.0,"Special, Qualified",Special,Quarterly,-
16,2017-05-26,2017-04-25,2017-05-10,10.0,"Income, Qualified",Regular,Quarterly,10
17,2017-02-24,2017-01-27,2017-02-08,10.0,"Income, Qualified",Regular,Quarterly,0
18,2016-11-18,2016-10-12,2016-11-02,10.0,"Income, Qualified",Regular,Quarterly,5
19,2016-08-26,2016-07-25,2016-08-10,10.0,"Income, Qualified",Regular,Quarterly,0
20,2016-05-13,2016-04-14,2016-04-27,10.0,"Income, Qualified",Regular,Quarterly,29
21,2016-02-26,2016-01-29,2016-02-10,10.0,"Income, Qualified",Regular,Quarterly,0
22,2015-11-27,2015-10-29,2015-11-10,10.0,"Income, Qualified",Regular,Quarterly,0
23,2015-08-28,2015-07-27,2015-08-12,10.0,"Income, Qualified",Regular,Quarterly,0
