,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-01-20,2020-12-09,2021-01-04,0.36,"Income, Qualified",Regular,Quarterly,3
1,2020-10-21,2020-09-09,2020-10-01,0.36,"Income, Qualified",Regular,Quarterly,4
2,2020-07-22,2020-06-10,2020-07-02,0.36,"Income, Qualified",Regular,Quarterly,2
3,2020-04-22,2020-02-12,2020-04-02,0.36,"Income, Qualified",Regular,Quarterly,0
4,2020-01-22,2019-12-09,2020-01-02,0.36,"Income, Qualified",Regular,Quarterly,0
5,2019-10-23,2019-09-20,2019-10-03,0.36,"Income, Qualified",Regular,Quarterly,0
6,2019-07-24,2019-06-05,2019-07-03,0.36,"Income, Qualified",Regular,Quarterly,0
7,2019-04-24,2019-02-13,2019-04-04,0.36,"Income, Qualified",Regular,Quarterly,4
8,2019-01-23,2018-12-05,2019-01-03,0.36,"Income, Qualified",Regular,Quarterly,2
9,2018-10-24,2018-09-20,2018-10-04,0.36,"Income, Qualified",Regular,Quarterly,-
10,2018-07-25,2018-05-30,2018-07-05,0.36,"Income, Qualified",Regular,Quarterly,1
11,2018-04-25,2018-02-14,2018-04-04,0.36,"Income, Qualified",Regular,Quarterly,1
12,2018-01-24,2017-12-10,2018-01-04,0.36,"Income, Qualified",Regular,Quarterly,1
13,2017-10-25,2017-09-13,2017-10-04,0.36,"Income, Qualified",Regular,Quarterly,12
14,2017-07-26,2017-06-06,2017-07-05,0.36,"Income, Qualified",Regular,Quarterly,7
15,2017-04-26,2017-02-15,2017-04-04,0.36,"Income, Qualified",Regular,Quarterly,17
16,2017-01-25,2016-12-07,2017-01-04,0.36,"Income, Qualified",Regular,Quarterly,14
17,2016-10-26,2016-09-09,2016-10-03,0.36,"Income, Qualified",Regular,Quarterly,-
18,2016-07-27,2016-06-06,2016-07-05,0.36,"Income, Qualified",Regular,Quarterly,3
19,2016-04-27,2016-02-10,2016-04-04,0.36,"Income, Qualified",Regular,Quarterly,37
20,2016-01-20,2015-11-18,2016-01-04,0.36,"Income, Qualified",Regular,Quarterly,47
21,2015-10-21,2015-09-15,2015-10-01,0.36,"Income, Qualified",Regular,Quarterly,2
22,2015-07-22,2015-05-28,2015-07-01,0.36,"Income, Qualified",Regular,Quarterly,8
23,2015-04-22,2015-02-11,2015-03-31,0.36,"Income, Qualified",Regular,Quarterly,8
24,2015-01-21,2014-12-17,2015-01-02,0.36,"Income, Qualified",Regular,Quarterly,6
25,2014-10-22,2014-08-26,2014-09-30,0.36,Income,Regular,Quarterly,0
26,2014-07-23,2014-06-20,2014-07-02,0.36,Income,Regular,Quarterly,1
27,2014-04-23,2014-02-12,2014-04-01,0.36,Income,Regular,Quarterly,0
28,2014-01-22,2013-12-17,2014-01-02,0.36,Income,Regular,Quarterly,9
29,2013-10-23,2013-09-03,2013-10-01,0.36,Income,Regular,Quarterly,28
30,2013-07-24,2013-06-03,2013-07-01,0.36,Income,Regular,Quarterly,0
31,2013-04-24,2013-03-28,2013-04-04,0.36,Income,Regular,Quarterly,4
32,2012-12-19,2012-11-15,2012-11-27,0.36,Income,Regular,Quarterly,5
33,2012-10-24,2012-08-14,2012-10-02,0.36,Income,Regular,Quarterly,39
34,2012-07-25,2012-06-14,2012-07-02,0.36,Income,Regular,Quarterly,28
35,2012-04-25,2012-02-07,2012-04-03,0.36,"Income, Qualified",Regular,Quarterly,-
36,2012-01-25,2011-12-15,2012-01-03,0.36,"Income, Qualified",Regular,Quarterly,0
37,2011-10-26,2011-09-20,2011-10-04,0.36,"Income, Qualified",Regular,Quarterly,0
38,2011-07-27,2011-06-08,2011-07-05,0.36,"Income, Qualified",Regular,Quarterly,2
39,2011-04-20,2011-03-17,2011-03-29,0.36,"Income, Qualified",Regular,Quarterly,0
