,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-10,2020-10-28,2020-11-17,1.29,"Income, Qualified",Regular,Quarterly,4
1,2020-09-10,2020-07-29,2020-08-18,1.29,"Income, Qualified",Regular,Quarterly,-
2,2020-06-10,2020-04-29,2020-05-18,1.29,"Income, Qualified",Regular,Quarterly,0
3,2020-03-10,2020-01-29,2020-02-14,1.29,"Income, Qualified",Regular,Quarterly,-
4,2019-12-10,2019-10-30,2019-11-15,1.29,"Income, Qualified",Regular,Quarterly,-
5,2019-09-10,2019-07-31,2019-08-16,1.29,"Income, Qualified",Regular,Quarterly,1
6,2019-06-10,2019-04-24,2019-05-16,1.29,"Income, Qualified",Regular,Quarterly,17
7,2019-03-11,2019-01-30,2019-02-14,1.29,"Income, Qualified",Regular,Quarterly,4
8,2018-12-10,2018-10-31,2018-11-15,1.29,"Income, Qualified",Regular,Quarterly,0
9,2018-09-10,2018-07-25,2018-08-16,1.29,"Income, Qualified",Regular,Quarterly,3
10,2018-06-11,2018-04-25,2018-05-17,1.29,"Income, Qualified",Regular,Quarterly,-
11,2018-03-12,2018-01-31,2018-02-15,1.29,"Income, Qualified",Regular,Quarterly,7
12,2017-12-11,2017-10-25,2017-11-16,1.29,"Income, Qualified",Regular,Quarterly,6
13,2017-09-11,2017-07-26,2017-08-16,1.29,"Income, Qualified",Regular,Quarterly,12
14,2017-06-12,2017-04-26,2017-05-17,1.29,"Income, Qualified",Regular,Quarterly,18
15,2017-03-10,2017-01-25,2017-02-14,1.29,"Income, Qualified",Regular,Quarterly,-
16,2016-12-12,2016-10-26,2016-11-16,1.29,"Income, Qualified",Regular,Quarterly,2
17,2016-09-12,2016-07-27,2016-08-17,1.29,"Income, Qualified",Regular,Quarterly,1
18,2016-06-10,2016-04-27,2016-05-17,1.29,"Income, Qualified",Regular,Quarterly,15
19,2016-03-10,2016-01-27,2016-02-16,1.29,"Income, Qualified",Regular,Quarterly,1
20,2015-12-10,2015-10-28,2015-11-16,1.29,"Income, Qualified",Regular,Quarterly,0
21,2015-09-10,2015-07-29,2015-08-17,1.29,"Income, Qualified",Regular,Quarterly,36
22,2015-06-10,2015-04-29,2015-05-15,1.29,"Income, Qualified",Regular,Quarterly,-
23,2015-03-10,2015-01-28,2015-02-12,1.29,"Income, Qualified",Regular,Quarterly,0
24,2014-12-10,2014-10-29,2014-11-14,1.29,"Income, Qualified",Regular,Quarterly,3
25,2014-09-10,2014-07-30,2014-08-15,1.29,"Income, Qualified",Regular,Quarterly,2
26,2014-06-10,2014-04-30,2014-05-15,1.29,"Income, Qualified",Regular,Quarterly,21
27,2014-03-10,2014-01-29,2014-02-12,1.29,"Income, Qualified",Regular,Quarterly,5
28,2013-12-10,2013-10-30,2013-11-14,1.29,"Income, Qualified",Regular,Quarterly,2
29,2013-09-10,2013-07-31,2013-08-15,1.29,"Income, Qualified",Regular,Quarterly,17
30,2013-06-10,2013-04-24,2013-05-15,1.29,"Income, Qualified",Regular,Quarterly,4
31,2013-03-11,2013-01-30,2013-02-13,1.29,"Income, Qualified",Regular,Quarterly,10
32,2012-12-10,2012-10-31,2012-11-14,1.29,"Income, Qualified",Regular,Quarterly,7
33,2012-09-10,2012-07-25,2012-08-15,1.29,"Income, Qualified",Regular,Quarterly,1
34,2012-06-11,2012-04-25,2012-05-16,1.29,"Income, Qualified",Regular,Quarterly,21
35,2012-03-12,2012-01-25,2012-02-15,1.29,"Income, Qualified",Regular,Quarterly,1
36,2011-12-12,2011-10-26,2011-11-16,1.29,"Income, Qualified",Regular,Quarterly,14
37,2011-09-12,2011-07-27,2011-08-17,1.29,"Income, Qualified",Regular,Quarterly,8
38,2011-06-10,2011-04-26,2011-05-17,1.29,"Income, Qualified",Regular,Quarterly,1
39,2011-03-10,2011-01-26,2011-02-14,1.29,"Income, Qualified",Regular,Quarterly,0
40,2010-12-10,2010-10-27,2010-11-16,1.29,"Income, Qualified",Regular,Quarterly,13
41,2010-09-10,2010-07-28,2010-08-17,1.29,"Income, Qualified",Regular,Quarterly,0
42,2010-06-10,2010-04-28,2010-05-17,1.29,"Income, Qualified",Regular,Quarterly,56
43,2010-03-10,2010-01-27,2010-02-12,1.29,"Income, Qualified",Regular,Quarterly,2
44,2009-12-10,2009-10-28,2009-11-16,1.29,"Income, Qualified",Regular,Quarterly,0
45,2009-09-10,2009-07-29,2009-08-17,1.29,"Income, Qualified",Regular,Quarterly,4
46,2009-06-10,2009-04-29,2009-05-15,1.29,"Income, Qualified",Regular,Quarterly,11
47,2009-03-10,2009-01-28,2009-02-12,1.29,"Income, Qualified",Regular,Quarterly,-
48,2008-12-10,2008-10-29,2008-11-14,1.29,"Income, Qualified",Regular,Quarterly,7
49,2008-09-10,2008-07-30,2008-08-15,1.29,"Income, Qualified",Regular,Quarterly,4
50,2008-06-10,2008-04-30,2008-05-15,1.29,"Income, Qualified",Regular,Quarterly,0
51,2008-03-10,2008-01-30,2008-02-13,1.29,"Income, Qualified",Regular,Quarterly,0
52,2007-12-10,2007-10-31,2007-11-14,1.29,"Income, Qualified",Regular,Quarterly,4
53,2007-09-10,2007-07-25,2007-08-15,1.29,"Income, Qualified",Regular,Quarterly,2
54,2007-06-11,2007-04-25,2007-05-16,1.29,"Income, Qualified",Regular,Quarterly,0
55,2007-03-12,2007-01-31,2007-02-14,1.29,"Income, Qualified",Regular,Quarterly,26
56,2006-12-11,2006-10-25,2006-11-15,1.29,"Income, Qualified",Regular,Quarterly,10
57,2006-09-11,2006-07-26,2006-08-16,1.29,"Income, Qualified",Regular,Quarterly,2
58,2006-06-12,2006-04-26,2006-05-17,1.29,"Income, Qualified",Regular,Quarterly,30
59,2006-03-10,2006-01-25,2006-02-14,1.29,"Income, Qualified",Regular,Quarterly,3
60,2005-12-12,2005-10-26,2005-11-16,1.29,"Income, Qualified",Regular,Quarterly,0
61,2005-09-12,2005-07-27,2005-08-17,1.29,"Income, Qualified",Regular,Quarterly,10
62,2005-06-10,2005-04-27,2005-05-17,1.29,"Income, Qualified",Regular,Quarterly,0
63,2005-03-10,2005-01-26,2005-02-14,1.29,"Income, Qualified",Regular,Quarterly,1
64,2004-12-10,2004-10-27,2004-11-16,1.29,"Income, Qualified",Regular,Quarterly,1
65,2004-09-10,2004-07-28,2004-08-17,1.29,"Income, Qualified",Regular,Quarterly,10
66,2004-06-10,2004-04-28,2004-05-17,1.29,"Income, Qualified",Regular,Quarterly,23
67,2004-03-10,2004-01-28,2004-02-13,1.29,"Income, Qualified",Regular,Quarterly,6
68,2003-12-10,2003-10-29,2003-11-14,1.29,"Income, Qualified",Regular,Quarterly,13
69,2003-09-10,2003-07-30,2003-08-15,1.29,"Income, Qualified",Regular,Quarterly,41
70,2003-06-10,2003-04-30,2003-05-15,1.29,"Income, Qualified",Regular,Quarterly,6
71,2003-03-10,2003-01-29,2003-02-12,1.29,"Income, Qualified",Regular,Quarterly,13
72,2002-12-10,2002-10-30,2002-11-14,1.29,Income,Regular,Quarterly,0
73,2002-09-10,2002-07-31,2002-08-15,1.29,Income,Regular,Quarterly,0
74,2002-06-10,2002-04-24,2002-05-15,1.29,Income,Regular,Quarterly,-
75,2002-03-11,2002-01-30,2002-02-13,1.29,Income,Regular,Quarterly,0
76,2001-12-10,2001-10-31,2001-11-14,1.29,Income,Regular,Quarterly,31
77,2001-09-10,2001-07-25,2001-08-15,1.29,Income,Regular,Quarterly,0
78,2001-06-11,2001-04-25,2001-05-16,1.29,Income,Regular,Quarterly,1
79,2001-03-12,2001-01-31,2001-02-14,1.29,Income,Regular,Quarterly,2
80,2000-12-11,2000-10-25,2000-11-15,1.29,Income,Regular,Quarterly,4
81,2000-09-11,2000-07-26,2000-08-16,1.29,Income,Regular,Quarterly,0
82,2000-06-12,2000-04-26,2000-05-17,1.29,Income,Regular,Quarterly,2
83,2000-03-10,2000-01-26,2000-02-16,1.29,Income,Regular,Quarterly,0
84,1999-12-10,1999-10-27,1999-11-17,1.29,Income,Regular,Quarterly,0
85,1999-09-10,1999-07-28,1999-08-18,1.29,Income,Regular,Quarterly,3
86,1999-06-10,1999-04-28,1999-05-18,1.29,Income,Regular,Quarterly,20
87,1999-03-10,1999-01-27,1999-02-17,1.29,Income,Regular,Quarterly,12
88,1998-12-10,1998-10-28,1998-11-18,1.29,Income,Regular,Quarterly,2
89,1998-09-10,1998-07-29,1998-08-18,1.29,Income,Regular,Quarterly,18
90,1998-06-10,1998-04-29,1998-05-18,1.29,Income,Regular,Quarterly,33
91,1998-03-10,1998-01-28,1998-02-18,1.29,Income,Regular,Quarterly,0
92,1997-12-10,1997-10-29,1997-11-18,1.29,Income,Regular,Quarterly,2
93,1997-09-10,1997-07-30,1997-08-18,1.29,Income,Regular,Quarterly,0
94,1997-06-10,1997-04-30,1997-05-16,1.29,Income,Regular,Quarterly,5
95,1997-03-10,1997-01-29,1997-02-18,1.29,Income,Regular,Quarterly,23
96,1996-12-10,1996-10-30,1996-11-12,1.29,Income,Regular,Quarterly,5
97,1996-09-10,1996-07-31,1996-08-13,1.29,Income,Regular,Quarterly,3
98,1996-06-10,1996-04-24,1996-05-14,1.29,Income,Regular,Quarterly,0
99,1996-03-11,1996-01-31,1996-02-13,1.29,Income,Regular,Quarterly,0
100,1995-12-11,1995-10-25,1995-11-15,1.29,Income,Regular,Quarterly,1
101,1995-09-11,1995-07-26,1995-08-15,1.29,Income,Regular,Quarterly,13
102,1995-06-12,1995-04-26,1995-05-11,1.29,Income,Regular,Quarterly,15
