,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-25,2020-10-22,2020-10-30,0.51,"Income, Qualified",Regular,Quarterly,1
1,2020-08-28,2020-07-23,2020-07-31,0.51,"Income, Qualified",Regular,Quarterly,3
2,2020-05-22,2020-04-21,2020-05-01,0.51,"Income, Qualified",Regular,Quarterly,18
3,2020-02-28,2020-01-15,2020-01-31,0.51,"Income, Qualified",Regular,Quarterly,3
4,2019-11-22,2019-10-22,2019-11-01,0.51,"Income, Qualified",Regular,Quarterly,0
5,2019-08-23,2019-07-17,2019-08-02,0.51,"Income, Qualified",Regular,Quarterly,26
6,2019-05-24,2019-04-17,2019-05-03,0.51,"Income, Qualified",Regular,Quarterly,0
7,2019-02-22,2019-01-15,2019-02-01,0.51,"Income, Qualified",Regular,Quarterly,13
8,2018-11-21,2018-10-18,2018-11-02,0.51,"Income, Qualified",Regular,Quarterly,0
9,2018-08-24,2018-07-20,2018-08-03,0.51,"Income, Qualified",Regular,Quarterly,0
10,2018-05-25,2018-04-25,2018-05-04,0.51,"Income, Qualified",Regular,Quarterly,0
11,2018-02-23,2018-01-18,2018-02-02,0.51,"Income, Qualified",Regular,Quarterly,-
12,2017-11-22,2017-10-18,2017-11-03,0.51,"Income, Qualified",Regular,Quarterly,18
13,2017-08-25,2017-07-19,2017-08-03,0.51,"Income, Qualified",Regular,Quarterly,32
14,2017-05-26,2017-04-03,2017-04-27,0.51,"Income, Qualified",Regular,Quarterly,4
15,2017-02-24,2017-01-25,2017-02-02,0.51,"Income, Qualified",Regular,Quarterly,1
16,2016-11-23,2016-10-21,2016-11-03,0.51,"Income, Qualified",Regular,Quarterly,2
17,2016-08-26,2016-07-20,2016-07-28,0.51,"Income, Qualified",Regular,Quarterly,6
18,2016-05-27,2016-04-01,2016-04-28,0.51,"Income, Qualified",Regular,Quarterly,-
19,2016-02-26,2016-01-14,2016-01-28,0.51,"Income, Qualified",Regular,Quarterly,1
20,2015-11-25,2015-10-22,2015-10-29,0.51,"Income, Qualified",Regular,Quarterly,6
21,2015-08-28,2015-07-15,2015-07-30,0.51,"Income, Qualified",Regular,Quarterly,-
