,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-30,2020-09-15,2020-09-25,0.18,"Income, Qualified",Regular,Quarterly,0
1,2020-07-31,2020-05-05,2020-06-25,0.18,"Income, Qualified",Regular,Quarterly,0
2,2020-04-24,2020-02-20,2020-03-26,0.18,"Income, Qualified",Regular,Quarterly,0
3,2020-01-31,2019-12-10,2019-12-26,0.18,"Income, Qualified",Regular,Quarterly,3
4,2019-10-25,2019-09-10,2019-09-26,0.18,"Income, Qualified",Regular,Quarterly,2
5,2019-07-26,2019-05-07,2019-06-27,0.18,"Income, Qualified",Regular,Quarterly,0
6,2019-04-26,2019-03-08,2019-03-28,0.18,"Income, Qualified",Regular,Quarterly,0
7,2019-01-25,2018-12-03,2018-12-27,0.18,"Income, Qualified",Regular,Quarterly,0
8,2018-10-26,2018-09-11,2018-09-27,0.18,"Income, Qualified",Regular,Quarterly,2
9,2018-07-27,2018-05-08,2018-06-28,0.18,"Income, Qualified",Regular,Quarterly,0
10,2018-04-27,2018-02-20,2018-03-28,0.18,"Income, Qualified",Regular,Quarterly,1
11,2018-01-26,2017-12-05,2017-12-28,0.18,"Income, Qualified",Regular,Quarterly,0
12,2017-10-27,2017-09-12,2017-09-28,0.18,"Income, Qualified",Regular,Quarterly,1
13,2017-07-28,2017-05-09,2017-06-28,0.18,"Income, Qualified",Regular,Quarterly,0
14,2017-04-28,2017-02-21,2017-03-29,0.18,"Income, Qualified",Regular,Quarterly,6
15,2017-01-27,2016-12-06,2016-12-28,0.18,"Income, Qualified",Regular,Quarterly,5
16,2016-10-28,2016-09-13,2016-09-28,0.18,"Income, Qualified",Regular,Quarterly,2
17,2016-07-29,2016-05-10,2016-06-01,0.18,"Income, Qualified",Regular,Quarterly,0
18,2016-04-29,2016-02-23,2016-03-22,0.18,"Income, Qualified",Regular,Quarterly,0
19,2016-01-29,2015-12-08,2015-12-17,0.18,"Income, Qualified",Regular,Quarterly,8
20,2015-10-30,2015-09-16,2015-09-30,0.18,"Income, Qualified",Regular,Quarterly,0
21,2015-07-31,2015-05-18,2015-06-24,0.18,"Income, Qualified",Regular,Quarterly,2
22,2015-04-24,2015-02-25,2015-03-25,0.18,"Income, Qualified",Regular,Quarterly,34
23,2015-01-30,2014-12-10,2014-12-23,0.18,"Income, Qualified",Regular,Quarterly,0
24,2014-10-31,2014-09-09,2014-09-24,0.18,"Income, Qualified",Regular,Quarterly,0
25,2014-07-25,2014-05-06,2014-06-25,0.18,"Income, Qualified",Regular,Quarterly,0
26,2014-04-25,2014-02-18,2014-03-26,0.18,"Income, Qualified",Regular,Quarterly,3
27,2014-01-31,2013-12-10,2013-12-26,0.18,"Income, Qualified",Regular,Quarterly,0
28,2013-10-25,2013-09-10,2013-09-25,0.18,"Income, Qualified",Regular,Quarterly,0
29,2013-07-26,2013-05-07,2013-06-26,0.18,"Income, Qualified",Regular,Quarterly,0
30,2013-04-26,2013-02-21,2013-03-26,0.18,"Income, Qualified",Regular,Quarterly,0
31,2012-12-28,2012-12-04,2012-12-12,0.18,"Income, Qualified",Regular,Quarterly,0
32,2012-10-26,2012-09-12,2012-09-26,0.18,"Income, Qualified",Regular,Quarterly,0
33,2012-07-27,2012-05-09,2012-06-27,0.18,"Income, Qualified",Regular,Quarterly,0
34,2012-04-27,2012-02-23,2012-03-28,0.18,"Income, Qualified",Regular,Quarterly,2
35,2012-01-27,2011-12-15,2011-12-28,0.18,"Income, Qualified",Regular,Quarterly,4
36,2011-10-28,2011-09-13,2011-09-28,0.18,"Income, Qualified",Regular,Quarterly,10
37,2011-07-29,2011-05-11,2011-06-22,0.18,"Income, Qualified",Regular,Quarterly,7
38,2011-04-29,2011-02-23,2011-03-23,0.18,"Income, Qualified",Regular,Quarterly,0
39,2011-01-28,2010-12-07,2010-12-29,0.18,"Income, Qualified",Regular,Quarterly,14
40,2010-10-29,2010-09-14,2010-09-22,0.18,"Income, Qualified",Regular,Quarterly,2
41,2010-07-30,2010-05-12,2010-06-23,0.18,"Income, Qualified",Regular,Quarterly,31
42,2010-04-30,2010-02-24,2010-03-24,0.18,"Income, Qualified",Regular,Quarterly,4
43,2010-01-29,2009-12-08,2009-12-29,0.18,"Income, Qualified",Regular,Quarterly,0
44,2009-10-30,2009-09-18,2009-09-23,0.18,"Income, Qualified",Regular,Quarterly,15
45,2009-07-31,2009-05-07,2009-06-24,0.18,"Income, Qualified",Regular,Quarterly,0
46,2009-04-24,2009-02-25,2009-03-25,0.18,"Income, Qualified",Regular,Quarterly,0
47,2009-01-30,2008-12-12,2008-12-23,0.18,"Income, Qualified",Regular,Quarterly,1
48,2008-10-31,2008-09-12,2008-09-24,0.18,"Income, Qualified",Regular,Quarterly,0
49,2008-07-25,2008-05-07,2008-06-25,0.18,"Income, Qualified",Regular,Quarterly,0
50,2008-04-25,2008-02-21,2008-03-26,0.18,"Income, Qualified",Regular,Quarterly,4
51,2008-01-25,2007-12-05,2007-12-27,0.18,"Income, Qualified",Regular,Quarterly,-
52,2007-10-26,2007-09-14,2007-09-26,0.18,"Income, Qualified",Regular,Quarterly,23
53,2007-07-27,2007-05-24,2007-06-27,0.18,"Income, Qualified",Regular,Quarterly,0
54,2007-04-27,2007-03-13,2007-03-28,0.18,"Income, Qualified",Regular,Quarterly,13
55,2007-01-26,2006-12-05,2006-12-27,0.18,"Income, Qualified",Regular,Quarterly,0
56,2006-10-27,2006-09-14,2006-09-27,0.18,"Income, Qualified",Regular,Quarterly,0
57,2006-07-28,2006-05-04,2006-06-28,0.18,"Income, Qualified",Regular,Quarterly,1
58,2006-04-28,2006-02-28,2006-03-29,0.18,"Income, Qualified",Regular,Quarterly,0
59,2006-01-27,2005-12-06,2005-12-28,0.18,"Income, Qualified",Regular,Quarterly,0
60,2005-10-28,2005-09-15,2005-09-28,0.18,"Income, Qualified",Regular,Quarterly,1
61,2005-07-29,2005-05-06,2005-06-22,0.18,"Income, Qualified",Regular,Quarterly,21
62,2005-04-29,2005-03-21,2005-03-22,0.18,"Income, Qualified",Regular,Quarterly,47
63,2005-01-28,2004-12-20,2004-12-29,0.18,"Income, Qualified",Regular,Quarterly,-
64,2004-10-29,2004-09-17,2004-09-22,0.18,"Income, Qualified",Regular,Quarterly,10
65,2004-07-30,2004-06-18,2004-06-23,0.18,"Income, Qualified",Regular,Quarterly,0
66,2004-04-30,2004-03-17,2004-03-24,0.18,"Income, Qualified",Regular,Quarterly,1
67,2004-01-30,2003-12-19,2003-12-23,0.18,"Income, Qualified",Regular,Quarterly,0
68,2003-10-31,2003-09-18,2003-09-24,0.18,"Income, Qualified",Regular,Quarterly,6
69,2003-07-31,2003-06-20,2003-06-25,0.18,"Income, Qualified",Regular,Quarterly,17
70,2003-04-30,2003-03-20,2003-03-26,0.18,"Income, Qualified",Regular,Quarterly,5
