,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-01-16,2019-12-04,2019-12-13,0.88,"Income, Qualified Regular",Regular,Annually,1
1,2019-07-25,2019-06-26,2019-07-05,0.88,"Income, Qualified Regular",Regular,Annually,3
2,2019-01-10,2018-11-28,2018-12-07,0.88,"Income, Qualified Regular",Regular,Annually,55
3,2018-07-26,2018-06-26,2018-07-06,0.88,"Income, Qualified Regular",Regular,Annually,1
4,2018-01-11,2017-11-29,2017-12-08,0.88,"Income, Qualified Regular",Regular,Annually,1
5,2017-07-27,2017-06-28,2017-07-06,0.88,"Income, Qualified Regular",Regular,Annually,8
6,2017-01-11,2016-11-30,2016-12-08,0.88,"Income, Qualified Regular",Regular,Annually,0
7,2016-07-28,2016-06-29,2016-07-07,0.88,"Income, Qualified Regular",Regular,Annually,1
8,2016-01-11,2015-12-02,2015-12-10,0.88,"Income, Qualified Regular",Regular,Annually,3
9,2015-07-29,2015-06-24,2015-07-01,0.88,"Income, Qualified Regular",Regular,Annually,0
10,2015-01-08,2014-12-03,2014-12-11,0.88,"Income, Qualified",Regular,Annually,0
11,2014-01-16,2013-12-04,2013-12-12,0.88,"Income, Qualified",Regular,Annually,3
12,2012-12-28,2012-11-28,2012-12-06,0.88,"Income, Qualified",Regular,Annually,4
13,2012-01-18,2011-11-30,2011-12-14,0.88,"Income, Qualified",Regular,Annually,6
14,2011-01-18,2010-12-01,2010-12-09,0.88,"Income, Qualified",Regular,Annually,2
15,2010-01-19,2009-12-02,2009-12-10,0.88,"Income, Qualified",Regular,Annually,0
16,2009-01-20,2008-12-03,2008-12-11,0.88,"Income, Qualified",Regular,Annually,3
17,2008-01-11,2007-11-28,2007-12-05,0.88,"Income, Qualified",Regular,Annually,0
18,2007-01-12,2006-11-28,2006-12-13,0.88,"Income, Qualified",Regular,Annually,1
19,2006-01-06,2005-12-02,2005-12-08,0.88,"Income, Qualified",Regular,Annually,26
20,2005-01-06,2004-12-01,2004-12-08,0.88,"Income, Qualified",Regular,Annually,0
21,2004-01-06,2003-12-02,2003-12-10,0.88,"Income, Qualified",Regular,Annually,0
22,2003-01-09,2002-12-03,2002-12-11,0.88,"Income, Qualified",Regular,Annually,16
23,2001-12-21,2001-11-27,2001-12-05,0.88,Income,Regular,Annually,0
24,2000-12-22,2000-11-28,2000-12-06,0.88,Income,Regular,Annually,0
25,1999-12-17,1999-11-04,1999-11-12,0.88,Income,Regular,Annually,0
26,1998-11-20,1998-09-29,1998-10-07,0.88,Income,Regular,Annually,4
27,1998-08-21,1998-06-24,1998-07-22,0.88,Income,Regular,Quarterly,-
28,1998-05-22,1998-01-30,1998-04-07,0.88,Income,Regular,Quarterly,2
29,1998-02-20,1997-11-24,1998-01-07,0.88,Income,Regular,Quarterly,0
30,1997-11-21,1997-09-22,1997-10-15,0.88,Income,Regular,Quarterly,0
31,1997-08-22,1997-06-23,1997-07-09,0.88,Income,Regular,Quarterly,5
32,1997-05-16,1997-01-27,1997-04-09,0.88,Income,Regular,Quarterly,1
33,1997-02-21,1996-11-25,1997-01-08,0.88,Income,Regular,Quarterly,4
34,1996-11-22,1996-09-30,1996-10-09,0.88,Income,Regular,Quarterly,1
35,1996-08-16,1996-06-24,1996-07-10,0.88,Income,Regular,Quarterly,0
36,1996-05-17,1996-01-22,1996-04-10,0.88,Income,Regular,Quarterly,-
37,1996-02-16,1995-11-27,1995-12-29,0.88,Income,Regular,Quarterly,2
38,1995-11-17,1995-09-26,1995-10-11,0.88,Income,Regular,Quarterly,2
39,1995-08-18,1995-06-26,1995-07-06,0.88,Income,Regular,Quarterly,0
