,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2019-08-23,-,2019-07-31,0.1053,Special,Special,Annually,-
1,2019-07-25,-,2019-06-19,0.1053,Income,Regular,Annually,1
2,2018-07-11,-,2018-06-01,0.1053,Income,Regular,Annually,15
3,2017-08-03,-,2017-06-27,0.1053,Income,Regular,Annually,1
4,2016-08-03,-,2016-06-27,0.1053,Income,Regular,Annually,3
5,2015-07-31,-,2015-06-30,0.1053,Income,Regular,Annually,0
6,2014-07-08,-,2014-06-26,0.1053,Income,Regular,Annually,0
7,2013-07-10,-,2013-06-11,0.1053,Income,Regular,Annually,199
8,2012-07-27,-,2012-06-26,0.1053,Income,Regular,Annually,0
9,2011-07-19,-,2011-05-31,0.1053,Income,Regular,Annually,0
10,2010-07-16,-,2010-06-09,0.1053,Income,Regular,Annually,1
11,2009-08-04,-,2009-06-22,0.1053,Income,Regular,Annually,4
12,2008-07-15,-,2008-04-25,0.1053,Income,Regular,Annually,0
13,2007-08-03,-,2007-05-16,0.1053,Income,Regular,Annually,0
14,2006-06-26,-,2006-05-10,0.1053,Income,Regular,Annually,0
15,2005-07-13,-,2005-05-25,0.1053,"Income, Qualified",Regular,Annually,9
16,2005-07-13,-,2005-05-25,0.1053,Special,Special,Annually,9
17,2004-06-17,-,2004-05-04,0.1053,"Income, Qualified",Regular,Annually,0
18,2003-06-18,-,2003-04-29,0.1053,"Income, Qualified",Regular,Annually,0
19,2002-06-11,-,2002-05-07,0.1053,Income,Regular,Annually,8
