,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-17,2020-11-19,2020-12-02,1.5,"Income, Qualified",Regular,Quarterly,36
1,2020-09-17,2020-08-18,2020-09-02,1.5,"Income, Qualified",Regular,Quarterly,0
2,2020-06-18,2020-05-19,2020-06-03,1.5,"Income, Qualified",Regular,Quarterly,2
3,2020-03-26,2020-02-25,2020-03-11,1.5,"Income, Qualified",Regular,Quarterly,41
4,2019-12-19,2019-11-21,2019-12-04,1.5,"Income, Qualified",Regular,Quarterly,0
5,2019-09-19,2019-08-22,2019-09-04,1.5,"Income, Qualified",Regular,Quarterly,0
6,2019-06-20,2019-05-23,2019-06-05,1.5,"Income, Qualified",Regular,Quarterly,0
7,2019-03-28,2019-02-25,2019-03-13,1.5,"Income, Qualified",Regular,Quarterly,4
8,2018-12-13,2018-11-15,2018-11-28,1.5,"Income, Qualified",Regular,Quarterly,0
9,2018-09-13,2018-08-16,2018-08-29,1.5,"Income, Qualified",Regular,Quarterly,4
10,2018-06-14,2018-05-17,2018-05-30,1.5,"Income, Qualified",Regular,Quarterly,0
11,2018-03-22,2018-02-20,2018-03-07,1.5,"Income, Qualified",Regular,Quarterly,2
12,2017-12-14,2017-11-16,2017-11-29,1.5,"Income, Qualified",Regular,Quarterly,0
13,2017-09-14,2017-08-17,2017-08-29,1.5,"Income, Qualified",Regular,Quarterly,5
14,2017-06-15,2017-05-18,2017-05-30,1.5,"Income, Qualified",Regular,Quarterly,2
15,2017-03-23,2017-02-21,2017-03-07,1.5,"Income, Qualified",Regular,Quarterly,4
16,2016-12-15,2016-11-17,2016-11-29,1.5,"Income, Qualified",Regular,Quarterly,6
17,2016-09-15,2016-08-18,2016-08-30,1.5,"Income, Qualified",Regular,Quarterly,-
18,2016-06-16,2016-05-19,2016-05-31,1.5,"Income, Qualified",Regular,Quarterly,28
19,2016-03-24,2016-02-23,2016-03-08,1.5,"Income, Qualified",Regular,Quarterly,0
20,2015-12-17,2015-11-19,2015-12-01,1.5,"Income, Qualified",Regular,Quarterly,0
21,2015-09-17,2015-08-20,2015-09-01,1.5,"Income, Qualified",Regular,Quarterly,1
22,2015-06-18,2015-05-21,2015-06-02,1.5,"Income, Qualified",Regular,Quarterly,1
23,2015-03-26,2015-02-24,2015-03-10,1.5,"Income, Qualified",Regular,Quarterly,2
24,2014-12-18,2014-11-20,2014-12-02,1.5,"Income, Qualified",Regular,Quarterly,2
25,2014-09-18,2014-08-21,2014-09-02,1.5,"Income, Qualified",Regular,Quarterly,23
26,2014-06-19,2014-05-22,2014-06-03,1.5,"Income, Qualified",Regular,Quarterly,18
27,2014-03-27,2014-02-25,2014-03-11,1.5,"Income, Qualified",Regular,Quarterly,-
28,2013-12-19,2013-11-21,2013-12-03,1.5,"Income, Qualified",Regular,Quarterly,3
29,2013-09-19,2013-08-22,2013-09-03,1.5,"Income, Qualified",Regular,Quarterly,5
30,2013-06-20,2013-05-23,2013-06-04,1.5,"Income, Qualified",Regular,Quarterly,24
31,2013-03-28,2013-02-26,2013-03-12,1.5,"Income, Qualified",Regular,Quarterly,21
32,2012-12-13,2012-11-15,2012-11-27,1.5,"Income, Qualified",Regular,Quarterly,1
33,2012-09-13,2012-08-16,2012-08-28,1.5,"Income, Qualified",Regular,Quarterly,1
34,2012-06-14,2012-05-17,2012-05-29,1.5,"Income, Qualified",Regular,Quarterly,0
35,2012-03-22,2012-02-23,2012-03-06,1.5,"Income, Qualified",Regular,Quarterly,1
36,2011-12-15,2011-11-15,2011-11-29,1.5,"Income, Qualified",Regular,Quarterly,0
37,2011-09-15,2011-08-18,2011-08-30,1.5,"Income, Qualified",Regular,Quarterly,12
38,2011-06-30,2011-06-01,2011-06-14,1.5,"Income, Qualified",Regular,Quarterly,0
39,2011-03-24,2011-02-22,2011-03-08,1.5,"Income, Qualified",Regular,Quarterly,0
40,2010-12-16,2010-11-18,2010-11-30,1.5,"Income, Qualified",Regular,Quarterly,1
41,2010-09-16,2010-08-19,2010-08-31,1.5,"Income, Qualified",Regular,Quarterly,1
42,2010-06-17,2010-05-20,2010-06-01,1.5,"Income, Qualified",Regular,Quarterly,1
43,2010-03-25,2010-02-23,2010-03-09,1.5,"Income, Qualified",Regular,Quarterly,3
