,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-03-12,2020-02-12,2021-02-25,0.93,"Income, Qualified",Regular,Quarterly,-
1,2020-12-04,2020-09-25,2020-11-12,0.93,"Income, Qualified",Regular,Quarterly,1
2,2020-09-04,2020-07-31,2020-08-13,0.93,"Income, Qualified",Regular,Quarterly,1
3,2020-06-05,2020-04-27,2020-05-14,0.93,"Income, Qualified",Regular,Quarterly,0
4,2020-03-06,2020-02-13,2020-02-27,0.93,"Income, Qualified",Regular,Quarterly,4
5,2019-12-06,2019-09-27,2019-11-14,0.93,"Income, Qualified",Regular,Quarterly,45
6,2019-09-06,2019-07-26,2019-08-15,0.93,"Income, Qualified",Regular,Quarterly,1
7,2019-06-14,2019-04-29,2019-05-23,0.93,"Income, Qualified",Regular,Quarterly,9
8,2019-03-08,2019-02-07,2019-02-21,0.93,"Income, Qualified",Regular,Quarterly,4
9,2018-12-07,2018-09-28,2018-11-15,0.93,"Income, Qualified",Regular,Quarterly,0
10,2018-09-07,2018-07-27,2018-08-16,0.93,"Income, Qualified",Regular,Quarterly,0
11,2018-06-08,2018-04-23,2018-05-17,0.93,"Income, Qualified",Regular,Quarterly,1
12,2018-03-09,2018-02-08,2018-02-22,0.93,"Income, Qualified",Regular,Quarterly,1
13,2017-12-08,2017-09-29,2017-11-16,0.93,"Income, Qualified",Regular,Quarterly,0
14,2017-09-08,2017-07-28,2017-08-16,0.93,"Income, Qualified",Regular,Quarterly,0
15,2017-06-09,2017-04-24,2017-05-17,0.93,"Income, Qualified",Regular,Quarterly,5
16,2017-03-10,2017-02-09,2017-02-22,0.93,"Income, Qualified",Regular,Quarterly,0
17,2016-12-09,2016-10-28,2016-11-16,0.93,"Income, Qualified",Regular,Quarterly,5
18,2016-09-09,2016-07-29,2016-08-17,0.93,"Income, Qualified",Regular,Quarterly,3
19,2016-06-10,2016-04-25,2016-05-17,0.93,"Income, Qualified",Regular,Quarterly,14
20,2016-03-10,2016-02-12,2016-02-23,0.93,"Income, Qualified",Regular,Quarterly,5
21,2015-12-10,2015-10-30,2015-11-17,0.93,"Income, Qualified",Regular,Quarterly,1
22,2015-09-10,2015-07-31,2015-08-18,0.93,"Income, Qualified",Regular,Quarterly,-
