,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2019-11-20,-,2019-10-10,0.5,Income,Regular,Quarterly,1
1,2019-09-26,-,2019-08-15,0.5,Income,Regular,Quarterly,1
2,2019-07-05,-,2019-05-16,0.5,Income,Regular,Quarterly,-
3,2019-04-08,-,2019-02-21,0.5,Income,Regular,Quarterly,28
4,2018-11-21,-,2018-10-11,0.5,Income,Regular,Quarterly,32
5,2018-09-27,-,2018-08-16,0.5,Income,Regular,Quarterly,7
6,2018-07-05,-,2018-05-17,0.5,Income,Regular,Quarterly,3
7,2018-04-06,-,2018-02-22,0.5,Income,Regular,Quarterly,-
8,2017-11-22,-,2017-10-12,0.5,Income,Regular,Quarterly,42
9,2017-09-20,-,2017-08-02,0.5,Income,Regular,Quarterly,-
10,2017-07-05,-,2017-05-17,0.5,Income,Regular,Quarterly,30
11,2017-04-06,-,2017-02-22,0.5,Income,Regular,Quarterly,50
12,2016-12-06,-,2016-10-19,0.5,Income,Regular,Quarterly,13
13,2016-09-28,-,2016-08-10,0.5,Income,Regular,Quarterly,1
14,2016-07-06,-,2016-05-18,0.5,Income,Regular,Quarterly,0
15,2016-04-20,-,2016-03-02,0.5,Income,Regular,Quarterly,2
16,2015-12-03,-,2015-10-21,0.5,Income,Regular,Quarterly,2
17,2015-10-02,-,2015-08-12,0.5,Income,Regular,Quarterly,-
18,2015-07-08,-,2015-05-20,0.5,Income,Regular,Quarterly,1
19,2015-04-30,-,2015-03-04,0.5,Income,Regular,Quarterly,28
20,2014-12-10,-,2014-10-22,0.5,Income,Regular,Quarterly,1
21,2014-10-09,-,2014-08-20,0.5,Income,Regular,Quarterly,3
22,2014-07-10,-,2014-05-21,0.5,Income,Regular,Quarterly,7
23,2014-04-30,-,2014-03-12,0.5,Income,Regular,Quarterly,20
24,2013-12-11,-,2013-10-23,0.5,Income,Regular,Quarterly,8
25,2013-10-09,-,2013-08-21,0.5,Income,Regular,Quarterly,11
26,2013-07-11,-,2013-05-22,0.5,Income,Regular,Quarterly,-
27,2013-05-08,-,2013-03-20,0.5,Income,Regular,Quarterly,27
28,2012-12-12,-,2012-10-24,0.5,Income,Regular,Quarterly,1
29,2012-10-04,-,2012-08-15,0.5,Income,Regular,Quarterly,2
30,2012-07-05,-,2012-05-16,0.5,Income,Regular,Quarterly,24
31,2012-05-02,-,2012-03-14,0.5,Income,Regular,Quarterly,2
32,2012-01-18,-,2011-11-22,0.5,Income,Regular,Quarterly,4
33,2011-10-06,-,2011-08-17,0.5,Income,Regular,Quarterly,52
34,2011-07-06,-,2011-05-18,0.5,Income,Regular,Quarterly,9
35,2011-05-05,-,2011-03-16,0.5,Income,Regular,Quarterly,10
36,2011-01-12,-,2010-11-17,0.5,Income,Regular,Quarterly,1
37,2010-10-06,-,2010-08-18,0.5,Income,Regular,Quarterly,18
38,2010-07-07,-,2010-05-19,0.5,Income,Regular,Quarterly,16
39,2010-05-05,-,2010-03-17,0.5,Income,Regular,Quarterly,0
40,2010-01-13,-,2009-11-18,0.5,Income,Regular,Quarterly,-
41,2009-10-07,-,2009-08-19,0.5,Income,Regular,Quarterly,2
42,2009-07-08,-,2009-05-20,0.5,Income,Regular,Quarterly,7
43,2009-05-06,-,2009-03-18,0.5,Income,Regular,Quarterly,3
44,2009-01-14,-,2008-11-19,0.5,Income,Regular,Quarterly,5
45,2008-10-08,-,2008-08-20,0.5,Income,Regular,Quarterly,0
46,2008-07-09,-,2008-05-21,0.5,Income,Regular,Quarterly,-
47,2008-05-07,-,2008-03-20,0.5,Income,Regular,Quarterly,0
48,2008-01-16,-,2007-11-20,0.5,Income,Regular,Quarterly,0
49,2007-10-04,-,2007-08-15,0.5,Income,Regular,Quarterly,2
50,2007-07-05,-,2007-05-16,0.5,Income,Regular,Quarterly,-
51,2007-05-10,-,2007-03-21,0.5,Income,Regular,Quarterly,0
52,2007-01-18,-,2006-11-21,0.5,Income,Regular,Quarterly,1
53,2006-10-04,-,2006-08-16,0.5,Income,Regular,Quarterly,30
54,2006-07-06,-,2006-05-17,0.5,Income,Regular,Quarterly,55
55,2006-05-11,-,2006-03-22,0.5,Income,Regular,Quarterly,20
56,2006-01-19,-,2005-11-22,0.5,Income,Regular,Quarterly,1
57,2005-10-05,-,2005-08-17,0.5,Income,Regular,Quarterly,-
58,2005-07-06,-,2005-05-18,0.5,Income,Regular,Quarterly,20
59,2005-05-04,-,2005-03-16,0.5,Income,Regular,Quarterly,-
60,2005-01-20,-,2004-11-23,0.5,Income,Regular,Quarterly,0
61,2004-10-06,-,2004-08-18,0.5,Income,Regular,Quarterly,2
62,2004-07-07,-,2004-05-19,0.5,Income,Regular,Quarterly,0
63,2004-05-05,-,2004-03-17,0.5,Income Regular,Semi,Annually,-
64,2004-01-20,-,2003-11-25,0.5,Income Regular,Semi,Annually,3
65,2003-10-07,-,2003-08-20,0.5,"Income, Qualified Regular",Regular,Annually,10
66,2003-05-06,-,2003-03-19,0.5,"Income, Qualified Regular",Regular,Annually,29
67,2002-10-09,-,2002-08-21,0.5,Income Regular,Semi,Annually,-
68,2002-05-07,-,2002-03-20,0.5,Income Regular,Semi,Annually,32
69,2001-10-09,-,2001-08-22,0.5,Income Regular,Semi,Annually,0
70,2001-05-02,-,2001-03-14,0.5,Income Regular,Semi,Annually,25
71,2000-03-17,-,2000-03-15,0.5,Income,Unknown,-,-
