,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-10,2020-10-27,2020-11-09,1.63,"Income, Qualified",Regular,Quarterly,0
1,2020-09-10,2020-07-28,2020-08-07,1.63,"Income, Qualified",Regular,Quarterly,1
2,2020-06-10,2020-04-28,2020-05-07,1.63,"Income, Qualified",Regular,Quarterly,14
3,2020-03-10,2020-01-28,2020-02-07,1.63,"Income, Qualified",Regular,Quarterly,-
4,2019-12-10,2019-10-29,2019-11-07,1.63,"Income, Qualified",Regular,Quarterly,53
5,2019-09-10,2019-07-30,2019-08-08,1.63,"Income, Qualified",Regular,Quarterly,0
6,2019-06-10,2019-04-30,2019-05-09,1.63,"Income, Qualified",Regular,Quarterly,30
7,2019-03-09,2019-01-29,2019-02-07,1.63,"Income, Qualified",Regular,Quarterly,4
8,2018-12-10,2018-10-30,2018-11-08,1.63,"Income, Qualified",Regular,Quarterly,17
9,2018-09-10,2018-07-31,2018-08-09,1.63,"Income, Qualified",Regular,Quarterly,14
10,2018-06-09,2018-04-24,2018-05-09,1.63,"Income, Qualified",Regular,Quarterly,1
11,2018-03-10,2018-01-30,2018-02-08,1.63,"Income, Qualified",Regular,Quarterly,4
12,2017-12-09,2017-10-31,2017-11-09,1.63,"Income, Qualified",Regular,Quarterly,8
13,2017-09-09,2017-07-25,2017-08-08,1.63,"Income, Qualified",Regular,Quarterly,13
14,2017-06-10,2017-04-25,2017-05-08,1.63,"Income, Qualified",Regular,Quarterly,25
15,2017-03-10,2017-01-31,2017-02-08,1.63,"Income, Qualified",Regular,Quarterly,2
16,2016-12-10,2016-10-25,2016-11-08,1.63,"Income, Qualified",Regular,Quarterly,2
17,2016-09-10,2016-07-26,2016-08-08,1.63,"Income, Qualified",Regular,Quarterly,3
18,2016-06-10,2016-04-26,2016-05-06,1.63,"Income, Qualified",Regular,Quarterly,0
19,2016-03-10,2016-01-26,2016-02-08,1.63,"Income, Qualified",Regular,Quarterly,8
20,2015-12-10,2015-10-27,2015-11-06,1.63,"Income, Qualified",Regular,Quarterly,17
21,2015-09-10,2015-07-28,2015-08-06,1.63,"Income, Qualified",Regular,Quarterly,-
22,2015-06-10,2015-04-28,2015-05-06,1.63,"Income, Qualified",Regular,Quarterly,6
23,2015-03-10,2015-01-27,2015-02-06,1.63,"Income, Qualified",Regular,Quarterly,2
24,2014-12-10,2014-10-28,2014-11-06,1.63,"Income, Qualified",Regular,Quarterly,1
25,2014-09-10,2014-07-29,2014-08-06,1.63,"Income, Qualified",Regular,Quarterly,3
26,2014-06-10,2014-04-29,2014-05-07,1.63,"Income, Qualified",Regular,Quarterly,2
27,2014-03-10,2014-01-28,2014-02-06,1.63,"Income, Qualified",Regular,Quarterly,0
28,2013-12-10,2013-10-28,2013-11-06,1.63,"Income, Qualified",Regular,Quarterly,0
29,2013-09-10,2013-07-30,2013-08-07,1.63,"Income, Qualified",Regular,Quarterly,27
30,2013-06-10,2013-04-30,2013-05-08,1.63,"Income, Qualified",Regular,Quarterly,0
