,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-03-01,2021-01-21,2021-02-04,0.3475,"Income, Qualified",Regular,Quarterly,0
1,2020-12-01,2020-09-18,2020-11-05,0.3475,"Income, Qualified",Regular,Quarterly,4
2,2020-09-01,2020-07-16,2020-08-06,0.3475,"Income, Qualified",Regular,Quarterly,2
3,2020-06-01,2020-03-12,2020-05-06,0.3475,"Income, Qualified",Regular,Quarterly,0
4,2020-03-01,2020-01-23,2020-02-06,0.3475,"Income, Qualified",Regular,Quarterly,3
5,2019-12-01,2019-09-13,2019-11-06,0.3475,"Income, Qualified",Regular,Quarterly,0
6,2019-09-01,2019-07-18,2019-08-06,0.3475,"Income, Qualified",Regular,Quarterly,2
7,2019-06-01,2019-03-14,2019-05-06,0.3475,"Income, Qualified",Regular,Quarterly,56
8,2019-03-01,2019-01-24,2019-02-06,0.3475,"Income, Qualified",Regular,Quarterly,4
9,2018-12-01,2018-09-14,2018-11-06,0.3475,"Income, Qualified",Regular,Quarterly,1
10,2018-09-01,2018-07-19,2018-08-06,0.3475,"Income, Qualified",Regular,Quarterly,1
11,2018-06-01,2018-03-15,2018-05-04,0.3475,"Income, Qualified",Regular,Quarterly,0
12,2018-03-01,2018-01-25,2018-02-06,0.3475,"Income, Qualified",Regular,Quarterly,0
13,2017-12-01,2017-09-14,2017-11-06,0.3475,"Income, Qualified",Regular,Quarterly,0
14,2017-09-01,2017-07-21,2017-08-03,0.3475,"Income, Qualified",Regular,Quarterly,31
15,2017-06-01,2017-03-23,2017-05-03,0.3475,"Income, Qualified",Regular,Quarterly,0
16,2017-03-01,2017-01-23,2017-02-03,0.3475,"Income, Qualified",Regular,Quarterly,56
17,2016-12-01,2016-09-15,2016-11-03,0.3475,"Income, Qualified",Regular,Quarterly,2
18,2016-09-01,2016-07-12,2016-08-03,0.3475,"Income, Qualified",Regular,Quarterly,1
19,2016-06-01,2016-03-17,2016-05-04,0.3475,"Income, Qualified",Regular,Quarterly,8
20,2016-03-01,2016-01-22,2016-02-03,0.3475,"Income, Qualified",Regular,Quarterly,17
21,2015-12-01,2015-09-11,2015-11-04,0.3475,"Income, Qualified",Regular,Quarterly,12
22,2015-09-01,2015-07-23,2015-08-05,0.3475,"Income, Qualified",Regular,Quarterly,3
23,2015-06-01,2015-03-19,2015-05-05,0.3475,"Income, Qualified",Regular,Quarterly,12
24,2015-03-01,2015-01-23,2015-02-04,0.3475,"Income, Qualified",Regular,Quarterly,1
25,2014-12-01,2014-09-12,2014-11-05,0.3475,"Income, Qualified",Regular,Quarterly,9
26,2014-09-01,2014-07-24,2014-08-05,0.3475,"Income, Qualified",Regular,Quarterly,6
27,2014-06-01,2014-03-19,2014-05-05,0.3475,"Income, Qualified",Regular,Quarterly,6
28,2014-03-01,2014-01-23,2014-02-05,0.3475,"Income, Qualified",Regular,Quarterly,1
