,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-08,2020-10-22,2020-11-23,1.01,"Income, Qualified",Regular,Quarterly,6
1,2020-09-08,2020-07-20,2020-08-24,1.01,"Income, Qualified",Regular,Quarterly,3
2,2020-06-09,2020-04-14,2020-05-22,1.01,"Income, Qualified",Regular,Quarterly,4
3,2020-03-10,2020-01-02,2020-02-24,1.01,"Income, Qualified",Regular,Quarterly,39
4,2019-12-10,2019-10-17,2019-11-25,1.01,"Income, Qualified",Regular,Quarterly,7
5,2019-09-10,2019-07-15,2019-08-26,1.01,"Income, Qualified",Regular,Quarterly,0
6,2019-06-11,2019-04-25,2019-05-24,1.01,"Income, Qualified",Regular,Quarterly,13
7,2019-03-12,2019-01-02,2019-02-25,1.01,"Income, Qualified",Regular,Quarterly,3
8,2018-12-11,2018-10-18,2018-11-26,1.01,"Income, Qualified",Regular,Quarterly,1
9,2018-09-11,2018-07-16,2018-08-27,1.01,"Income, Qualified",Regular,Quarterly,8
10,2018-06-12,2018-04-26,2018-05-25,1.01,"Income, Qualified",Regular,Quarterly,8
11,2018-03-13,2018-01-02,2018-02-26,1.01,"Income, Qualified",Regular,Quarterly,0
12,2017-12-12,2017-10-19,2017-11-27,1.01,"Income, Qualified",Regular,Quarterly,0
13,2017-09-12,2017-07-17,2017-08-25,1.01,"Income, Qualified",Regular,Quarterly,11
14,2017-06-13,2017-04-27,2017-05-25,1.01,"Income, Qualified",Regular,Quarterly,0
15,2017-03-14,2017-01-03,2017-02-24,1.01,"Income, Qualified",Regular,Quarterly,0
16,2016-12-06,2016-10-20,2016-11-18,1.01,"Income, Qualified",Regular,Quarterly,34
17,2016-09-06,2016-07-18,2016-08-19,1.01,"Income, Qualified",Regular,Quarterly,-
18,2016-06-07,2016-04-28,2016-05-20,1.01,"Income, Qualified",Regular,Quarterly,3
19,2016-03-08,2016-01-04,2016-02-19,1.01,"Income, Qualified",Regular,Quarterly,1
20,2015-12-08,2015-10-22,2015-11-20,1.01,"Income, Qualified",Regular,Quarterly,1
21,2015-09-08,2015-07-20,2015-08-21,1.01,"Income, Qualified",Regular,Quarterly,44
22,2015-06-09,2015-04-23,2015-05-21,1.01,"Income, Qualified",Regular,Quarterly,-
23,2015-03-10,2015-01-05,2015-02-20,1.01,"Income, Qualified",Regular,Quarterly,2
24,2014-12-09,2014-10-16,2014-11-21,1.01,"Income, Qualified",Regular,Quarterly,5
25,2014-09-09,2014-07-21,2014-08-22,1.01,"Income, Qualified",Regular,Quarterly,10
26,2014-06-10,2014-04-24,2014-05-22,1.01,"Income, Qualified",Regular,Quarterly,6
27,2014-03-11,2014-01-02,2014-02-21,1.01,"Income, Qualified",Regular,Quarterly,7
28,2013-12-10,2013-10-17,2013-11-22,1.01,"Income, Qualified",Regular,Quarterly,0
29,2013-09-10,2013-07-15,2013-08-23,1.01,"Income, Qualified",Regular,Quarterly,0
30,2013-06-11,2013-04-25,2013-05-23,1.01,"Income, Qualified",Regular,Quarterly,32
31,2013-03-12,2013-01-02,2013-02-22,1.01,"Income, Qualified",Regular,Quarterly,6
32,2012-12-11,2012-10-17,2012-11-23,1.01,"Income, Qualified",Regular,Quarterly,5
33,2012-09-11,2012-07-16,2012-08-24,1.01,"Income, Qualified",Regular,Quarterly,9
34,2012-06-12,2012-04-26,2012-05-24,1.01,"Income, Qualified",Regular,Quarterly,14
35,2012-03-13,2012-01-03,2012-02-24,1.01,"Income, Qualified",Regular,Quarterly,2
36,2011-12-13,2011-10-21,2011-11-25,1.01,"Income, Qualified",Regular,Quarterly,1
37,2011-09-13,2011-07-18,2011-08-26,1.01,"Income, Qualified",Regular,Quarterly,1
38,2011-06-14,2011-04-28,2011-05-26,1.01,"Income, Qualified",Regular,Quarterly,1
39,2011-03-15,2011-01-03,2011-02-25,1.01,"Income, Qualified",Regular,Quarterly,1
40,2010-12-14,2010-10-21,2010-11-26,1.01,"Income, Qualified",Regular,Quarterly,27
41,2010-09-14,2010-07-19,2010-08-27,1.01,"Income, Qualified",Regular,Quarterly,3
42,2010-06-15,2010-04-22,2010-05-27,1.01,"Income, Qualified",Regular,Quarterly,4
43,2010-03-09,2010-01-04,2010-02-19,1.01,"Income, Qualified",Regular,Quarterly,16
44,2009-12-08,2009-10-22,2009-11-20,1.01,"Income, Qualified",Regular,Quarterly,1
45,2009-09-08,2009-07-20,2009-08-21,1.01,"Income, Qualified",Regular,Quarterly,0
46,2009-06-09,2009-04-23,2009-05-21,1.01,"Income, Qualified",Regular,Quarterly,8
47,2009-03-10,2009-01-05,2009-02-20,1.01,"Income, Qualified",Regular,Quarterly,61
48,2008-12-09,2008-10-16,2008-11-21,1.01,"Income, Qualified",Regular,Quarterly,0
49,2008-09-09,2008-07-21,2008-08-22,1.01,"Income, Qualified",Regular,Quarterly,0
50,2008-06-10,2008-04-24,2008-05-22,1.01,"Income, Qualified",Regular,Quarterly,5
51,2008-03-11,2008-01-02,2008-02-22,1.01,"Income, Qualified",Regular,Quarterly,0
52,2007-12-11,2007-10-18,2007-11-23,1.01,"Income, Qualified",Regular,Quarterly,1
53,2007-09-11,2007-07-16,2007-08-24,1.01,"Income, Qualified",Regular,Quarterly,13
54,2007-06-12,2007-04-26,2007-05-24,1.01,"Income, Qualified",Regular,Quarterly,-
55,2007-03-13,2007-01-03,2007-02-23,1.01,"Income, Qualified",Regular,Quarterly,39
56,2006-12-12,2006-10-19,2006-11-24,1.01,"Income, Qualified",Regular,Quarterly,17
57,2006-09-12,2006-07-18,2006-08-25,1.01,"Income, Qualified",Regular,Quarterly,26
58,2006-06-13,2006-04-27,2006-05-25,1.01,"Income, Qualified",Regular,Quarterly,8
59,2006-03-14,2006-01-04,2006-02-24,1.01,"Income, Qualified",Regular,Quarterly,8
60,2005-12-13,2005-10-20,2005-11-18,1.01,"Income, Qualified",Regular,Quarterly,-
61,2005-09-13,2005-07-18,2005-08-19,1.01,"Income, Qualified",Regular,Quarterly,13
62,2005-06-07,2005-04-28,2005-05-13,1.01,"Income, Qualified",Regular,Quarterly,2
63,2005-03-08,2005-01-04,2005-02-11,1.01,"Income, Qualified",Regular,Quarterly,0
64,2004-12-07,2004-10-22,2004-11-12,1.01,"Income, Qualified",Regular,Quarterly,0
65,2004-09-07,2004-07-20,2004-08-13,1.01,"Income, Qualified",Regular,Quarterly,2
66,2004-06-08,2004-04-22,2004-05-14,1.01,"Income, Qualified",Regular,Quarterly,5
67,2004-03-09,2004-01-05,2004-02-12,1.01,"Income, Qualified",Regular,Quarterly,57
68,2003-12-09,2003-10-16,2003-11-14,1.01,"Income, Qualified",Regular,Quarterly,0
69,2003-09-09,2003-07-22,2003-08-15,1.01,"Income, Qualified",Regular,Quarterly,0
70,2003-06-10,2003-04-24,2003-05-16,1.01,"Income, Qualified",Regular,Quarterly,0
71,2003-03-11,2003-01-06,2003-02-13,1.01,"Income, Qualified",Regular,Quarterly,0
72,2002-12-10,2002-10-15,2002-11-15,1.01,Income,Regular,Quarterly,-
73,2002-09-10,2002-07-15,2002-08-16,1.01,Income,Regular,Quarterly,4
74,2002-06-11,2002-04-25,2002-05-17,1.01,Income,Regular,Quarterly,0
75,2002-03-12,2002-01-02,2002-02-14,1.01,Income,Regular,Quarterly,4
76,2001-12-11,2001-10-18,2001-11-16,1.01,Income,Regular,Quarterly,2
77,2001-09-11,2001-07-16,2001-08-17,1.01,Income,Regular,Quarterly,12
78,2001-06-12,2001-04-26,2001-05-18,1.01,Income,Regular,Quarterly,0
79,2001-03-13,2001-01-02,2001-02-15,1.01,Income,Regular,Quarterly,3
80,2000-12-12,2000-10-16,2000-11-17,1.01,Income,Regular,Quarterly,0
81,2000-09-12,2000-07-17,2000-08-18,1.01,Income,Regular,Quarterly,1
82,2000-06-13,2000-04-19,2000-05-19,1.01,Income,Regular,Quarterly,0
83,2000-03-07,2000-01-03,2000-02-11,1.01,Income,Regular,Quarterly,2
84,1999-12-07,1999-10-18,1999-11-12,1.01,Income,Regular,Quarterly,2
85,1999-09-07,1999-07-19,1999-08-13,1.01,Income,Regular,Quarterly,0
86,1999-06-08,1999-04-22,1999-05-14,1.01,Income,Regular,Quarterly,15
87,1999-03-09,1999-01-04,1999-02-11,1.01,Income,Regular,Quarterly,0
88,1998-12-08,1998-10-19,1998-11-13,1.01,Income,Regular,Quarterly,0
89,1998-09-08,1998-07-20,1998-08-14,1.01,Income,Regular,Quarterly,1
90,1998-06-09,1998-04-23,1998-05-15,1.01,Income,Regular,Quarterly,18
91,1998-03-10,1998-01-02,1998-02-12,1.01,Income,Regular,Quarterly,0
92,1997-12-09,1997-10-20,1997-11-14,1.01,Income,Regular,Quarterly,0
93,1997-09-09,1997-07-21,1997-08-15,1.01,Income,Regular,Quarterly,2
94,1997-06-10,1997-04-24,1997-05-16,1.01,Income,Regular,Quarterly,17
95,1997-03-11,1997-01-02,1997-02-13,1.01,Income,Regular,Quarterly,0
96,1996-12-10,1996-10-21,1996-11-15,1.01,Income,Regular,Quarterly,2
97,1996-09-10,1996-07-15,1996-08-16,1.01,Income,Regular,Quarterly,-
98,1996-06-11,1996-04-25,1996-05-17,1.01,Income,Regular,Quarterly,0
99,1996-03-12,1996-01-02,1996-02-15,1.01,Income,Regular,Quarterly,15
100,1995-12-05,1995-10-16,1995-11-10,1.01,Income,Regular,Quarterly,1
101,1995-09-05,1995-07-17,1995-08-11,1.01,Income,Regular,Quarterly,23
102,1995-06-06,1995-04-27,1995-05-10,1.01,Income,Regular,Quarterly,0
