,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-31,2020-09-15,2020-10-05,0.9,"Income, Qualified",Regular,Quarterly,0
1,2020-07-31,2020-05-18,2020-07-02,0.9,"Income, Qualified",Regular,Quarterly,2
2,2020-04-30,2020-03-17,2020-04-03,0.9,"Income, Qualified",Regular,Quarterly,1
3,2020-01-31,2019-12-10,2020-01-03,0.9,"Income, Qualified",Regular,Quarterly,-
4,2019-10-31,2019-09-17,2019-10-03,0.9,"Income, Qualified",Regular,Quarterly,1
5,2019-07-31,2019-05-21,2019-07-03,0.9,"Income, Qualified",Regular,Quarterly,6
6,2019-04-30,2019-03-19,2019-04-04,0.9,"Income, Qualified",Regular,Quarterly,0
7,2019-01-31,2018-12-11,2019-01-03,0.9,"Income, Qualified",Regular,Quarterly,1
8,2018-10-31,2018-09-18,2018-10-04,0.9,"Income, Qualified",Regular,Quarterly,0
9,2018-07-31,2018-05-15,2018-07-05,0.9,"Income, Qualified",Regular,Quarterly,0
10,2018-04-30,2018-03-20,2018-04-05,0.9,"Income, Qualified",Regular,Quarterly,0
11,2018-01-31,2017-12-12,2018-01-04,0.9,"Income, Qualified",Regular,Quarterly,0
12,2017-10-31,2017-09-19,2017-10-05,0.9,"Income, Qualified",Regular,Quarterly,0
13,2017-07-31,2017-05-16,2017-07-03,0.9,"Income, Qualified",Regular,Quarterly,0
14,2017-04-30,2017-03-21,2017-04-04,0.9,"Income, Qualified",Regular,Quarterly,15
15,2017-01-31,2016-12-13,2017-01-04,0.9,"Income, Qualified",Regular,Quarterly,28
16,2016-10-31,2016-09-20,2016-10-04,0.9,"Income, Qualified",Regular,Quarterly,0
17,2016-07-31,2016-05-17,2016-07-01,0.9,"Income, Qualified",Regular,Quarterly,6
18,2016-04-30,2016-03-15,2016-04-04,0.9,"Income, Qualified",Regular,Quarterly,7
19,2016-01-31,2015-12-08,2016-01-04,0.9,"Income, Qualified",Regular,Quarterly,-
20,2015-10-31,2015-09-15,2015-10-02,0.9,"Income, Qualified",Regular,Quarterly,1
21,2015-07-31,2015-05-19,2015-07-01,0.9,"Income, Qualified",Regular,Quarterly,0
22,2015-04-30,2015-03-17,2015-04-01,0.9,"Income, Qualified",Regular,Quarterly,4
23,2015-01-31,2014-12-09,2015-01-02,0.9,"Income, Qualified",Regular,Quarterly,-
24,2014-10-31,2014-09-16,2014-10-02,0.9,"Income, Qualified",Regular,Quarterly,1
25,2014-07-31,2014-05-20,2014-07-01,0.9,"Income, Qualified",Regular,Quarterly,10
26,2014-04-30,2014-03-18,2014-04-02,0.9,"Income, Qualified",Regular,Quarterly,-
27,2014-01-31,2013-12-10,2014-01-02,0.9,"Income, Qualified",Regular,Quarterly,1
28,2013-10-31,2013-09-17,2013-10-02,0.9,"Income, Qualified",Regular,Quarterly,0
29,2013-07-31,2013-05-21,2013-07-02,0.9,"Income, Qualified",Regular,Quarterly,0
30,2013-04-30,2013-03-19,2013-04-03,0.9,"Income, Qualified",Regular,Quarterly,3
31,2013-01-31,2012-12-11,2013-01-02,0.9,"Income, Qualified",Regular,Quarterly,0
32,2012-10-31,2012-09-18,2012-10-03,0.9,"Income, Qualified",Regular,Quarterly,1
33,2012-07-31,2012-05-15,2012-07-03,0.9,"Income, Qualified",Regular,Quarterly,18
34,2012-04-30,2012-03-13,2012-04-03,0.9,"Income, Qualified",Regular,Quarterly,-
35,2012-01-31,2011-12-13,2012-01-04,0.9,"Income, Qualified",Regular,Quarterly,1
36,2011-10-31,2011-09-20,2011-10-04,0.9,"Income, Qualified",Regular,Quarterly,0
37,2011-07-31,2011-05-17,2011-07-01,0.9,"Income, Qualified",Regular,Quarterly,0
38,2011-04-30,2011-03-18,2011-04-04,0.9,"Income, Qualified",Regular,Quarterly,1
39,2011-01-31,2010-12-14,2011-01-04,0.9,"Income, Qualified",Regular,Quarterly,0
40,2010-10-31,2010-09-21,2010-10-04,0.9,"Income, Qualified",Regular,Quarterly,0
41,2010-07-31,2010-05-18,2010-07-01,0.9,"Income, Qualified",Regular,Quarterly,4
42,2010-04-30,2010-03-16,2010-04-01,0.9,"Income, Qualified",Regular,Quarterly,0
43,2010-01-31,2009-12-08,2010-01-04,0.9,"Income, Qualified",Regular,Quarterly,0
44,2009-10-31,2009-09-15,2009-10-02,0.9,"Income, Qualified",Regular,Quarterly,0
45,2009-07-31,2009-05-19,2009-07-01,0.9,"Income, Qualified",Regular,Quarterly,8
46,2009-04-30,2009-02-23,2009-04-02,0.9,"Income, Qualified",Regular,Quarterly,0
47,2009-01-31,2008-12-09,2009-01-02,0.9,"Income, Qualified",Regular,Quarterly,-
48,2008-10-31,2008-09-16,2008-10-02,0.9,"Income, Qualified",Regular,Quarterly,0
49,2008-07-31,2008-05-20,2008-07-01,0.9,"Income, Qualified",Regular,Quarterly,1
50,2008-04-30,2008-03-18,2008-04-02,0.9,"Income, Qualified",Regular,Quarterly,17
51,2008-01-31,2007-12-11,2008-01-02,0.9,"Income, Qualified",Regular,Quarterly,15
52,2007-10-31,2007-09-18,2007-10-03,0.9,"Income, Qualified",Regular,Quarterly,1
53,2007-07-31,2007-04-18,2007-07-03,0.9,"Income, Qualified",Regular,Quarterly,0
54,2007-04-30,2007-03-20,2007-04-03,0.9,"Income, Qualified",Regular,Quarterly,0
55,2007-01-31,2006-12-12,2007-01-03,0.9,"Income, Qualified",Regular,Quarterly,6
56,2006-10-31,2006-09-19,2006-10-04,0.9,"Income, Qualified",Regular,Quarterly,6
57,2006-07-31,2006-05-16,2006-07-03,0.9,"Income, Qualified",Regular,Quarterly,0
58,2006-04-30,2006-03-21,2006-04-04,0.9,"Income, Qualified",Regular,Quarterly,0
59,2006-01-31,2005-12-13,2006-01-04,0.9,"Income, Qualified",Regular,Quarterly,3
60,2005-10-31,2005-09-20,2005-10-04,0.9,Income,Regular,Quarterly,11
61,2005-07-31,2005-05-17,2005-07-01,0.9,Income,Regular,Quarterly,8
62,2005-04-30,2005-03-15,2005-04-04,0.9,Income,Regular,Quarterly,1
63,2005-01-31,2004-12-14,2005-01-04,0.9,Income,Regular,Quarterly,-
64,2004-10-31,2004-09-21,2004-10-04,0.9,Income,Regular,Quarterly,-
65,2004-07-31,2004-04-20,2004-07-01,0.9,Income,Regular,Quarterly,39
66,2004-04-30,2004-03-16,2004-04-02,0.9,Income,Regular,Quarterly,-
67,2004-01-31,2003-11-18,2004-01-02,0.9,Income,Regular,Quarterly,2
68,2003-10-31,2003-09-16,2003-10-02,0.9,Income,Regular,Quarterly,2
69,2003-07-31,2003-05-20,2003-07-01,0.9,Income,Regular,Quarterly,0
70,2003-04-30,2003-03-18,2003-04-02,0.9,Income,Regular,Quarterly,0
71,2003-01-31,2002-12-17,2003-01-02,0.9,Income,Regular,Quarterly,0
72,2002-10-31,2002-09-17,2002-10-02,0.9,Income,Regular,Quarterly,13
