,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-15,2020-10-15,2020-11-30,0.41,"Income, Qualified",Regular,Quarterly,3
1,2020-10-01,2020-07-16,2020-09-14,0.41,"Income, Qualified",Regular,Quarterly,20
2,2020-07-01,2020-04-22,2020-06-12,0.41,"Income, Qualified",Regular,Quarterly,0
3,2020-04-01,2020-02-20,2020-03-13,0.41,"Income, Qualified",Regular,Quarterly,0
4,2019-12-16,2019-10-17,2019-11-29,0.41,"Income, Qualified",Regular,Quarterly,3
5,2019-10-01,2019-07-18,2019-09-13,0.41,"Income, Qualified",Regular,Quarterly,-
6,2019-07-01,2019-04-25,2019-06-13,0.41,"Income, Qualified",Regular,Quarterly,5
7,2019-04-01,2019-02-21,2019-03-14,0.41,"Income, Qualified",Regular,Quarterly,8
8,2018-12-14,2018-10-18,2018-11-29,0.41,"Income, Qualified",Regular,Quarterly,1
9,2018-10-01,2018-07-19,2018-09-13,0.41,"Income, Qualified",Regular,Quarterly,2
10,2018-07-02,2018-04-26,2018-06-14,0.41,"Income, Qualified",Regular,Quarterly,15
11,2018-04-02,2018-02-15,2018-03-14,0.41,"Income, Qualified",Regular,Quarterly,23
12,2017-12-15,2017-10-19,2017-11-30,0.41,"Income, Qualified",Regular,Quarterly,0
13,2017-10-02,2017-07-20,2017-09-14,0.41,"Income, Qualified",Regular,Quarterly,43
14,2017-07-03,2017-04-27,2017-06-13,0.41,"Income, Qualified",Regular,Quarterly,4
15,2017-04-03,2017-02-16,2017-03-13,0.41,"Income, Qualified",Regular,Quarterly,6
16,2016-12-15,2016-10-20,2016-11-29,0.41,"Income, Qualified",Regular,Quarterly,8
17,2016-10-03,2016-07-21,2016-09-13,0.41,"Income, Qualified",Regular,Quarterly,-
18,2016-07-01,2016-04-28,2016-06-13,0.41,"Income, Qualified",Regular,Quarterly,-
19,2016-04-01,2016-02-18,2016-03-11,0.41,"Income, Qualified",Regular,Quarterly,1
20,2015-12-15,2015-10-15,2015-11-27,0.41,"Income, Qualified",Regular,Quarterly,13
21,2015-10-01,2015-07-16,2015-09-11,0.41,"Income, Qualified",Regular,Quarterly,2
22,2015-07-01,2015-04-30,2015-06-11,0.41,"Income, Qualified",Regular,Quarterly,5
23,2015-04-01,2015-02-19,2015-03-12,0.41,"Income, Qualified",Regular,Quarterly,0
24,2014-12-15,2014-10-16,2014-11-26,0.41,"Income, Qualified",Regular,Quarterly,2
25,2014-10-01,2014-07-15,2014-09-11,0.41,"Income, Qualified",Regular,Quarterly,7
26,2014-07-01,2014-04-24,2014-06-12,0.41,"Income, Qualified",Regular,Quarterly,3
27,2014-04-01,2014-02-20,2014-03-12,0.41,"Income, Qualified",Regular,Quarterly,11
28,2013-12-16,2013-10-17,2013-11-27,0.41,"Income, Qualified",Regular,Quarterly,4
29,2013-10-01,2013-07-18,2013-09-12,0.41,"Income, Qualified",Regular,Quarterly,2
30,2013-07-01,2013-04-25,2013-06-12,0.41,"Income, Qualified",Regular,Quarterly,4
31,2013-04-01,2013-02-21,2013-03-13,0.41,"Income, Qualified",Regular,Quarterly,1
32,2012-12-17,2012-10-18,2012-11-28,0.41,"Income, Qualified",Regular,Quarterly,0
33,2012-10-01,2012-07-30,2012-09-12,0.41,"Income, Qualified",Regular,Quarterly,1
34,2012-07-01,2012-04-26,2012-06-13,0.41,"Income, Qualified",Regular,Quarterly,1
35,2012-04-01,2012-02-16,2012-03-13,0.41,"Income, Qualified",Regular,Quarterly,0
