,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-10,2020-10-19,2020-11-12,0.74,"Income, Qualified",Regular,Quarterly,6
1,2020-09-10,2020-07-15,2020-08-13,0.74,"Income, Qualified",Regular,Quarterly,3
2,2020-06-10,2020-05-04,2020-05-14,0.74,"Income, Qualified",Regular,Quarterly,0
3,2020-03-10,2019-12-16,2020-02-13,0.74,"Income, Qualified",Regular,Quarterly,39
4,2019-12-10,2019-10-21,2019-11-14,0.74,"Income, Qualified",Regular,Quarterly,1
5,2019-09-10,2019-06-19,2019-08-14,0.74,"Income, Qualified",Regular,Quarterly,27
6,2019-06-10,2019-05-06,2019-05-16,0.74,"Income, Qualified",Regular,Quarterly,0
7,2019-03-08,2018-12-19,2019-02-14,0.74,"Income, Qualified",Regular,Quarterly,0
8,2018-12-10,2018-10-15,2018-11-14,0.74,"Income, Qualified",Regular,Quarterly,2
9,2018-09-10,2018-06-18,2018-08-14,0.74,"Income, Qualified",Regular,Quarterly,0
10,2018-06-08,2018-05-07,2018-05-16,0.74,"Income, Qualified",Regular,Quarterly,4
11,2018-03-09,2017-12-11,2018-02-14,0.74,"Income, Qualified",Regular,Quarterly,0
12,2017-12-08,2017-10-16,2017-11-14,0.74,"Income, Qualified",Regular,Quarterly,2
13,2017-09-08,2017-06-19,2017-08-11,0.74,"Income, Qualified",Regular,Quarterly,20
14,2017-06-09,2017-05-01,2017-05-11,0.74,"Income, Qualified",Regular,Quarterly,23
15,2017-03-10,2016-12-12,2017-02-13,0.74,"Income, Qualified",Regular,Quarterly,1
16,2016-12-09,2016-10-17,2016-11-10,0.74,"Income, Qualified",Regular,Quarterly,-
17,2016-09-09,2016-06-20,2016-08-11,0.74,"Income, Qualified",Regular,Quarterly,0
18,2016-06-10,2016-05-02,2016-05-11,0.74,"Income, Qualified",Regular,Quarterly,3
19,2016-03-10,2015-12-08,2016-02-10,0.74,"Income, Qualified",Regular,Quarterly,5
20,2015-12-10,2015-10-19,2015-11-10,0.74,"Income, Qualified",Regular,Quarterly,0
21,2015-09-10,2015-06-15,2015-08-12,0.74,"Income, Qualified",Regular,Quarterly,2
22,2015-06-10,2015-05-04,2015-05-14,0.74,"Income, Qualified",Regular,Quarterly,0
23,2015-03-10,2014-12-15,2015-02-11,0.74,"Income, Qualified",Regular,Quarterly,1
24,2014-12-10,2014-10-20,2014-11-12,0.74,"Income, Qualified",Regular,Quarterly,12
25,2014-09-10,2014-06-16,2014-08-13,0.74,"Income, Qualified",Regular,Quarterly,4
26,2014-06-10,2014-05-05,2014-05-13,0.74,"Income, Qualified",Regular,Quarterly,0
27,2014-03-10,2013-12-16,2014-02-12,0.74,"Income, Qualified",Regular,Quarterly,4
28,2013-12-10,2013-10-21,2013-11-13,0.74,"Income, Qualified",Regular,Quarterly,0
29,2013-09-10,2013-06-18,2013-08-13,0.74,"Income, Qualified",Regular,Quarterly,0
30,2013-06-10,2013-05-03,2013-05-14,0.74,"Income, Qualified",Regular,Quarterly,1
31,2013-03-08,2012-12-17,2013-02-13,0.74,"Income, Qualified",Regular,Quarterly,4
32,2012-12-10,2012-10-15,2012-11-13,0.74,"Income, Qualified",Regular,Quarterly,12
33,2012-09-10,2012-06-19,2012-08-13,0.74,"Income, Qualified",Regular,Quarterly,9
34,2012-06-08,2012-04-16,2012-05-11,0.74,"Income, Qualified",Regular,Quarterly,24
35,2012-03-09,2011-12-12,2012-02-13,0.74,"Income, Qualified",Regular,Quarterly,11
36,2011-12-09,2011-10-17,2011-11-10,0.74,"Income, Qualified",Regular,Quarterly,1
37,2011-09-09,2011-06-20,2011-08-11,0.74,"Income, Qualified",Regular,Quarterly,0
38,2011-06-10,2011-04-18,2011-05-11,0.74,"Income, Qualified",Regular,Quarterly,1
39,2011-03-10,2010-12-13,2011-02-11,0.74,"Income, Qualified",Regular,Quarterly,38
40,2010-12-10,2010-10-18,2010-11-10,0.74,"Income, Qualified",Regular,Quarterly,63
41,2010-09-10,2010-06-21,2010-08-11,0.74,"Income, Qualified",Regular,Quarterly,48
42,2010-06-10,2010-04-19,2010-05-12,0.74,"Income, Qualified",Regular,Quarterly,53
43,2010-03-10,2009-12-14,2010-02-10,0.74,"Income, Qualified",Regular,Quarterly,20
44,2009-12-10,2009-10-19,2009-11-10,0.74,"Income, Qualified",Regular,Quarterly,4
45,2009-09-10,2009-06-22,2009-08-12,0.74,"Income, Qualified",Regular,Quarterly,8
46,2009-06-10,2009-04-20,2009-05-13,0.74,"Income, Qualified",Regular,Quarterly,-
47,2009-03-10,2008-12-15,2009-02-11,0.74,"Income, Qualified",Regular,Quarterly,-
48,2008-12-10,2008-10-20,2008-11-12,0.74,"Income, Qualified",Regular,Quarterly,1
49,2008-09-10,2008-06-20,2008-08-13,0.74,"Income, Qualified",Regular,Quarterly,-
50,2008-06-10,2008-04-21,2008-05-13,0.74,"Income, Qualified",Regular,Quarterly,3
51,2008-03-10,2007-12-17,2008-02-13,0.74,"Income, Qualified",Regular,Quarterly,8
52,2007-12-10,2007-10-15,2007-11-13,0.74,"Income, Qualified",Regular,Quarterly,0
