,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-04,2020-08-21,2020-10-20,0.6,"Income, Qualified",Regular,Quarterly,0
1,2020-08-05,2020-05-28,2020-07-21,0.6,"Income, Qualified",Regular,Quarterly,0
2,2020-05-06,2020-03-20,2020-04-21,0.6,"Income, Qualified",Regular,Quarterly,3
3,2020-02-05,2019-11-08,2020-01-21,0.6,"Income, Qualified",Regular,Quarterly,2
4,2019-11-06,2019-08-16,2019-10-22,0.6,"Income, Qualified",Regular,Quarterly,0
5,2019-08-07,2019-05-31,2019-07-23,0.6,"Income, Qualified",Regular,Quarterly,0
6,2019-05-08,2019-03-22,2019-04-23,0.6,"Income, Qualified",Regular,Quarterly,0
7,2019-02-06,2018-11-09,2019-01-22,0.6,"Income, Qualified",Regular,Quarterly,6
8,2018-11-07,2018-08-17,2018-10-23,0.6,"Income, Qualified",Regular,Quarterly,11
9,2018-08-08,2018-06-01,2018-07-24,0.6,"Income, Qualified",Regular,Quarterly,21
10,2018-05-09,2018-03-23,2018-04-24,0.6,"Income, Qualified",Regular,Quarterly,11
11,2018-02-07,2017-11-10,2018-01-23,0.6,"Income, Qualified",Regular,Quarterly,0
12,2017-11-08,2017-08-18,2017-10-24,0.6,"Income, Qualified",Regular,Quarterly,0
13,2017-08-09,2017-06-02,2017-07-24,0.6,"Income, Qualified",Regular,Quarterly,0
14,2017-05-10,2017-03-24,2017-04-24,0.6,"Income, Qualified",Regular,Quarterly,0
15,2017-02-08,2016-11-11,2017-01-23,0.6,"Income, Qualified",Regular,Quarterly,0
16,2016-11-02,2016-08-19,2016-10-17,0.6,"Income, Qualified",Regular,Quarterly,26
17,2016-08-03,2016-05-27,2016-07-18,0.6,"Income, Qualified",Regular,Quarterly,0
18,2016-05-04,2016-03-18,2016-04-18,0.6,"Income, Qualified",Regular,Quarterly,0
19,2016-02-03,2015-11-13,2016-01-15,0.6,"Income, Qualified",Regular,Quarterly,5
20,2015-11-04,2015-08-21,2015-10-19,0.6,"Income, Qualified",Regular,Quarterly,0
21,2015-08-05,2015-05-29,2015-07-20,0.6,"Income, Qualified",Regular,Quarterly,3
22,2015-05-06,2015-03-20,2015-04-20,0.6,"Income, Qualified",Regular,Quarterly,0
23,2015-02-04,2014-11-14,2015-01-16,0.6,"Income, Qualified",Regular,Quarterly,0
24,2014-11-05,2014-08-22,2014-10-20,0.6,"Income, Qualified",Regular,Quarterly,0
25,2014-08-06,2014-05-30,2014-07-21,0.6,"Income, Qualified",Regular,Quarterly,2
26,2014-05-07,2014-03-21,2014-04-21,0.6,"Income, Qualified",Regular,Quarterly,1
27,2014-02-05,2013-11-15,2014-01-17,0.6,"Income, Qualified",Regular,Quarterly,28
28,2013-11-06,2013-08-23,2013-10-21,0.6,"Income, Qualified",Regular,Quarterly,0
29,2013-08-07,2013-05-31,2013-07-22,0.6,"Income, Qualified",Regular,Quarterly,0
30,2013-05-08,2013-03-22,2013-04-22,0.6,"Income, Qualified",Regular,Quarterly,5
31,2013-02-06,2012-11-16,2013-01-18,0.6,"Income, Qualified",Regular,Quarterly,2
32,2012-11-07,2012-08-24,2012-10-22,0.6,"Income, Qualified",Regular,Quarterly,0
33,2012-08-08,2012-06-01,2012-07-23,0.6,"Income, Qualified",Regular,Quarterly,3
34,2012-05-09,2012-03-23,2012-04-23,0.6,"Income, Qualified",Regular,Quarterly,2
35,2012-02-08,2011-11-14,2012-01-23,0.6,"Income, Qualified",Regular,Quarterly,1
36,2011-11-02,2011-08-22,2011-10-17,0.6,"Income, Qualified",Regular,Quarterly,1
37,2011-08-03,2011-05-27,2011-07-18,0.6,"Income, Qualified",Regular,Quarterly,1
38,2011-05-04,2011-03-21,2011-04-18,0.6,"Income, Qualified",Regular,Quarterly,-
39,2011-02-02,2010-11-12,2011-01-14,0.6,"Income, Qualified",Regular,Quarterly,0
40,2010-11-03,2010-08-20,2010-10-18,0.6,"Income, Qualified",Regular,Quarterly,2
41,2010-08-04,2010-05-28,2010-07-19,0.6,"Income, Qualified",Regular,Quarterly,1
42,2010-05-05,2010-03-22,2010-04-19,0.6,"Income, Qualified",Regular,Quarterly,0
43,2010-02-03,2009-11-16,2010-01-15,0.6,"Income, Qualified",Regular,Quarterly,28
44,2009-10-30,2009-08-24,2009-10-14,0.6,"Income, Qualified",Regular,Quarterly,0
45,2009-07-31,2009-05-29,2009-07-15,0.6,"Income, Qualified",Regular,Quarterly,0
46,2009-05-01,2009-03-23,2009-04-15,0.6,"Income, Qualified",Regular,Quarterly,1
47,2009-01-30,2008-11-17,2009-01-14,0.6,"Income, Qualified",Regular,Quarterly,1
48,2008-10-31,2008-08-25,2008-10-15,0.6,"Income, Qualified",Regular,Quarterly,2
49,2008-08-01,2008-05-30,2008-07-16,0.6,"Income, Qualified",Regular,Quarterly,0
50,2008-05-02,2008-03-24,2008-04-16,0.6,"Income, Qualified",Regular,Quarterly,0
51,2008-02-01,2007-11-19,2008-01-16,0.6,"Income, Qualified",Regular,Quarterly,0
52,2007-11-02,2007-08-20,2007-10-17,0.6,"Income, Qualified",Regular,Quarterly,-
53,2007-08-03,2007-05-25,2007-07-18,0.6,"Income, Qualified",Regular,Quarterly,27
54,2007-05-04,2007-03-27,2007-04-18,0.6,"Income, Qualified",Regular,Quarterly,2
55,2007-02-02,2006-11-21,2007-01-17,0.6,"Income, Qualified",Regular,Quarterly,1
56,2006-11-03,2006-08-21,2006-10-18,0.6,"Income, Qualified",Regular,Quarterly,0
57,2006-08-04,2006-05-25,2006-07-19,0.6,"Income, Qualified",Regular,Quarterly,0
58,2006-05-05,2006-04-07,2006-04-19,0.6,"Income, Qualified",Regular,Quarterly,12
59,2006-02-03,2005-11-15,2006-01-18,0.6,"Income, Qualified",Regular,Quarterly,19
60,2005-10-28,2005-08-15,2005-10-12,0.6,"Income, Qualified",Regular,Quarterly,0
61,2005-07-29,2005-05-27,2005-07-13,0.6,"Income, Qualified",Regular,Quarterly,1
62,2005-04-29,2005-03-21,2005-04-13,0.6,"Income, Qualified",Regular,Quarterly,23
63,2005-01-28,2004-12-06,2005-01-12,0.6,"Income, Qualified",Regular,Quarterly,17
64,2004-10-29,2004-09-13,2004-10-13,0.6,"Income, Qualified",Regular,Quarterly,0
65,2004-07-30,2004-05-28,2004-07-14,0.6,"Income, Qualified",Regular,Quarterly,39
66,2004-04-30,2004-04-02,2004-04-14,0.6,"Income, Qualified",Regular,Quarterly,1
67,2004-01-30,2003-12-08,2004-01-14,0.6,"Income, Qualified",Regular,Quarterly,0
68,2003-10-31,2003-09-16,2003-10-15,0.6,"Income, Qualified",Regular,Quarterly,6
69,2003-08-01,2003-05-30,2003-07-16,0.6,"Income, Qualified",Regular,Quarterly,5
70,2003-05-02,2003-04-04,2003-04-15,0.6,"Income, Qualified",Regular,Quarterly,0
71,2003-01-31,2002-12-06,2003-01-15,0.6,"Income, Qualified",Regular,Quarterly,0
72,2002-11-01,2002-09-30,2002-10-16,0.6,Income,Regular,Quarterly,1
73,2002-08-02,2002-05-31,2002-07-17,0.6,Income,Regular,Quarterly,0
74,2002-05-03,2002-04-09,2002-04-17,0.6,Income,Regular,Quarterly,23
75,2002-02-01,2002-01-03,2002-01-16,0.6,Income,Regular,Quarterly,2
76,2001-11-02,2001-09-25,2001-10-17,0.6,Income,Regular,Quarterly,4
77,2001-08-03,2001-05-25,2001-07-18,0.6,Income,Regular,Quarterly,0
78,2001-05-04,2001-04-03,2001-04-18,0.6,Income,Regular,Quarterly,0
79,2001-02-02,2001-12-06,2001-01-17,0.6,Income,Regular,Quarterly,8
80,2000-10-27,2000-09-21,2000-10-11,0.6,Income,Regular,Quarterly,13
81,2000-07-28,2000-06-05,2000-07-12,0.6,Income,Regular,Quarterly,0
82,2000-04-28,2000-04-06,2000-04-12,0.6,Income,Regular,Quarterly,0
83,2000-01-28,1999-12-07,2000-01-12,0.6,Income,Regular,Quarterly,2
84,1999-10-29,1999-09-21,1999-10-13,0.6,Income,Regular,Quarterly,5
85,1999-07-30,1999-06-01,1999-07-14,0.6,Income,Regular,Quarterly,1
86,1999-04-30,1999-04-01,1999-04-14,0.6,Income,Regular,Quarterly,-
87,1999-01-29,1998-12-16,1999-01-13,0.6,Income,Regular,Quarterly,8
88,1998-10-30,1998-09-25,1998-10-14,0.6,Income,Regular,Quarterly,0
89,1998-07-31,1998-05-29,1998-07-15,0.6,Income,Regular,Quarterly,-
90,1998-04-30,1998-04-07,1998-04-15,0.6,Income,Regular,Quarterly,0
91,1998-01-31,1997-12-16,1998-01-14,0.6,Income,Regular,Quarterly,0
92,1997-10-31,1997-08-12,1997-10-15,0.6,Income,Regular,Quarterly,1
93,1997-07-31,1997-06-03,1997-07-15,0.6,Income,Regular,Quarterly,0
94,1997-04-30,1997-04-02,1997-04-14,0.6,Income,Regular,Quarterly,0
95,1997-01-31,1996-12-06,1997-01-15,0.6,Income,Regular,Quarterly,30
96,1996-10-31,1996-09-23,1996-10-15,0.6,Income,Regular,Quarterly,16
97,1996-07-31,1996-05-31,1996-07-15,0.6,Income,Regular,Quarterly,3
98,1996-04-30,1996-03-22,1996-04-11,0.6,Income,Regular,Quarterly,14
99,1996-01-31,1995-12-11,1996-01-12,0.6,Income,Regular,Quarterly,13
100,1995-10-31,1995-09-26,1995-10-13,0.6,Income,Regular,Quarterly,0
101,1995-07-31,1995-06-01,1995-07-13,0.6,Income,Regular,Quarterly,0
