,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-02-09,2020-12-08,2021-01-07,0.44,"Income, Qualified",Regular,Quarterly,0
1,2020-11-09,2020-09-22,2020-10-08,0.44,"Income, Qualified",Regular,Quarterly,0
2,2020-08-07,2020-06-16,2020-07-08,0.44,"Income, Qualified",Regular,Quarterly,0
3,2020-05-08,2020-02-04,2020-04-08,0.44,"Income, Qualified",Regular,Quarterly,0
4,2020-02-07,2019-12-03,2020-01-08,0.44,"Income, Qualified",Regular,Quarterly,0
5,2019-11-08,2019-09-17,2019-10-08,0.44,"Income, Qualified",Regular,Quarterly,1
6,2019-08-09,2019-06-25,2019-07-08,0.44,"Income, Qualified",Regular,Quarterly,1
7,2019-05-09,2019-02-05,2019-04-08,0.44,"Income, Qualified",Regular,Quarterly,2
8,2019-02-08,2018-12-04,2019-01-08,0.44,"Income, Qualified",Regular,Quarterly,0
9,2018-11-09,2018-09-17,2018-10-05,0.44,"Income, Qualified",Regular,Quarterly,-
10,2018-08-09,2018-06-25,2018-07-06,0.44,"Income, Qualified",Regular,Quarterly,0
11,2018-05-09,2018-02-05,2018-04-06,0.44,"Income, Qualified",Regular,Quarterly,7
12,2018-02-09,2017-12-04,2018-01-08,0.44,"Income, Qualified",Regular,Quarterly,0
13,2017-11-09,2017-09-19,2017-10-05,0.44,"Income, Qualified",Regular,Quarterly,0
14,2017-08-09,2017-06-27,2017-07-05,0.44,"Income, Qualified",Regular,Quarterly,0
15,2017-05-09,2017-02-07,2017-04-05,0.44,"Income, Qualified",Regular,Quarterly,1
16,2017-02-09,2016-12-06,2017-01-05,0.44,"Income, Qualified",Regular,Quarterly,0
17,2016-11-09,2016-09-27,2016-10-05,0.44,"Income, Qualified",Regular,Quarterly,0
18,2016-08-09,2016-06-28,2016-07-06,0.44,"Income, Qualified",Regular,Quarterly,2
19,2016-05-09,2016-02-02,2016-04-06,0.44,"Income, Qualified",Regular,Quarterly,0
20,2016-02-09,2015-12-08,2016-01-06,0.44,"Income, Qualified",Regular,Quarterly,62
21,2015-11-09,2015-09-22,2015-10-07,0.44,"Income, Qualified",Regular,Quarterly,0
22,2015-08-10,2015-06-10,2015-07-07,0.44,"Income, Qualified",Regular,Quarterly,3
23,2015-05-08,2015-02-03,2015-04-07,0.44,"Income, Qualified",Regular,Quarterly,0
24,2015-02-09,2014-12-02,2015-01-07,0.44,"Income, Qualified",Regular,Quarterly,0
25,2014-11-10,2014-09-16,2014-10-07,0.44,"Income, Qualified",Regular,Quarterly,15
26,2014-08-08,2014-06-03,2014-07-07,0.44,"Income, Qualified",Regular,Quarterly,5
27,2014-05-09,2014-02-04,2014-04-07,0.44,"Income, Qualified",Regular,Quarterly,2
28,2014-02-10,2013-12-10,2014-01-07,0.44,"Income, Qualified",Regular,Quarterly,0
29,2013-11-08,2013-09-17,2013-10-07,0.44,"Income, Qualified",Regular,Quarterly,3
30,2013-08-09,2013-06-18,2013-07-05,0.44,"Income, Qualified",Regular,Quarterly,0
31,2013-05-09,2013-02-05,2013-04-05,0.44,"Income, Qualified",Regular,Quarterly,1
32,2013-02-08,2012-12-04,2013-01-07,0.44,"Income, Qualified",Regular,Quarterly,0
33,2012-11-09,2012-09-11,2012-10-05,0.44,"Income, Qualified",Regular,Quarterly,0
34,2012-08-09,2012-06-05,2012-07-05,0.44,"Income, Qualified",Regular,Quarterly,0
35,2012-05-09,2012-02-07,2012-04-04,0.44,"Income, Qualified",Regular,Quarterly,1
36,2012-02-09,2011-12-06,2012-01-05,0.44,"Income, Qualified",Regular,Quarterly,19
37,2011-11-09,2011-09-21,2011-10-05,0.44,"Income, Qualified",Regular,Quarterly,0
38,2011-08-09,2011-06-06,2011-07-06,0.44,"Income, Qualified",Regular,Quarterly,1
39,2011-05-09,2011-02-08,2011-04-06,0.44,"Income, Qualified",Regular,Quarterly,0
40,2011-02-09,2010-12-07,2011-01-06,0.44,"Income, Qualified",Regular,Quarterly,0
41,2010-11-10,2010-09-21,2010-10-07,0.44,"Income, Qualified",Regular,Quarterly,4
42,2010-08-10,2010-06-07,2010-07-01,0.44,"Income, Qualified",Regular,Quarterly,0
43,2010-05-10,2010-02-02,2010-04-07,0.44,"Income, Qualified",Regular,Quarterly,2
44,2010-02-10,2009-12-08,2010-01-06,0.44,"Income, Qualified",Regular,Quarterly,5
45,2009-11-10,2009-09-21,2009-10-07,0.44,"Income, Qualified",Regular,Quarterly,0
46,2009-08-10,2009-06-09,2009-07-08,0.44,"Income, Qualified",Regular,Quarterly,1
47,2009-05-08,2009-02-03,2009-04-08,0.44,"Income, Qualified",Regular,Quarterly,0
48,2009-02-10,2008-12-02,2009-01-07,0.44,"Income, Qualified",Regular,Quarterly,22
49,2008-11-10,2008-09-09,2008-10-08,0.44,"Income, Qualified",Regular,Quarterly,0
50,2008-08-11,2008-06-03,2008-07-09,0.44,"Income, Qualified",Regular,Quarterly,5
51,2008-05-09,2008-02-05,2008-04-07,0.44,"Income, Qualified",Regular,Quarterly,1
52,2008-02-11,2007-12-06,2008-01-09,0.44,"Income, Qualified",Regular,Quarterly,16
53,2007-11-09,2007-09-06,2007-10-17,0.44,"Income, Qualified",Regular,Quarterly,7
54,2007-08-10,2007-06-07,2007-06-29,0.44,"Income, Qualified",Regular,Quarterly,0
55,2007-05-10,2007-02-06,2007-04-04,0.44,"Income, Qualified",Regular,Quarterly,4
56,2007-02-09,2006-12-14,2007-01-10,0.44,"Income, Qualified",Regular,Quarterly,4
57,2006-11-10,2006-09-14,2006-10-05,0.44,"Initial, Qualified",Regular,Quarterly,0
