,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-15,2020-10-07,2020-11-30,1.29,"Income, Qualified",Regular,Quarterly,-
1,2020-09-15,2020-07-21,2020-08-31,1.29,"Income, Qualified",Regular,Quarterly,2
2,2020-06-15,2020-05-21,2020-05-29,1.29,"Income, Qualified",Regular,Quarterly,3
3,2020-03-16,2020-01-23,2020-02-28,1.29,"Income, Qualified",Regular,Quarterly,1
4,2019-12-16,2019-09-19,2019-11-29,1.29,"Income, Qualified",Regular,Quarterly,9
5,2019-09-17,2019-07-18,2019-08-30,1.29,"Income, Qualified",Regular,Quarterly,-
6,2019-06-17,2019-05-23,2019-05-31,1.29,"Income, Qualified",Regular,Quarterly,2
7,2019-03-15,2019-01-24,2019-02-28,1.29,"Income, Qualified",Regular,Quarterly,0
8,2018-12-17,2018-09-20,2018-11-30,1.29,"Income, Qualified",Regular,Quarterly,-
9,2018-09-18,2018-07-19,2018-08-31,1.29,"Income, Qualified",Regular,Quarterly,3
10,2018-06-18,2018-05-24,2018-06-01,1.29,"Income, Qualified",Regular,Quarterly,1
11,2018-03-15,2018-01-25,2018-02-28,1.29,"Income, Qualified",Regular,Quarterly,11
12,2017-12-15,2017-09-21,2017-11-30,1.29,"Income, Qualified",Regular,Quarterly,0
13,2017-09-18,2017-07-27,2017-08-30,1.29,"Income, Qualified",Regular,Quarterly,0
14,2017-06-19,2017-05-24,2017-06-01,1.29,"Income, Qualified",Regular,Quarterly,0
15,2017-03-15,2017-01-26,2017-02-27,1.29,"Income, Qualified",Regular,Quarterly,2
16,2016-12-15,2016-09-28,2016-11-29,1.29,"Income, Qualified",Regular,Quarterly,10
17,2016-09-16,2016-07-28,2016-08-30,1.29,"Income, Qualified",Regular,Quarterly,1
18,2016-06-20,2016-05-26,2016-06-02,1.29,"Income, Qualified",Regular,Quarterly,2
19,2016-03-15,2016-01-27,2016-02-26,1.29,"Income, Qualified",Regular,Quarterly,2
20,2015-12-15,2015-11-10,2015-11-27,1.29,"Income, Qualified",Regular,Quarterly,2
21,2015-09-16,2015-07-16,2015-08-28,1.29,"Income, Qualified",Regular,Quarterly,10
22,2015-06-15,2015-05-21,2015-05-28,1.29,"Income, Qualified",Regular,Quarterly,33
23,2015-03-16,2015-01-28,2015-02-26,1.29,"Income, Qualified",Regular,Quarterly,0
24,2014-12-15,2014-09-18,2014-11-26,1.29,"Income, Qualified",Regular,Quarterly,65
25,2014-09-16,2014-07-17,2014-08-28,1.29,"Income, Qualified",Regular,Quarterly,19
26,2014-06-16,2014-05-22,2014-05-29,1.29,"Income, Qualified",Regular,Quarterly,0
27,2014-03-17,2014-01-29,2014-02-27,1.29,"Income, Qualified",Regular,Quarterly,8
28,2013-12-16,2013-09-18,2013-11-27,1.29,"Income, Qualified",Regular,Quarterly,-
29,2013-09-17,2013-07-18,2013-08-29,1.29,"Income, Qualified",Regular,Quarterly,6
30,2013-06-17,2013-05-22,2013-05-30,1.29,"Income, Qualified",Regular,Quarterly,7
31,2013-03-15,2013-01-30,2013-02-27,1.29,"Income, Qualified",Regular,Quarterly,5
32,2012-12-17,2012-09-20,2012-11-29,1.29,"Income, Qualified",Regular,Quarterly,1
33,2012-09-18,2012-07-19,2012-08-30,1.29,"Income, Qualified",Regular,Quarterly,5
34,2012-06-15,2012-05-23,2012-05-31,1.29,"Income, Qualified",Regular,Quarterly,11
35,2012-03-15,2012-01-26,2012-02-28,1.29,"Income, Qualified",Regular,Quarterly,-
36,2011-12-15,2011-09-22,2011-11-29,1.29,"Income, Qualified",Regular,Quarterly,1
37,2011-09-16,2011-07-21,2011-08-30,1.29,"Income, Qualified",Regular,Quarterly,38
38,2011-06-15,2011-05-18,2011-05-27,1.29,"Income, Qualified",Regular,Quarterly,15
39,2011-03-15,2011-01-27,2011-02-25,1.29,"Income, Qualified",Regular,Quarterly,1
40,2010-12-15,2010-09-22,2010-11-29,1.29,"Income, Qualified",Regular,Quarterly,2
41,2010-09-16,2010-07-22,2010-08-30,1.29,"Income, Qualified",Regular,Quarterly,2
42,2010-06-15,2010-05-19,2010-05-27,1.29,"Income, Qualified",Regular,Quarterly,0
