,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-16,2020-08-21,2020-09-24,0.58,Income,Regular,Quarterly,1
1,2020-07-17,2020-05-20,2020-06-25,0.58,Income,Regular,Quarterly,2
2,2020-04-17,2020-03-06,2020-03-26,0.58,Income,Regular,Quarterly,0
3,2020-01-17,2019-12-06,2019-12-26,0.58,Income,Regular,Quarterly,5
4,2019-10-18,2019-08-23,2019-09-26,0.58,Income,Regular,Quarterly,2
5,2019-07-25,2019-06-21,2019-07-05,0.58,Income,Regular,Quarterly,3
6,2019-04-12,2019-03-08,2019-03-21,0.58,Income,Regular,Quarterly,0
7,2019-01-18,2018-12-07,2018-12-27,0.58,Income,Regular,Quarterly,0
8,2018-10-19,2018-08-24,2018-09-27,0.58,Income,Regular,Quarterly,2
9,2018-07-25,2018-06-22,2018-07-05,0.58,Income,Regular,Quarterly,1
10,2018-04-13,2018-03-09,2018-03-22,0.58,Income,Regular,Quarterly,5
11,2018-01-19,2017-12-08,2017-12-28,0.58,Income,Regular,Quarterly,3
12,2017-10-20,2017-08-25,2017-09-28,0.58,Income,Regular,Quarterly,2
13,2017-07-26,2017-06-23,2017-07-05,0.58,Income,Regular,Quarterly,0
14,2017-04-13,2017-03-10,2017-03-22,0.58,Income,Regular,Quarterly,5
15,2017-01-13,2016-12-09,2016-12-21,0.58,Income,Regular,Quarterly,12
16,2016-10-21,2016-08-19,2016-09-27,0.58,Income,Regular,Quarterly,0
17,2016-07-27,2016-06-24,2016-07-06,0.58,Income,Regular,Quarterly,0
18,2016-04-15,2016-02-19,2016-03-22,0.58,Income,Regular,Quarterly,5
19,2016-01-15,2015-12-11,2015-12-22,0.58,Income,Regular,Quarterly,0
20,2015-10-16,2015-08-21,2015-09-23,0.58,Income,Regular,Quarterly,7
21,2015-07-17,2015-06-19,2015-06-25,0.58,Income,Regular,Quarterly,0
22,2015-04-17,2015-02-13,2015-03-26,0.58,Initial,Regular,Quarterly,2
23,2015-01-16,2014-12-04,2014-12-30,0.58,"Income, Qualified",Regular,Quarterly,-
24,2014-10-24,2014-08-21,2014-10-01,0.58,"Income, Qualified",Regular,Quarterly,-
25,2014-07-25,2014-06-16,2014-07-01,0.58,"Income, Qualified",Regular,Quarterly,-
26,2014-04-25,2014-02-13,2014-04-02,0.58,"Income, Qualified",Regular,Quarterly,-
27,2014-01-24,2013-12-05,2013-12-31,0.58,"Income, Qualified",Regular,Quarterly,-
28,2013-10-25,2013-08-22,2013-10-02,0.58,"Income, Qualified",Regular,Quarterly,-
29,2013-07-26,2013-06-20,2013-07-02,0.58,"Income, Qualified",Regular,Quarterly,-
30,2013-04-26,2013-02-14,2013-04-03,0.58,"Income, Qualified",Regular,Quarterly,-
31,2012-12-28,2012-12-06,2012-12-13,0.58,"Income, Qualified",Regular,Quarterly,-
32,2012-10-26,2012-08-23,2012-10-03,0.58,"Income, Qualified",Regular,Quarterly,-
33,2012-07-27,2012-06-21,2012-07-03,0.58,"Income, Qualified",Regular,Quarterly,-
34,2012-04-27,2012-02-16,2012-04-03,0.58,"Income, Qualified",Regular,Quarterly,-
35,2012-01-27,2011-12-08,2012-01-04,0.58,"Income, Qualified",Regular,Quarterly,-
36,2011-10-28,2011-08-25,2011-10-05,0.58,"Income, Qualified",Regular,Quarterly,-
37,2011-07-29,2011-06-23,2011-07-06,0.58,"Income, Qualified",Regular,Quarterly,-
38,2011-04-29,2011-02-17,2011-04-06,0.58,"Income, Qualified",Regular,Quarterly,-
39,2011-01-28,2010-12-09,2011-01-05,0.58,"Income, Qualified",Regular,Quarterly,-
40,2010-10-29,2010-08-25,2010-10-06,0.58,"Income, Qualified",Regular,Quarterly,-
41,2010-07-30,2010-06-24,2010-07-07,0.58,"Income, Qualified",Regular,Quarterly,-
42,2010-04-30,2010-02-18,2010-04-07,0.58,"Income, Qualified",Regular,Quarterly,-
43,2010-01-29,2009-12-03,2010-01-06,0.58,"Income, Qualified",Regular,Quarterly,-
44,2009-10-30,2009-08-27,2009-10-07,0.58,"Income, Qualified",Regular,Quarterly,-
45,2009-07-31,2009-06-18,2009-07-08,0.58,"Income, Qualified",Regular,Quarterly,-
46,2009-04-24,2009-02-19,2009-04-01,0.58,"Income, Qualified",Regular,Quarterly,-
47,2009-01-23,2008-10-16,2008-12-30,0.58,"Income, Qualified",Regular,Quarterly,-
48,2008-10-24,2008-08-21,2008-10-01,0.58,"Income, Qualified",Regular,Quarterly,-
49,2008-07-25,2008-06-26,2008-07-01,0.58,"Income, Qualified",Regular,Quarterly,-
50,2008-04-25,2008-02-21,2008-04-02,0.58,"Income, Qualified",Regular,Quarterly,-
51,2008-01-25,2007-10-19,2008-01-02,0.58,"Income, Qualified",Regular,Quarterly,-
52,2007-10-26,2007-08-23,2007-10-03,0.58,"Income, Qualified",Regular,Quarterly,-
53,2007-07-27,2007-06-22,2007-07-03,0.58,"Income, Qualified",Regular,Quarterly,-
54,2007-04-27,2007-01-18,2007-04-03,0.58,"Income, Qualified",Regular,Quarterly,-
55,2007-01-26,2006-10-20,2007-01-03,0.58,"Income, Qualified",Regular,Quarterly,-
56,2006-10-27,2006-08-24,2006-10-04,0.58,"Income, Qualified",Regular,Quarterly,-
57,2006-07-28,2006-06-22,2006-07-05,0.58,"Income, Qualified",Regular,Quarterly,-
58,2006-04-28,2006-01-19,2006-04-05,0.58,"Income, Qualified",Regular,Quarterly,-
59,2006-01-27,2005-10-20,2006-01-04,0.58,"Income, Qualified",Regular,Quarterly,-
60,2005-10-28,2005-08-25,2005-10-05,0.58,"Income, Qualified",Regular,Quarterly,-
61,2005-07-29,2005-06-23,2005-06-29,0.58,"Income, Qualified",Regular,Quarterly,-
62,2005-04-29,2005-01-20,2005-03-30,0.58,"Income, Qualified",Regular,Quarterly,-
63,2005-01-28,2004-10-21,2005-01-05,0.58,"Income, Qualified",Regular,Quarterly,-
64,2004-10-29,2004-08-26,2004-09-29,0.58,"Income, Qualified",Regular,Quarterly,-
65,2004-07-30,2004-06-24,2004-06-30,0.58,"Income, Qualified",Regular,Quarterly,-
66,2004-04-30,2004-02-27,2004-03-31,0.58,"Income, Qualified",Regular,Quarterly,-
67,2004-01-23,2003-10-23,2003-12-30,0.58,"Income, Qualified",Regular,Quarterly,-
68,2003-10-24,2003-08-28,2003-10-01,0.58,"Income, Qualified",Regular,Quarterly,-
69,2003-07-25,2003-06-26,2003-07-01,0.58,"Income, Qualified",Regular,Quarterly,-
70,2003-04-25,2003-01-23,2003-04-02,0.58,"Income, Qualified",Regular,Quarterly,-
71,2003-01-24,2002-10-24,2002-12-31,0.58,"Income, Qualified",Regular,Quarterly,-
72,2002-10-25,2002-08-29,2002-10-02,0.58,Income,Regular,Quarterly,-
73,2002-07-26,2002-06-27,2002-07-02,0.58,Income,Regular,Quarterly,-
74,2002-04-26,2002-03-08,2002-04-03,0.58,Income,Regular,Quarterly,-
75,2002-01-25,2001-10-25,2002-01-02,0.58,Income,Regular,Quarterly,-
76,2001-10-26,2001-08-30,2001-10-03,0.58,Income,Regular,Quarterly,-
77,2001-07-27,2001-06-28,2001-07-03,0.58,Income,Regular,Quarterly,-
78,2001-04-27,2001-03-08,2001-04-04,0.58,Income,Regular,Quarterly,-
79,2001-01-26,2000-10-26,2001-01-03,0.58,Income,Regular,Quarterly,-
80,2000-10-27,2000-08-24,2000-10-04,0.58,Income,Regular,Quarterly,-
81,2000-07-28,2000-06-29,2000-07-05,0.58,Income,Regular,Quarterly,-
82,2000-04-28,2000-03-06,2000-04-05,0.58,Income,Regular,Quarterly,-
