,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-10,2020-09-15,2020-11-18,0.56,"Income, Qualified",Regular,Quarterly,7
1,2020-09-10,2020-06-17,2020-08-19,0.56,"Income, Qualified",Regular,Quarterly,1
2,2020-06-11,2020-03-09,2020-05-20,0.56,"Income, Qualified",Regular,Quarterly,0
3,2020-03-12,2019-12-04,2020-02-19,0.56,"Income, Qualified",Regular,Quarterly,0
4,2019-12-12,2019-09-18,2019-11-20,0.56,"Income, Qualified",Regular,Quarterly,3
5,2019-09-12,2019-06-12,2019-08-14,0.56,"Income, Qualified",Regular,Quarterly,5
6,2019-06-13,2019-03-11,2019-05-15,0.56,"Income, Qualified",Regular,Quarterly,0
7,2019-03-14,2018-11-28,2019-02-20,0.56,"Income, Qualified",Regular,Quarterly,1
8,2018-12-13,2018-09-18,2018-11-14,0.56,"Income, Qualified",Regular,Quarterly,1
9,2018-09-13,2018-06-13,2018-08-15,0.56,"Income, Qualified",Regular,Quarterly,8
10,2018-06-14,2018-03-12,2018-05-16,0.56,"Income, Qualified",Regular,Quarterly,3
11,2018-03-08,2017-11-29,2018-02-14,0.56,"Income, Qualified",Regular,Quarterly,0
12,2017-12-14,2017-09-19,2017-11-15,0.56,"Income, Qualified",Regular,Quarterly,9
13,2017-09-14,2017-06-13,2017-08-15,0.56,"Income, Qualified",Regular,Quarterly,1
14,2017-06-08,2017-03-14,2017-05-16,0.56,"Income, Qualified",Regular,Quarterly,0
15,2017-03-09,2016-11-30,2017-02-14,0.56,"Income, Qualified",Regular,Quarterly,11
16,2016-12-08,2016-09-20,2016-11-15,0.56,"Income, Qualified",Regular,Quarterly,0
17,2016-09-08,2016-06-14,2016-08-16,0.56,"Income, Qualified",Regular,Quarterly,7
18,2016-06-09,2016-03-15,2016-05-17,0.56,"Income, Qualified",Regular,Quarterly,6
19,2016-03-10,2015-12-02,2016-02-16,0.56,"Income, Qualified",Regular,Quarterly,0
20,2015-12-10,2015-09-15,2015-11-17,0.56,"Income, Qualified",Regular,Quarterly,1
21,2015-09-10,2015-06-09,2015-08-18,0.56,"Income, Qualified",Regular,Quarterly,37
22,2015-06-11,2015-03-10,2015-05-19,0.56,"Income, Qualified",Regular,Quarterly,-
23,2015-03-12,2014-12-03,2015-02-17,0.56,"Income, Qualified",Regular,Quarterly,4
24,2014-12-11,2014-09-16,2014-11-18,0.56,"Income, Qualified",Regular,Quarterly,-
25,2014-09-11,2014-06-10,2014-08-19,0.56,"Income, Qualified",Regular,Quarterly,0
26,2014-06-12,2014-03-11,2014-05-13,0.56,"Income, Qualified",Regular,Quarterly,0
27,2014-03-13,2013-11-19,2014-02-18,0.56,"Income, Qualified",Regular,Quarterly,2
28,2013-12-12,2013-09-17,2013-11-19,0.56,"Income, Qualified",Regular,Quarterly,2
29,2013-09-12,2013-06-12,2013-08-13,0.56,"Income, Qualified",Regular,Quarterly,8
30,2013-06-13,2013-03-11,2013-05-14,0.56,"Income, Qualified",Regular,Quarterly,0
31,2013-03-14,2012-11-28,2013-02-19,0.56,"Income, Qualified",Regular,Quarterly,0
32,2012-12-13,2012-09-18,2012-11-13,0.56,"Income, Qualified",Regular,Quarterly,-
33,2012-09-13,2012-06-13,2012-08-14,0.56,"Income, Qualified",Regular,Quarterly,2
34,2012-06-14,2012-03-13,2012-05-15,0.56,"Income, Qualified",Regular,Quarterly,25
35,2012-03-08,2011-12-14,2012-02-14,0.56,"Income, Qualified",Regular,Quarterly,2
36,2011-12-08,2011-09-20,2011-11-15,0.56,"Income, Qualified",Regular,Quarterly,35
37,2011-09-08,2011-06-15,2011-08-16,0.56,"Income, Qualified",Regular,Quarterly,9
38,2011-06-09,2011-03-14,2011-05-17,0.56,"Income, Qualified",Regular,Quarterly,1
39,2011-03-10,2010-12-15,2011-02-15,0.56,"Income, Qualified",Regular,Quarterly,-
40,2010-12-09,2010-09-21,2010-11-16,0.56,"Income, Qualified",Regular,Quarterly,12
41,2010-09-09,2010-06-16,2010-08-17,0.56,"Income, Qualified",Regular,Quarterly,0
42,2010-06-10,2010-03-08,2010-05-18,0.56,"Income, Qualified",Regular,Quarterly,-
43,2010-03-11,2009-12-09,2010-02-16,0.56,"Income, Qualified",Regular,Quarterly,0
44,2009-12-10,2009-09-18,2009-11-17,0.56,"Income, Qualified",Regular,Quarterly,0
45,2009-09-10,2009-06-10,2009-08-18,0.56,"Income, Qualified",Regular,Quarterly,0
46,2009-06-18,2009-03-09,2009-05-19,0.56,"Income, Qualified",Regular,Quarterly,8
47,2009-03-12,2008-12-10,2009-02-17,0.56,"Income, Qualified",Regular,Quarterly,31
48,2008-12-11,2008-09-22,2008-11-18,0.56,"Income, Qualified",Regular,Quarterly,0
49,2008-09-11,2008-06-11,2008-08-19,0.56,"Income, Qualified",Regular,Quarterly,3
50,2008-06-12,2008-03-17,2008-05-13,0.56,"Income, Qualified",Regular,Quarterly,2
51,2008-03-13,2007-12-19,2008-02-19,0.56,"Income, Qualified",Regular,Quarterly,15
52,2007-12-13,2007-09-12,2007-11-13,0.56,"Income, Qualified",Regular,Quarterly,0
53,2007-09-13,2007-06-27,2007-08-14,0.56,"Income, Qualified",Regular,Quarterly,8
54,2007-06-14,2007-03-26,2007-05-15,0.56,"Income, Qualified",Regular,Quarterly,1
55,2007-03-08,2006-12-20,2007-02-13,0.56,"Income, Qualified",Regular,Quarterly,0
56,2006-12-14,2006-09-13,2006-11-14,0.56,"Income, Qualified",Regular,Quarterly,2
57,2006-09-14,2006-06-22,2006-08-15,0.56,"Income, Qualified",Regular,Quarterly,0
58,2006-06-08,2006-03-27,2006-05-15,0.56,"Income, Qualified",Regular,Quarterly,7
59,2006-03-09,2005-12-14,2006-02-15,0.56,"Income, Qualified",Regular,Quarterly,0
60,2005-12-08,2005-09-23,2005-11-15,0.56,"Income, Qualified",Regular,Quarterly,0
61,2005-09-08,2005-06-15,2005-08-15,0.56,"Income, Qualified",Regular,Quarterly,0
62,2005-06-09,2005-03-23,2005-05-16,0.56,"Income, Qualified",Regular,Quarterly,0
63,2005-03-10,2004-12-08,2005-02-15,0.56,"Income, Qualified",Regular,Quarterly,-
64,2004-12-02,2004-11-09,2004-11-15,0.56,"Special, Qualified",Special,Quarterly,-
65,2004-12-02,2004-09-15,2004-11-15,0.56,"Income, Qualified",Regular,Quarterly,-
66,2004-09-14,2004-07-15,2004-08-23,0.56,"Income, Qualified",Regular,Quarterly,0
67,2003-11-07,2003-09-12,2003-10-15,0.56,"Income, Qualified",Regular,Annually,0
68,2003-03-07,2003-01-16,2003-02-19,0.56,"Income, Qualified",Regular,Annually,18
