,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-13,2020-10-15,2020-10-29,0.35,"Income, Qualified",Regular,Quarterly,0
1,2020-08-14,2020-07-16,2020-07-30,0.35,"Income, Qualified",Regular,Quarterly,8
2,2020-05-15,2020-04-16,2020-04-29,0.35,"Income, Qualified",Regular,Quarterly,0
3,2020-02-14,2020-01-16,2020-01-30,0.35,"Income, Qualified",Regular,Quarterly,0
4,2019-11-15,2019-10-17,2019-10-30,0.35,"Income, Qualified",Regular,Quarterly,2
5,2019-08-15,2019-07-18,2019-07-30,0.35,"Income, Qualified",Regular,Quarterly,60
6,2019-05-15,2019-04-17,2019-04-29,0.35,"Income, Qualified",Regular,Quarterly,0
7,2019-02-15,2019-01-17,2019-01-30,0.35,"Income, Qualified",Regular,Quarterly,0
8,2018-11-15,2018-10-16,2018-10-30,0.35,"Income, Qualified",Regular,Quarterly,0
9,2018-08-15,2018-07-18,2018-07-30,0.35,"Income, Qualified",Regular,Quarterly,-
10,2018-05-15,2018-04-18,2018-04-27,0.35,"Income, Qualified",Regular,Quarterly,6
11,2018-02-15,2018-01-18,2018-01-30,0.35,"Income, Qualified",Regular,Quarterly,2
12,2017-11-15,2017-10-17,2017-10-30,0.35,"Income, Qualified",Regular,Quarterly,22
13,2017-08-15,2017-07-19,2017-07-27,0.35,"Income, Qualified",Regular,Quarterly,3
14,2017-05-15,2017-04-19,2017-04-27,0.35,"Income, Qualified",Regular,Quarterly,31
15,2017-02-15,2017-01-17,2017-01-27,0.35,"Income, Qualified",Regular,Quarterly,5
16,2016-11-15,2016-10-19,2016-10-27,0.35,"Income, Qualified",Regular,Quarterly,0
17,2016-08-15,2016-07-20,2016-07-27,0.35,"Income, Qualified",Regular,Quarterly,9
18,2016-05-13,2016-04-18,2016-04-27,0.35,"Income, Qualified",Regular,Quarterly,20
19,2016-02-15,2016-01-19,2016-01-27,0.35,"Income, Qualified",Regular,Quarterly,2
20,2015-11-13,2015-10-19,2015-10-28,0.35,"Income, Qualified",Regular,Quarterly,0
21,2015-08-14,2015-07-20,2015-07-29,0.35,"Income, Qualified",Regular,Quarterly,0
22,2015-05-15,2015-04-20,2015-04-28,0.35,"Income, Qualified",Regular,Quarterly,1
23,2015-02-13,2015-01-20,2015-01-28,0.35,"Income, Qualified",Regular,Quarterly,4
24,2014-11-14,2014-10-17,2014-10-29,0.35,"Income, Qualified",Regular,Quarterly,0
25,2014-08-15,2014-07-17,2014-07-29,0.35,"Income, Qualified",Regular,Quarterly,1
26,2014-05-15,2014-04-17,2014-04-28,0.35,"Income, Qualified",Regular,Quarterly,2
27,2014-02-14,2014-01-17,2014-01-29,0.35,"Income, Qualified",Regular,Quarterly,9
28,2013-11-15,2013-10-18,2013-10-29,0.35,"Income, Qualified",Regular,Quarterly,0
29,2013-08-15,2013-07-18,2013-07-29,0.35,"Income, Qualified",Regular,Quarterly,3
30,2013-05-15,2013-04-18,2013-04-26,0.35,"Income, Qualified",Regular,Quarterly,1
31,2013-02-15,2013-01-18,2013-02-01,0.35,"Income, Qualified",Regular,Quarterly,0
32,2012-11-15,2012-10-18,2012-10-29,0.35,"Income, Qualified",Regular,Quarterly,2
33,2012-08-15,2012-07-19,2012-07-27,0.35,"Income, Qualified",Regular,Quarterly,0
34,2012-05-15,2012-04-19,2012-04-26,0.35,"Income, Qualified",Regular,Quarterly,0
35,2012-02-15,2012-01-19,2012-01-27,0.35,"Income, Qualified",Regular,Quarterly,0
36,2011-11-15,2011-10-19,2011-10-27,0.35,"Income, Qualified",Regular,Quarterly,0
37,2011-08-15,2011-07-19,2011-07-27,0.35,"Income, Qualified",Regular,Quarterly,-
38,2011-05-13,2011-04-21,2011-04-27,0.35,"Income, Qualified",Regular,Quarterly,2
39,2011-02-15,2011-01-20,2011-01-27,0.35,"Income, Qualified",Regular,Quarterly,0
40,2010-11-15,2010-10-19,2010-10-27,0.35,"Income, Qualified",Regular,Quarterly,0
41,2010-08-13,2010-07-21,2010-07-28,0.35,"Income, Qualified",Regular,Quarterly,0
42,2010-05-14,2010-04-21,2010-04-28,0.35,"Income, Qualified",Regular,Quarterly,0
43,2010-02-12,2010-01-20,2010-01-27,0.35,"Income, Qualified",Regular,Quarterly,0
44,2009-11-13,2009-10-21,2009-10-28,0.35,"Income, Qualified",Regular,Quarterly,13
45,2009-08-14,2009-07-22,2009-07-29,0.35,"Income, Qualified",Regular,Quarterly,1
46,2009-05-15,2009-04-22,2009-04-28,0.35,"Income, Qualified",Regular,Quarterly,1
47,2009-05-15,2009-04-22,2009-04-28,0.35,"Additional Payment, Qualified",Qualified,Quarterly,1
48,2009-02-13,2008-12-16,2009-01-28,0.35,"Income, Qualified",Regular,Quarterly,0
49,2008-10-31,2008-09-16,2008-10-15,0.35,"Income, Qualified",Regular,Quarterly,75
50,2008-07-31,2008-06-18,2008-07-09,0.35,"Income, Qualified",Regular,Quarterly,6
51,2008-04-30,2008-03-19,2008-04-09,0.35,"Income, Qualified",Regular,Quarterly,7
52,2008-01-31,2007-12-19,2008-01-09,0.35,"Income, Qualified",Regular,Quarterly,0
53,2007-10-31,2007-09-19,2007-10-10,0.35,"Income, Qualified",Regular,Quarterly,-
54,2007-07-31,2007-06-20,2007-07-11,0.35,"Income, Qualified",Regular,Quarterly,0
55,2007-04-30,2007-03-22,2007-04-11,0.35,"Income, Qualified",Regular,Quarterly,3
56,2007-01-31,2006-12-19,2007-01-10,0.35,"Income, Qualified",Regular,Quarterly,0
57,2006-10-31,2006-09-20,2006-10-11,0.35,Income,Regular,Quarterly,1
58,2006-07-31,2006-06-21,2006-07-12,0.35,Income,Regular,Quarterly,8
59,2006-04-28,2006-03-22,2006-04-11,0.35,Income,Regular,Quarterly,5
60,2006-01-31,2005-12-20,2006-01-11,0.35,Income,Regular,Quarterly,0
61,2005-10-31,2005-09-21,2005-10-12,0.35,Income,Regular,Quarterly,5
62,2005-07-29,-,2005-07-13,0.35,Income,Regular,Quarterly,1
63,2005-04-29,2005-03-17,2005-04-13,0.35,Income,Regular,Quarterly,-
64,2005-01-31,2004-12-21,2005-01-12,0.35,Income,Regular,Quarterly,1
65,2004-10-29,2004-09-20,2004-10-06,0.35,Income,Regular,Quarterly,15
66,2004-07-30,2004-06-14,2004-07-07,0.35,Income,Regular,Quarterly,35
67,2004-04-30,2004-03-18,2004-04-06,0.35,Income,Regular,Quarterly,0
68,2004-01-30,-,2004-01-07,0.35,Income,Regular,Quarterly,0
69,2003-10-31,-,2003-10-08,0.35,Income,Regular,Quarterly,3
70,2003-07-31,2003-06-18,2003-07-09,0.35,Income,Regular,Quarterly,4
71,2003-04-30,2003-03-20,2003-04-09,0.35,Income,Regular,Quarterly,3
72,2003-01-31,2002-12-19,2003-01-08,0.35,Income,Regular,Quarterly,1
73,2002-10-25,2002-09-19,2002-10-02,0.35,Income,Regular,Quarterly,9
74,2002-07-26,2002-06-19,2002-07-02,0.35,Income,Regular,Quarterly,3
75,2002-04-26,2002-03-26,2002-04-03,0.35,Income,Regular,Quarterly,-
76,2002-01-25,-,2002-01-09,0.35,Income,Regular,Quarterly,0
77,2001-10-26,-,2001-10-03,0.35,Income,Regular,Quarterly,0
78,2001-07-27,2001-06-21,2001-07-03,0.35,Income,Regular,Quarterly,-
79,2001-04-27,2001-03-21,2001-04-04,0.35,Income,Regular,Quarterly,1
80,2001-01-30,2000-12-19,2001-01-10,0.35,Income,Regular,Quarterly,0
81,2000-10-27,2000-09-22,2000-10-04,0.35,Income,Regular,Quarterly,1
82,2000-07-28,-,2000-07-05,0.35,Income,Regular,Quarterly,0
83,2000-04-28,2000-03-23,2000-04-12,0.35,Income,Regular,Quarterly,49
84,2000-01-20,1999-12-20,2000-01-10,0.35,Income,Regular,Quarterly,0
85,1999-10-29,1999-09-22,1999-10-13,0.35,Income,Regular,Quarterly,5
86,1999-07-30,1999-06-24,1999-07-14,0.35,Income,Regular,Quarterly,-
87,1999-04-30,1999-03-26,1999-04-14,0.35,Income,Regular,Quarterly,-
88,1999-01-29,1999-01-07,1999-01-14,0.35,Income,Regular,Quarterly,1
89,1998-10-30,1998-09-25,1998-10-13,0.35,Income,Regular,Quarterly,0
90,1998-07-30,1998-06-26,1998-07-14,0.35,Income,Regular,Quarterly,0
91,1998-04-30,1998-03-26,1998-04-13,0.35,Income,Regular,Quarterly,0
92,1998-01-30,1998-01-07,1998-01-15,0.35,Income,Regular,Quarterly,3
93,1997-10-31,1997-10-03,1997-10-09,0.35,Income,Regular,Quarterly,3
94,1997-07-30,1997-06-27,1997-07-10,0.35,Income,Regular,Quarterly,0
95,1997-04-25,1997-03-27,1997-04-05,0.35,Income,Regular,Quarterly,0
96,1997-02-06,1997-01-07,1997-01-15,0.35,Income,Regular,Quarterly,-
97,1996-11-01,1996-10-02,1996-10-09,0.35,Income,Regular,Quarterly,0
98,1996-07-31,1996-07-02,1996-07-11,0.35,Income,Regular,Quarterly,16
99,1996-04-26,1996-03-27,1996-04-03,0.35,Income,Regular,Quarterly,34
100,1996-01-24,1996-01-04,1996-01-11,0.35,Income,Regular,Quarterly,0
101,1995-10-26,1995-09-26,1995-10-04,0.35,Income,Regular,Quarterly,2
102,1995-07-27,1995-06-28,1995-07-06,0.35,Income,Regular,Quarterly,0
