,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-15,2020-10-16,2020-11-25,0.35,"Income, Qualified",Regular,Quarterly,0
1,2020-09-15,2020-07-30,2020-08-27,0.35,"Income, Qualified",Regular,Quarterly,1
2,2020-06-15,2020-05-21,2020-06-01,0.35,"Income, Qualified",Regular,Quarterly,0
3,2020-03-16,2020-02-14,2020-02-27,0.35,"Income, Qualified",Regular,Quarterly,4
4,2019-12-16,2019-10-18,2019-11-27,0.35,"Income, Qualified",Regular,Quarterly,10
5,2019-09-16,2019-07-25,2019-08-28,0.35,"Income, Qualified",Regular,Quarterly,4
6,2019-06-17,2019-05-23,2019-05-31,0.35,"Income, Qualified",Regular,Quarterly,1
7,2019-03-15,2019-02-15,2019-02-27,0.35,"Income, Qualified",Regular,Quarterly,3
8,2018-12-17,2018-10-12,2018-11-29,0.35,"Income, Qualified",Regular,Quarterly,1
9,2018-09-17,2018-07-26,2018-08-29,0.35,"Income, Qualified",Regular,Quarterly,1
10,2018-06-15,2018-05-24,2018-06-04,0.35,"Income, Qualified",Regular,Quarterly,13
11,2018-03-15,2018-02-16,2018-02-26,0.35,"Income, Qualified",Regular,Quarterly,12
12,2017-12-15,2017-10-13,2017-11-22,0.35,"Income, Qualified",Regular,Quarterly,3
13,2017-09-15,2017-07-27,2017-08-23,0.35,"Income, Qualified",Regular,Quarterly,3
14,2017-06-15,2017-05-18,2017-05-25,0.35,"Income, Qualified",Regular,Quarterly,0
15,2017-03-15,2017-02-17,2017-02-24,0.35,"Income, Qualified",Regular,Quarterly,0
16,2016-12-15,2016-10-14,2016-11-22,0.35,"Income, Qualified",Regular,Quarterly,3
17,2016-09-15,2016-07-29,2016-08-26,0.35,"Income, Qualified",Regular,Quarterly,7
18,2016-06-15,2016-05-19,2016-05-26,0.35,"Income, Qualified",Regular,Quarterly,0
19,2016-03-15,2016-02-12,2016-02-24,0.35,"Income, Qualified",Regular,Quarterly,10
20,2015-12-15,2015-10-16,2015-11-24,0.35,"Income, Qualified",Regular,Quarterly,5
21,2015-09-15,2015-07-31,2015-08-26,0.35,"Income, Qualified",Regular,Quarterly,0
22,2015-06-15,2015-05-22,2015-05-27,0.35,"Income, Qualified",Regular,Quarterly,1
23,2015-03-16,2015-02-13,2015-02-25,0.35,"Income, Qualified",Regular,Quarterly,15
24,2014-12-15,2014-10-17,2014-11-25,0.35,"Income, Qualified",Regular,Quarterly,3
25,2014-09-15,2014-07-25,2014-08-27,0.35,"Income, Qualified",Regular,Quarterly,0
26,2014-06-16,2014-05-23,2014-05-29,0.35,"Income, Qualified",Regular,Quarterly,1
27,2014-03-17,2014-02-14,2014-02-26,0.35,"Income, Qualified",Regular,Quarterly,4
28,2013-12-16,2013-10-18,2013-11-26,0.35,"Income, Qualified",Regular,Quarterly,33
