,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-29,2020-11-19,2020-12-04,0.275,"Income, Qualified",Regular,Quarterly,0
1,2020-10-01,2020-08-06,2020-08-28,0.275,"Income, Qualified",Regular,Quarterly,0
2,2020-07-01,2020-05-07,2020-05-29,0.275,"Income, Qualified",Regular,Quarterly,0
3,2020-04-01,2020-02-13,2020-02-28,0.275,"Income, Qualified",Regular,Quarterly,0
4,2020-01-02,2019-11-14,2019-11-29,0.275,"Income, Qualified",Regular,Quarterly,4
5,2019-09-30,2019-08-08,2019-08-30,0.275,"Income, Qualified",Regular,Quarterly,3
6,2019-07-01,2019-05-09,2019-05-31,0.275,"Income, Qualified",Regular,Quarterly,2
7,2019-04-01,2019-02-14,2019-03-01,0.275,"Income, Qualified",Regular,Quarterly,0
8,2019-01-02,2018-11-15,2018-11-30,0.275,"Income, Qualified",Regular,Quarterly,0
9,2018-10-01,2018-08-09,2018-08-31,0.275,"Income, Qualified",Regular,Quarterly,0
10,2018-07-05,2018-05-10,2018-06-01,0.275,"Income, Qualified",Regular,Quarterly,0
11,2018-04-02,2018-02-15,2018-03-02,0.275,"Income, Qualified",Regular,Quarterly,6
12,2018-01-02,2017-11-16,2017-12-01,0.275,"Income, Qualified",Regular,Quarterly,2
13,2017-10-02,2017-08-10,2017-08-31,0.275,"Income, Qualified",Regular,Quarterly,0
14,2017-07-05,2017-05-11,2017-06-01,0.275,"Income, Qualified",Regular,Quarterly,2
15,2017-04-03,2017-02-16,2017-03-02,0.275,"Income, Qualified",Regular,Quarterly,12
16,2017-01-03,2016-11-17,2016-12-01,0.275,"Income, Qualified",Regular,Quarterly,0
17,2016-10-03,2016-08-11,2016-09-01,0.275,"Income, Qualified",Regular,Quarterly,0
18,2016-07-05,2016-05-13,2016-06-02,0.275,"Income, Qualified",Regular,Quarterly,5
19,2016-04-04,2016-02-11,2016-03-03,0.275,"Income, Qualified",Regular,Quarterly,10
20,2016-01-04,2015-11-19,2015-12-07,0.275,"Income, Qualified",Regular,Quarterly,-
21,2015-10-05,2015-08-10,2015-09-03,0.275,"Income, Qualified",Regular,Quarterly,0
22,2015-07-06,2015-05-12,2015-05-28,0.275,"Income, Qualified",Regular,Quarterly,9
23,2015-04-06,2015-02-12,2015-02-26,0.275,"Income, Qualified",Regular,Quarterly,0
24,2015-01-05,2014-11-20,2014-12-11,0.275,"Income, Qualified",Regular,Quarterly,-
25,2014-10-06,2014-08-11,2014-08-28,0.275,"Income, Qualified",Regular,Quarterly,5
26,2014-07-07,2014-05-12,2014-05-29,0.275,"Income, Qualified",Regular,Quarterly,0
27,2014-04-07,2014-02-13,2014-02-27,0.275,"Income, Qualified",Regular,Quarterly,3
28,2014-01-06,2013-11-21,2013-12-12,0.275,"Income, Qualified",Regular,Quarterly,4
29,2013-10-07,2013-08-12,2013-08-29,0.275,"Income, Qualified",Regular,Quarterly,0
30,2013-07-01,2013-05-13,2013-05-30,0.275,"Income, Qualified",Regular,Quarterly,2
31,2013-04-01,2013-02-14,2013-02-28,0.275,"Income, Qualified",Regular,Quarterly,0
32,2012-12-26,2012-11-15,2012-12-06,0.275,"Income, Qualified",Regular,Quarterly,0
