,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-29,2020-11-18,2020-12-03,0.16,"Income, Qualified",Regular,Quarterly,1
1,2020-09-24,2020-08-19,2020-09-01,0.16,"Income, Qualified",Regular,Quarterly,0
2,2020-06-26,2020-05-22,2020-06-04,0.16,"Income, Qualified",Regular,Quarterly,1
3,2020-03-20,2020-02-13,2020-02-27,0.16,"Income, Qualified",Regular,Quarterly,1
4,2019-12-20,2019-11-14,2019-11-27,0.16,"Income, Qualified",Regular,Quarterly,0
5,2019-09-20,2019-08-15,2019-08-28,0.16,"Income, Qualified",Regular,Quarterly,1
6,2019-06-21,2019-05-16,2019-05-30,0.16,"Income, Qualified",Regular,Quarterly,3
7,2019-03-22,2019-02-14,2019-02-28,0.16,"Income, Qualified",Regular,Quarterly,1
8,2018-12-21,2018-11-15,2018-11-29,0.16,"Income, Qualified",Regular,Quarterly,1
9,2018-09-21,2018-08-16,2018-08-29,0.16,"Income, Qualified",Regular,Quarterly,0
10,2018-06-15,2018-05-10,2018-05-23,0.16,"Income, Qualified",Regular,Quarterly,0
11,2018-03-16,2018-02-08,2018-02-22,0.16,"Income, Qualified",Regular,Quarterly,0
12,2017-12-15,2017-11-09,2017-11-22,0.16,"Income, Qualified",Regular,Quarterly,2
13,2017-09-18,2017-08-10,2017-08-22,0.16,"Income, Qualified",Regular,Quarterly,0
14,2017-06-14,2017-05-09,2017-05-19,0.16,"Income, Qualified",Regular,Quarterly,0
15,2017-03-17,2017-02-09,2017-02-22,0.16,"Income, Qualified",Regular,Quarterly,55
16,2016-12-19,2016-11-10,2016-11-23,0.16,"Income, Qualified",Regular,Quarterly,0
17,2016-09-16,2016-08-11,2016-08-23,0.16,"Income, Qualified",Regular,Quarterly,0
18,2016-06-20,2016-05-12,2016-05-24,0.16,"Income, Qualified",Regular,Quarterly,0
19,2016-03-23,2016-02-17,2016-02-29,0.16,"Income, Qualified",Regular,Quarterly,1
20,2015-12-14,2015-11-05,2015-11-18,0.16,"Income, Qualified",Regular,Quarterly,0
21,2015-09-11,2015-08-06,2015-08-18,0.16,"Income, Qualified",Regular,Quarterly,24
22,2015-06-12,2015-05-07,2015-05-19,0.16,"Income, Qualified",Regular,Quarterly,6
23,2015-03-19,2015-02-11,2015-02-24,0.16,"Income, Qualified",Regular,Quarterly,0
24,2014-12-15,2014-11-06,2014-11-19,0.16,"Income, Qualified",Regular,Quarterly,1
25,2014-09-12,2014-08-07,2014-08-19,0.16,"Income, Qualified",Regular,Quarterly,0
26,2014-06-13,2014-05-08,2014-05-20,0.16,"Income, Qualified",Regular,Quarterly,5
27,2014-03-20,2014-02-12,2014-02-25,0.16,"Income, Qualified",Regular,Quarterly,41
28,2013-12-13,2013-11-07,2013-11-19,0.16,"Income, Qualified",Regular,Quarterly,11
29,2013-09-13,2013-08-08,2013-08-20,0.16,"Income, Qualified",Regular,Quarterly,0
30,2013-06-14,2013-05-09,2013-05-21,0.16,"Income, Qualified",Regular,Quarterly,0
31,2013-03-21,2013-02-13,2013-02-26,0.16,"Income, Qualified",Regular,Quarterly,0
32,2012-12-14,2012-11-08,2012-11-20,0.16,"Income, Qualified",Regular,Quarterly,1
