,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-01-07,2020-11-19,2020-12-03,1.0225,"Income, Qualified",Regular,Quarterly,1
1,2020-09-30,2020-07-15,2020-09-03,1.0225,"Income, Qualified",Regular,Quarterly,28
2,2020-06-30,2020-05-05,2020-06-04,1.0225,"Income, Qualified",Regular,Quarterly,3
3,2020-03-31,2020-02-10,2020-03-05,1.0225,"Income, Qualified",Regular,Quarterly,-
4,2020-01-07,2019-11-14,2019-12-05,1.0225,"Income, Qualified",Regular,Quarterly,1
5,2019-09-30,2019-07-11,2019-09-05,1.0225,"Income, Qualified",Regular,Quarterly,21
6,2019-06-28,2019-04-30,2019-06-06,1.0225,"Income, Qualified",Regular,Quarterly,0
7,2019-03-29,2019-02-13,2019-02-28,1.0225,"Income, Qualified",Regular,Quarterly,0
8,2019-01-07,2018-11-15,2018-12-06,1.0225,"Income, Qualified",Regular,Quarterly,5
9,2018-09-28,2018-07-13,2018-09-06,1.0225,"Income, Qualified",Regular,Quarterly,0
10,2018-06-29,2018-05-01,2018-05-31,1.0225,"Income, Qualified",Regular,Quarterly,6
11,2018-03-30,2018-02-05,2018-03-01,1.0225,"Income, Qualified",Regular,Quarterly,4
12,2018-01-08,2017-11-17,2017-11-30,1.0225,"Income, Qualified",Regular,Quarterly,2
13,2017-09-29,2017-07-14,2017-08-30,1.0225,"Income, Qualified",Regular,Quarterly,2
14,2017-06-30,2017-05-02,2017-05-31,1.0225,"Income, Qualified",Regular,Quarterly,54
15,2017-03-31,2017-02-02,2017-03-01,1.0225,"Income, Qualified",Regular,Quarterly,2
16,2017-01-06,2016-11-17,2016-11-30,1.0225,"Income, Qualified",Regular,Quarterly,5
17,2016-09-30,2016-07-14,2016-08-31,1.0225,"Income, Qualified",Regular,Quarterly,1
18,2016-06-30,2016-05-03,2016-06-01,1.0225,"Income, Qualified",Regular,Quarterly,0
19,2016-03-31,2016-02-04,2016-03-02,1.0225,"Income, Qualified",Regular,Quarterly,1
20,2016-01-07,2015-11-19,2015-12-02,1.0225,"Income, Qualified",Regular,Quarterly,2
21,2015-09-30,2015-07-16,2015-09-02,1.0225,"Income, Qualified",Regular,Quarterly,0
22,2015-06-30,2015-05-05,2015-06-03,1.0225,"Income, Qualified",Regular,Quarterly,24
23,2015-03-31,2015-02-05,2015-03-04,1.0225,"Income, Qualified",Regular,Quarterly,-
24,2015-01-07,2014-11-20,2014-12-03,1.0225,"Income, Qualified",Regular,Quarterly,50
25,2014-09-30,2014-07-17,2014-09-03,1.0225,"Income, Qualified",Regular,Quarterly,0
26,2014-06-30,2014-05-06,2014-06-04,1.0225,"Income, Qualified",Regular,Quarterly,4
27,2014-03-31,2014-02-06,2014-03-05,1.0225,"Income, Qualified",Regular,Quarterly,0
28,2014-01-02,2013-11-21,2013-12-04,1.0225,"Income, Qualified",Regular,Quarterly,-
29,2013-09-30,2013-07-19,2013-09-04,1.0225,"Income, Qualified",Regular,Quarterly,7
30,2013-06-28,2013-04-30,2013-06-05,1.0225,"Income, Qualified",Regular,Quarterly,1
31,2013-03-29,2013-02-07,2013-02-27,1.0225,"Income, Qualified",Regular,Quarterly,1
32,2013-01-02,2012-11-27,2012-12-05,1.0225,"Income, Qualified",Regular,Quarterly,1
33,2012-09-28,2012-07-20,2012-09-05,1.0225,"Income, Qualified",Regular,Quarterly,-
34,2012-06-29,2012-05-02,2012-05-30,1.0225,"Income, Qualified",Regular,Quarterly,12
35,2012-03-30,2012-02-03,2012-02-29,1.0225,"Income, Qualified",Regular,Quarterly,8
36,2012-01-03,2011-11-17,2011-11-30,1.0225,"Income, Qualified",Regular,Quarterly,0
37,2011-09-30,2011-07-15,2011-08-31,1.0225,"Income, Qualified",Regular,Quarterly,55
38,2011-06-30,2011-05-04,2011-06-01,1.0225,"Income, Qualified",Regular,Quarterly,-
39,2011-03-31,2011-02-04,2011-03-02,1.0225,"Income, Qualified",Regular,Quarterly,1
40,2011-01-03,2010-11-12,2010-12-01,1.0225,"Income, Qualified",Regular,Quarterly,0
41,2010-09-30,2010-07-16,2010-09-01,1.0225,"Income, Qualified",Regular,Quarterly,0
42,2010-06-30,2010-05-04,2010-06-02,1.0225,"Income, Qualified",Regular,Quarterly,0
43,2010-03-31,2010-02-05,2010-03-03,1.0225,"Income, Qualified",Regular,Quarterly,0
44,2010-01-04,2009-11-13,2009-12-02,1.0225,"Income, Qualified",Regular,Quarterly,65
45,2009-09-30,2009-07-17,2009-09-02,1.0225,"Income, Qualified",Regular,Quarterly,0
46,2009-06-30,2009-05-05,2009-06-03,1.0225,"Income, Qualified",Regular,Quarterly,20
47,2009-03-31,2009-02-06,2009-03-04,1.0225,"Income, Qualified",Regular,Quarterly,7
48,2009-01-02,2008-11-14,2008-12-03,1.0225,"Income, Qualified",Regular,Quarterly,11
49,2008-09-30,2008-07-18,2008-09-03,1.0225,"Income, Qualified",Regular,Quarterly,3
50,2008-06-30,2008-05-07,2008-06-04,1.0225,"Income, Qualified",Regular,Quarterly,1
51,2008-03-31,2008-02-01,2008-03-05,1.0225,"Income, Qualified",Regular,Quarterly,0
52,2008-01-02,2007-11-16,2007-12-05,1.0225,"Income, Qualified",Regular,Quarterly,1
53,2007-09-28,2007-07-19,2007-09-05,1.0225,"Income, Qualified",Regular,Quarterly,4
54,2007-06-29,2007-05-02,2007-06-06,1.0225,"Income, Qualified",Regular,Quarterly,35
55,2007-03-30,2007-02-02,2007-03-07,1.0225,"Income, Qualified",Regular,Quarterly,9
56,2007-01-02,2006-11-17,2006-12-06,1.0225,"Income, Qualified",Regular,Quarterly,26
57,2006-09-29,2006-07-20,2006-09-06,1.0225,"Income, Qualified",Regular,Quarterly,4
58,2006-06-30,2006-05-03,2006-06-07,1.0225,"Income, Qualified",Regular,Quarterly,23
59,2006-03-31,2006-02-03,2006-03-08,1.0225,"Income, Qualified",Regular,Quarterly,0
60,2006-01-03,2005-11-18,2005-12-07,1.0225,"Income, Qualified",Regular,Quarterly,7
61,2005-09-30,2005-07-22,2005-09-07,1.0225,"Income, Qualified",Regular,Quarterly,0
62,2005-06-30,2005-05-04,2005-06-08,1.0225,"Income, Qualified",Regular,Quarterly,6
63,2005-03-31,2005-01-27,2005-03-09,1.0225,"Income, Qualified",Regular,Quarterly,26
64,2005-01-03,2004-11-19,2004-12-08,1.0225,"Income, Qualified",Regular,Quarterly,0
65,2004-09-30,2004-07-23,2004-09-08,1.0225,"Income, Qualified",Regular,Quarterly,41
66,2004-06-30,2004-05-05,2004-06-09,1.0225,"Income, Qualified",Regular,Quarterly,1
67,2004-03-31,2004-01-29,2004-03-10,1.0225,"Income, Qualified",Regular,Quarterly,14
68,2004-01-02,2003-11-21,2003-12-10,1.0225,"Income, Qualified",Regular,Quarterly,4
