,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-09-01,2020-06-25,2020-07-30,0.38,"Income, Qualified",Regular,Quarterly,88
1,2020-06-05,2020-04-23,2020-05-07,0.38,"Income, Qualified",Regular,Quarterly,54
2,2020-03-06,2019-12-16,2020-01-30,0.38,"Income, Qualified",Regular,Quarterly,3
3,2019-12-02,2019-09-24,2019-11-07,0.38,"Income, Qualified",Regular,Quarterly,8
4,2019-09-03,2019-06-27,2019-08-01,0.38,"Income, Qualified",Regular,Quarterly,-
5,2019-06-07,2019-04-25,2019-05-09,0.38,"Income, Qualified",Regular,Quarterly,4
6,2019-03-01,2018-12-14,2019-01-31,0.38,"Income, Qualified",Regular,Quarterly,0
7,2018-12-03,2018-09-27,2018-11-08,0.38,"Income, Qualified",Regular,Quarterly,14
8,2018-09-04,2018-06-28,2018-08-02,0.38,"Income, Qualified",Regular,Quarterly,1
9,2018-06-01,2018-04-26,2018-05-10,0.38,"Income, Qualified",Regular,Quarterly,1
10,2018-03-01,2017-12-18,2018-02-01,0.38,"Income, Qualified",Regular,Quarterly,17
11,2017-12-01,2017-09-27,2017-11-09,0.38,"Income, Qualified",Regular,Quarterly,3
12,2017-09-01,2017-06-22,2017-08-02,0.38,"Income, Qualified",Regular,Quarterly,1
13,2017-06-01,2017-04-27,2017-05-10,0.38,"Income, Qualified",Regular,Quarterly,29
14,2017-03-01,2016-12-12,2017-02-01,0.38,"Income, Qualified",Regular,Quarterly,1
15,2016-12-01,2016-09-22,2016-11-08,0.38,"Income, Qualified",Regular,Quarterly,1
16,2016-09-01,2016-06-23,2016-08-03,0.38,"Income, Qualified",Regular,Quarterly,-
17,2016-06-01,2016-04-28,2016-05-11,0.38,"Income, Qualified",Regular,Quarterly,9
18,2016-03-02,2015-12-14,2016-02-03,0.38,"Income, Qualified",Regular,Quarterly,16
19,2015-12-01,2015-09-25,2015-11-04,0.38,"Income, Qualified",Regular,Quarterly,-
20,2015-09-02,2015-06-25,2015-08-05,0.38,"Income, Qualified",Regular,Quarterly,-
21,2015-06-02,2015-04-23,2015-05-06,0.38,"Income, Qualified",Regular,Quarterly,9
22,2015-03-03,2014-12-14,2015-02-04,0.38,"Income, Qualified",Regular,Quarterly,0
23,2014-12-02,2014-10-23,2014-11-05,0.38,"Income, Qualified",Regular,Quarterly,4
24,2014-09-03,2014-06-26,2014-07-30,0.38,"Income, Qualified",Regular,Quarterly,33
25,2014-06-03,2014-04-24,2014-05-07,0.38,"Income, Qualified",Regular,Quarterly,10
26,2014-03-04,2013-12-16,2014-02-05,0.38,"Income, Qualified",Regular,Quarterly,3
27,2013-12-03,2013-10-24,2013-11-06,0.38,"Income, Qualified",Regular,Quarterly,2
28,2013-09-04,2013-06-27,2013-07-31,0.38,"Income, Qualified",Regular,Quarterly,55
29,2013-06-04,2013-04-25,2013-05-08,0.38,"Income, Qualified",Regular,Quarterly,3
30,2013-03-05,2012-12-17,2013-01-30,0.38,"Income, Qualified",Regular,Quarterly,14
31,2012-12-04,2012-10-25,2012-11-07,0.38,"Income, Qualified",Regular,Quarterly,16
32,2012-09-05,2012-06-28,2012-08-01,0.38,"Income, Qualified",Regular,Quarterly,2
33,2012-06-05,2012-04-26,2012-05-09,0.38,"Income, Qualified",Regular,Quarterly,0
34,2012-03-06,2011-12-12,2012-02-01,0.38,"Income, Qualified",Regular,Quarterly,21
35,2011-12-06,2011-10-27,2011-11-08,0.38,"Income, Qualified",Regular,Quarterly,0
36,2011-09-06,2011-06-23,2011-08-03,0.38,"Income, Qualified",Regular,Quarterly,8
37,2011-06-07,2011-04-28,2011-05-11,0.38,"Income, Qualified",Regular,Quarterly,1
38,2011-03-01,2010-12-13,2011-02-02,0.38,"Income, Qualified",Regular,Quarterly,2
39,2010-12-01,2010-10-28,2010-11-04,0.38,"Income, Qualified",Regular,Quarterly,35
40,2010-09-01,2010-06-24,2010-08-04,0.38,"Income, Qualified",Regular,Quarterly,0
41,2010-06-01,2010-04-22,2010-05-05,0.38,"Income, Qualified",Regular,Quarterly,-
42,2010-03-02,2009-12-14,2010-02-03,0.38,"Income, Qualified",Regular,Quarterly,-
43,2009-12-01,2009-10-22,2009-11-04,0.38,"Income, Qualified",Regular,Quarterly,0
44,2009-09-02,2009-06-25,2009-08-05,0.38,"Income, Qualified",Regular,Quarterly,10
45,2009-06-02,2009-04-23,2009-05-06,0.38,"Income, Qualified",Regular,Quarterly,2
46,2009-03-03,2008-12-15,2009-02-04,0.38,"Income, Qualified",Regular,Quarterly,-
47,2008-12-02,2008-10-23,2008-11-05,0.38,"Income, Qualified",Regular,Quarterly,-
48,2008-09-03,2008-06-26,2008-08-06,0.38,"Income, Qualified",Regular,Quarterly,2
49,2008-06-03,2008-04-24,2008-05-07,0.38,"Income, Qualified",Regular,Quarterly,-
50,2008-03-04,2007-12-17,2008-02-06,0.38,"Income, Qualified",Regular,Quarterly,-
51,2007-12-04,2007-10-25,2007-11-07,0.38,"Income, Qualified",Regular,Quarterly,20
52,2007-09-05,2007-06-28,2007-08-08,0.38,"Income, Qualified",Regular,Quarterly,0
53,2007-06-05,2007-04-26,2007-05-09,0.38,"Income, Qualified",Regular,Quarterly,6
54,2007-03-06,2006-12-18,2007-02-07,0.38,"Income, Qualified",Regular,Quarterly,48
55,2006-12-05,2006-10-26,2006-11-08,0.38,"Income, Qualified",Regular,Quarterly,16
56,2006-09-05,2006-06-22,2006-08-09,0.38,"Income, Qualified",Regular,Quarterly,4
57,2006-06-06,2006-04-27,2006-05-10,0.38,"Income, Qualified",Regular,Quarterly,56
58,2006-03-07,2005-12-12,2006-02-08,0.38,"Income, Qualified",Regular,Quarterly,0
59,2005-12-06,2005-10-27,2005-11-08,0.38,"Income, Qualified",Regular,Quarterly,3
60,2005-09-06,2005-06-23,2005-08-10,0.38,"Income, Qualified",Regular,Quarterly,-
61,2005-06-07,2005-04-28,2005-05-11,0.38,"Income, Qualified",Regular,Quarterly,2
62,2005-03-08,2004-12-13,2005-02-09,0.38,"Income, Qualified",Regular,Quarterly,7
63,2004-12-03,2004-10-28,2004-11-09,0.38,"Income, Qualified",Regular,Quarterly,17
64,2004-09-03,2004-06-24,2004-08-11,0.38,"Income, Qualified",Regular,Quarterly,0
65,2004-06-04,2004-04-22,2004-05-12,0.38,"Income, Qualified",Regular,Quarterly,18
66,2004-03-05,2003-12-15,2004-02-11,0.38,"Income, Qualified",Regular,Quarterly,0
67,2003-12-04,2003-10-23,2003-11-12,0.38,"Income, Qualified",Regular,Quarterly,0
68,2003-09-04,2003-06-26,2003-08-13,0.38,"Income, Qualified",Regular,Quarterly,-
69,2003-06-05,2003-04-24,2003-05-14,0.38,"Income, Qualified",Regular,Quarterly,1
70,2003-02-14,2002-12-16,2003-01-15,0.38,"Income, Qualified",Regular,Quarterly,47
71,2002-12-05,2002-10-24,2002-11-13,0.38,Income,Regular,Quarterly,-
72,2002-09-05,2002-06-27,2002-08-14,0.38,Income,Regular,Quarterly,0
73,2002-06-06,2002-04-25,2002-05-15,0.38,Income,Regular,Quarterly,-
74,2002-03-07,2001-12-18,2002-02-13,0.38,Income,Regular,Quarterly,10
75,2001-12-06,2001-10-25,2001-11-14,0.38,Income,Regular,Quarterly,1
76,2001-09-06,2001-06-28,2001-08-15,0.38,Income,Regular,Quarterly,0
77,2001-06-07,2001-04-26,2001-05-16,0.38,Income,Regular,Quarterly,0
78,2001-03-08,2000-12-18,2001-02-14,0.38,Income,Regular,Quarterly,0
79,2000-12-07,2000-10-26,2000-11-15,0.38,Income,Regular,Quarterly,0
80,2000-09-07,2000-06-22,2000-08-16,0.38,Income,Regular,Quarterly,0
81,2000-06-08,2000-04-27,2000-05-09,0.38,Income,Regular,Quarterly,26
82,2000-03-09,1999-12-13,2000-02-16,0.38,Income,Regular,Quarterly,21
83,1999-12-09,1999-10-28,1999-11-09,0.38,Income,Regular,Quarterly,0
84,1999-09-09,1999-06-24,1999-08-04,0.38,Income,Regular,Quarterly,7
