,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-16,2020-10-13,2020-10-22,0.7907,"Income, Qualified",Regular,Quarterly,16
1,2020-08-17,2020-07-14,2020-07-23,0.7907,"Income, Qualified",Regular,Quarterly,0
2,2020-05-15,2020-04-14,2020-04-23,0.7907,"Income, Qualified",Regular,Quarterly,0
3,2020-02-18,2020-01-14,2020-01-23,0.7907,"Income, Qualified",Regular,Quarterly,9
4,2019-11-15,2019-10-08,2019-10-17,0.7907,"Income, Qualified",Regular,Quarterly,2
5,2019-08-15,2019-07-09,2019-07-18,0.7907,"Income, Qualified",Regular,Quarterly,7
6,2019-05-15,2019-04-09,2019-04-17,0.7907,"Income, Qualified",Regular,Quarterly,9
7,2019-02-15,2019-01-08,2019-01-17,0.7907,"Income, Qualified",Regular,Quarterly,1
8,2018-11-15,2018-10-09,2018-10-18,0.7907,"Income, Qualified",Regular,Quarterly,1
9,2018-08-15,2018-07-10,2018-07-19,0.7907,"Income, Qualified",Regular,Quarterly,5
10,2018-05-15,2018-04-10,2018-04-19,0.7907,"Income, Qualified",Regular,Quarterly,55
11,2018-02-15,2018-01-09,2018-01-18,0.7907,"Income, Qualified",Regular,Quarterly,2
12,2017-11-15,2017-10-10,2017-10-19,0.7907,"Income, Qualified",Regular,Quarterly,-
13,2017-08-15,2017-07-11,2017-07-19,0.7907,"Income, Qualified",Regular,Quarterly,4
14,2017-05-15,2017-04-11,2017-04-19,0.7907,"Income, Qualified",Regular,Quarterly,-
15,2017-02-15,2017-01-10,2017-01-18,0.7907,"Income, Qualified",Regular,Quarterly,2
16,2016-11-15,2016-10-11,2016-10-19,0.7907,"Income, Qualified",Regular,Quarterly,14
17,2016-08-15,2016-07-12,2016-07-20,0.7907,"Income, Qualified",Regular,Quarterly,8
18,2016-05-16,2016-04-08,2016-04-14,0.7907,"Income, Qualified",Regular,Quarterly,2
19,2016-02-16,2016-01-12,2016-01-20,0.7907,"Income, Qualified",Regular,Quarterly,2
20,2015-11-16,2015-10-13,2015-10-21,0.7907,"Income, Qualified",Regular,Quarterly,1
21,2015-08-14,2015-07-14,2015-07-22,0.7907,"Income, Qualified",Regular,Quarterly,-
22,2015-05-15,2015-04-17,2015-04-23,0.7907,"Income, Qualified",Regular,Quarterly,-
23,2015-02-17,2015-01-13,2015-01-21,0.7907,"Income, Qualified",Regular,Quarterly,1
24,2014-11-17,2014-10-14,2014-10-22,0.7907,"Income, Qualified",Regular,Quarterly,2
25,2014-08-15,2014-07-08,2014-07-16,0.7907,"Income, Qualified",Regular,Quarterly,18
26,2014-05-15,2014-04-07,2014-04-23,0.7907,"Income, Qualified",Regular,Quarterly,2
27,2014-02-18,2014-01-14,2014-01-22,0.7907,"Income, Qualified",Regular,Quarterly,48
28,2013-11-15,2013-10-08,2013-10-16,0.7907,"Income, Qualified",Regular,Quarterly,0
29,2013-08-15,2013-07-09,2013-07-17,0.7907,"Income, Qualified",Regular,Quarterly,2
30,2013-05-15,2013-04-15,2013-04-24,0.7907,"Income, Qualified",Regular,Quarterly,-
31,2013-02-15,2013-01-08,2013-01-16,0.7907,"Income, Qualified",Regular,Quarterly,2
32,2012-11-15,2012-10-09,2012-10-17,0.7907,"Income, Qualified",Regular,Quarterly,0
33,2012-08-15,2012-07-10,2012-07-18,0.7907,"Income, Qualified",Regular,Quarterly,12
