,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-13,2020-09-09,2020-09-23,1.2,"Income, Qualified",Regular,Quarterly,10
1,2020-07-10,2020-06-05,2020-06-19,1.2,"Income, Qualified",Regular,Quarterly,18
2,2020-04-09,2020-03-05,2020-03-20,1.2,"Income, Qualified",Regular,Quarterly,4
3,2020-01-10,2019-12-05,2019-12-18,1.2,"Income, Qualified",Regular,Quarterly,1
4,2019-10-11,2019-09-11,2019-09-24,1.2,"Income, Qualified",Regular,Quarterly,1
5,2019-07-10,2019-06-07,2019-06-20,1.2,"Income, Qualified",Regular,Quarterly,0
6,2019-04-11,2019-03-07,2019-03-25,1.2,"Income, Qualified",Regular,Quarterly,-
7,2019-01-11,2018-12-06,2018-12-19,1.2,"Income, Qualified",Regular,Quarterly,31
8,2018-10-12,2018-09-12,2018-09-25,1.2,"Income, Qualified",Regular,Quarterly,4
9,2018-07-11,2018-06-08,2018-06-21,1.2,"Income, Qualified",Regular,Quarterly,10
10,2018-04-11,2018-03-08,2018-03-21,1.2,"Income, Qualified",Regular,Quarterly,10
11,2018-01-11,2017-12-07,2017-12-20,1.2,"Income, Qualified",Regular,Quarterly,22
12,2017-10-12,2017-09-13,2017-09-26,1.2,"Income, Qualified",Regular,Quarterly,9
13,2017-07-11,2017-06-09,2017-06-21,1.2,"Income, Qualified",Regular,Quarterly,-
14,2017-04-11,2017-03-09,2017-03-21,1.2,"Income, Qualified",Regular,Quarterly,19
15,2017-01-10,2016-12-07,2016-12-20,1.2,"Income, Qualified",Regular,Quarterly,2
16,2016-10-13,2016-09-14,2016-09-26,1.2,"Income, Qualified",Regular,Quarterly,-
17,2016-07-11,2016-06-09,2016-06-21,1.2,"Income, Qualified",Regular,Quarterly,2
18,2016-04-11,2016-03-10,2016-03-22,1.2,"Income, Qualified",Regular,Quarterly,5
19,2016-01-08,2015-12-09,2015-12-21,1.2,"Income, Qualified",Regular,Quarterly,1
20,2015-10-14,2015-09-15,2015-09-28,1.2,"Income, Qualified",Regular,Quarterly,5
21,2015-07-10,2015-06-11,2015-06-23,1.2,"Income, Qualified",Regular,Quarterly,17
22,2015-04-10,2015-03-11,2015-03-24,1.2,"Income, Qualified",Regular,Quarterly,17
23,2015-01-09,2014-12-10,2014-12-22,1.2,"Income, Qualified",Regular,Quarterly,1
24,2014-10-10,2014-09-10,2014-09-23,1.2,"Income, Qualified",Regular,Quarterly,19
25,2014-07-11,2014-06-11,2014-06-24,1.2,"Income, Qualified",Regular,Quarterly,-
26,2014-04-11,2014-03-12,2014-03-25,1.2,"Income, Qualified",Regular,Quarterly,1
27,2014-01-10,2013-12-11,2013-12-23,1.2,"Income, Qualified",Regular,Quarterly,3
28,2013-10-11,2013-09-11,2013-09-24,1.2,"Income, Qualified",Regular,Quarterly,24
29,2013-07-12,2013-06-12,2013-06-25,1.2,"Income, Qualified",Regular,Quarterly,1
30,2013-04-12,2013-03-13,2013-03-26,1.2,"Income, Qualified",Regular,Quarterly,1
31,2013-01-11,2012-12-12,2012-12-24,1.2,"Income, Qualified",Regular,Quarterly,7
32,2012-10-11,2012-09-12,2012-09-25,1.2,"Income, Qualified",Regular,Quarterly,6
33,2012-07-12,2012-06-13,2012-06-25,1.2,"Income, Qualified",Regular,Quarterly,4
34,2012-04-12,2012-03-14,2012-03-27,1.2,"Income, Qualified",Regular,Quarterly,3
35,2012-01-10,2011-12-07,2011-12-20,1.2,"Income, Qualified",Regular,Quarterly,0
36,2011-10-11,2011-09-14,2011-09-23,1.2,"Income, Qualified",Regular,Quarterly,10
37,2011-07-11,2011-06-08,2011-06-21,1.2,"Income, Qualified",Regular,Quarterly,12
38,2011-04-11,2011-03-09,2011-03-22,1.2,"Income, Qualified",Regular,Quarterly,0
39,2011-01-10,2010-12-08,2010-12-21,1.2,"Income, Qualified",Regular,Quarterly,38
40,2010-10-08,2010-09-10,2010-09-22,1.2,"Income, Qualified",Regular,Quarterly,2
41,2010-07-09,2010-06-09,2010-06-22,1.2,"Income, Qualified",Regular,Quarterly,1
42,2010-04-09,2010-03-11,2010-03-23,1.2,"Income, Qualified",Regular,Quarterly,14
43,2010-01-11,2009-12-09,2009-12-23,1.2,"Income, Qualified",Regular,Quarterly,15
44,2009-10-09,2009-09-15,2009-09-24,1.2,"Income, Qualified",Regular,Quarterly,8
45,2009-07-10,2009-06-10,2009-06-22,1.2,"Income, Qualified",Regular,Quarterly,3
46,2009-04-09,2009-03-12,2009-03-23,1.2,"Income, Qualified",Regular,Quarterly,1
47,2009-01-09,2008-12-16,2008-12-23,1.2,"Income, Qualified",Regular,Quarterly,1
48,2008-10-10,2008-08-29,2008-09-11,1.2,Income,Regular,Quarterly,0
49,2008-07-10,2008-06-18,2008-06-26,1.2,Initial,Regular,Quarterly,7
