,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-23,-,2020-09-28,1.2629,Income Regular,Semi,Annually,30
1,2020-08-10,-,2020-06-19,1.2629,Income Regular,Semi,Annually,11
2,2020-08-10,-,2020-06-19,1.2629,Special Special,Semi,Annually,11
3,2019-11-12,-,2019-09-13,1.2629,Income Regular,Semi,Annually,0
4,2019-11-12,-,2019-09-13,1.2629,Special Special,Semi,Annually,0
5,2019-08-12,-,2019-06-19,1.2629,Income Regular,Semi,Annually,1
6,2019-08-12,-,2019-06-19,1.2629,Special Special,Semi,Annually,1
7,2018-11-13,-,2018-09-12,1.2629,Income Regular,Semi,Annually,0
8,2018-11-13,-,2018-09-12,1.2629,Special Special,Semi,Annually,0
9,2018-08-06,-,2018-06-12,1.2629,Special Special,Semi,Annually,-
10,2018-08-06,-,2018-06-12,1.2629,Income Regular,Semi,Annually,-
11,2017-11-06,-,2017-09-06,1.2629,Income Regular,Semi,Annually,3
12,2017-08-07,-,2017-06-12,1.2629,Income Regular,Semi,Annually,32
13,2016-11-07,-,2016-09-09,1.2629,Income Regular,Semi,Annually,18
14,2016-07-25,-,2016-05-26,1.2629,Income Regular,Semi,Annually,5
15,2015-11-06,-,2015-09-08,1.2629,Income Regular,Semi,Annually,0
16,2015-08-24,-,2015-06-29,1.2629,Income Regular,Semi,Annually,-
17,2014-10-09,-,2014-09-09,1.2629,Income Regular,Semi,Annually,-
18,2014-07-28,-,2014-05-23,1.2629,Income Regular,Semi,Annually,11
19,2013-11-04,-,2013-09-04,1.2629,Income Regular,Semi,Annually,1
20,2013-07-29,-,2013-05-24,1.2629,Income Regular,Semi,Annually,-
21,2012-11-05,-,2012-08-31,1.2629,Income Regular,Semi,Annually,7
22,2012-07-23,-,2012-05-25,1.2629,Income Regular,Semi,Annually,2
23,2011-10-31,-,2011-09-07,1.2629,Income Regular,Semi,Annually,0
24,2011-07-11,-,2011-05-20,1.2629,Income Regular,Semi,Annually,5
25,2010-10-25,-,2010-09-03,1.2629,Income Regular,Semi,Annually,6
26,2010-07-12,-,2010-05-24,1.2629,Income Regular,Semi,Annually,3
27,2009-10-26,-,2009-09-08,1.2629,Income Regular,Semi,Annually,0
28,2009-06-29,-,2009-05-15,1.2629,Income Regular,Semi,Annually,1
29,2008-10-27,-,2008-09-05,1.2629,Income Regular,Semi,Annually,1
30,2008-06-26,-,2008-05-16,1.2629,Income Regular,Semi,Annually,0
31,2007-10-09,-,2007-08-31,1.2629,Income Regular,Semi,Annually,0
32,2007-06-11,-,2007-04-10,1.2629,Income Regular,Semi,Annually,17
33,2006-10-06,-,2006-09-01,1.2629,Income Regular,Semi,Annually,45
34,2006-06-19,-,2006-04-21,1.2629,Income Regular,Semi,Annually,10
35,2005-10-11,-,2005-09-02,1.2629,Income Regular,Semi,Annually,19
36,2005-06-20,-,2005-04-20,1.2629,Income Regular,Semi,Annually,13
37,2004-10-18,-,2004-09-07,1.2629,Income Regular,Semi,Annually,7
38,2004-06-14,-,2004-04-13,1.2629,Income Regular,Semi,Annually,101
39,2003-10-20,-,2003-09-05,1.2629,"Income, Qualified Regular",Regular,Annually,23
40,2003-06-23,-,2003-04-22,1.2629,"Income, Qualified Regular",Regular,Annually,4
41,2002-10-18,-,2002-09-09,1.2629,Income Regular,Semi,Annually,1
42,2002-07-01,-,2002-05-01,1.2629,Income Regular,Semi,Annually,14
43,2001-10-18,-,2001-09-10,1.2629,Income Regular,Semi,Annually,131
44,2001-07-03,-,2001-05-03,1.2629,Income Regular,Semi,Annually,1
