,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-17,2020-10-14,2020-12-02,0.65,"Income, Qualified",Regular,Quarterly,2
1,2020-09-24,2020-07-15,2020-09-02,0.65,"Income, Qualified",Regular,Quarterly,0
2,2020-06-25,2020-04-21,2020-06-03,0.65,"Income, Qualified",Regular,Quarterly,1
3,2020-03-26,2020-01-17,2020-03-04,0.65,"Income, Qualified",Regular,Quarterly,0
4,2019-12-19,2019-10-15,2019-12-04,0.65,"Income, Qualified",Regular,Quarterly,0
5,2019-09-26,2019-07-24,2019-09-11,0.65,"Income, Qualified",Regular,Quarterly,0
6,2019-06-27,2019-05-07,2019-06-05,0.65,"Income, Qualified",Regular,Quarterly,2
7,2019-03-28,2019-01-14,2019-03-06,0.65,"Income, Qualified",Regular,Quarterly,0
8,2018-12-20,2018-10-23,2018-12-06,0.65,"Income, Qualified",Regular,Quarterly,5
9,2018-09-26,2018-07-12,2018-09-04,0.65,"Income, Qualified",Regular,Quarterly,0
10,2018-06-20,2018-04-17,2018-05-29,0.65,"Income, Qualified",Regular,Quarterly,7
11,2018-03-21,2018-01-12,2018-02-27,0.65,"Income, Qualified",Regular,Quarterly,-
12,2017-12-15,2017-10-10,2017-11-28,0.65,"Income, Qualified",Regular,Quarterly,0
13,2017-09-20,2017-07-13,2017-08-28,0.65,"Income, Qualified",Regular,Quarterly,2
14,2017-06-21,2017-04-12,2017-05-26,0.65,"Income, Qualified",Regular,Quarterly,4
15,2017-03-22,2017-01-12,2017-02-27,0.65,"Income, Qualified",Regular,Quarterly,7
16,2016-12-16,2016-10-06,2016-11-28,0.65,"Income, Qualified",Regular,Quarterly,7
17,2016-09-21,2016-07-12,2016-08-29,0.65,"Income, Qualified",Regular,Quarterly,0
18,2016-06-22,2016-04-08,2016-05-27,0.65,"Income, Qualified",Regular,Quarterly,38
19,2016-03-23,2016-01-12,2016-02-29,0.65,"Income, Qualified",Regular,Quarterly,1
20,2015-12-18,2015-10-09,2015-11-27,0.65,"Income, Qualified",Regular,Quarterly,2
21,2015-09-23,2015-07-07,2015-08-31,0.65,"Income, Qualified",Regular,Quarterly,28
22,2015-06-24,2015-04-08,2015-06-01,0.65,"Income, Qualified",Regular,Quarterly,2
23,2015-03-25,2015-01-14,2015-03-02,0.65,"Income, Qualified",Regular,Quarterly,0
24,2014-12-18,2014-10-16,2014-11-26,0.65,"Income, Qualified",Regular,Quarterly,2
25,2014-09-24,2014-07-18,2014-08-29,0.65,"Income, Qualified",Regular,Quarterly,14
26,2014-06-25,2014-03-04,2014-06-02,0.65,"Income, Qualified",Regular,Quarterly,0
27,2014-03-26,2014-01-22,2014-03-03,0.65,"Income, Qualified",Regular,Quarterly,1
28,2013-12-19,2013-10-24,2013-11-27,0.65,"Income, Qualified",Regular,Quarterly,7
29,2013-09-25,2013-07-17,2013-08-30,0.65,"Income, Qualified",Regular,Quarterly,2
30,2013-06-26,2013-04-09,2013-06-03,0.65,"Income, Qualified",Regular,Quarterly,1
31,2013-03-27,2013-01-15,2013-03-06,0.65,"Income, Qualified",Regular,Quarterly,-
32,2012-12-21,2012-10-17,2012-12-05,0.65,"Income, Qualified",Regular,Quarterly,0
33,2012-09-26,2012-07-06,2012-09-05,0.65,"Income, Qualified",Regular,Quarterly,1
34,2012-06-20,2012-04-03,2012-05-30,0.65,"Income, Qualified",Regular,Quarterly,5
35,2012-03-23,2012-01-10,2012-02-29,0.65,"Income, Qualified",Regular,Quarterly,5
36,2011-12-21,2011-10-11,2011-11-21,0.65,"Income, Qualified",Regular,Quarterly,32
37,2011-09-23,2011-07-13,2011-08-24,0.65,"Income, Qualified",Regular,Quarterly,2
38,2011-06-24,2011-04-07,2011-05-25,0.65,"Income, Qualified",Regular,Quarterly,0
39,2011-03-25,2011-01-14,2011-02-23,0.65,"Income, Qualified",Regular,Quarterly,2
40,2010-12-22,2010-10-04,2010-11-22,0.65,"Income, Qualified",Regular,Quarterly,2
41,2010-09-24,2010-07-08,2010-08-25,0.65,"Income, Qualified",Regular,Quarterly,0
42,2010-06-25,2010-04-05,2010-05-26,0.65,"Income, Qualified",Regular,Quarterly,5
43,2010-03-26,2010-01-07,2010-02-24,0.65,"Income, Qualified",Regular,Quarterly,5
44,2009-12-23,2009-10-02,2009-11-23,0.65,"Income, Qualified",Regular,Quarterly,0
45,2009-09-25,2009-07-08,2009-08-26,0.65,"Income, Qualified",Regular,Quarterly,0
46,2009-06-26,2009-04-08,2009-05-27,0.65,"Income, Qualified",Regular,Quarterly,2
47,2009-03-27,2009-01-16,2009-02-25,0.65,"Income, Qualified",Regular,Quarterly,5
48,2009-01-07,2008-10-22,2008-12-09,0.65,"Income, Qualified",Regular,Quarterly,1
49,2008-09-26,2008-07-16,2008-08-27,0.65,"Income, Qualified",Regular,Quarterly,0
50,2008-06-27,2008-04-10,2008-05-28,0.65,"Income, Qualified",Regular,Quarterly,1
51,2008-03-28,2008-01-16,2008-02-27,0.65,"Income, Qualified",Regular,Quarterly,0
52,2008-01-04,2007-10-11,2007-12-05,0.65,"Income, Qualified",Regular,Quarterly,0
53,2007-09-28,2007-07-13,2007-08-29,0.65,"Income, Qualified",Regular,Quarterly,0
54,2007-06-29,2007-04-03,2007-05-30,0.65,"Income, Qualified",Regular,Quarterly,31
55,2007-03-30,2007-01-04,2007-02-28,0.65,"Income, Qualified",Regular,Quarterly,0
56,2007-01-04,2006-10-05,2006-12-05,0.65,"Income, Qualified",Regular,Quarterly,0
57,2006-09-22,2006-07-07,2006-08-23,0.65,"Income, Qualified",Regular,Quarterly,4
58,2006-06-23,2006-04-07,2006-05-24,0.65,"Income, Qualified",Regular,Quarterly,0
59,2006-03-24,2006-01-12,2006-02-22,0.65,Income,Regular,Quarterly,0
60,2006-01-04,2005-10-10,2005-12-05,0.65,"Income, Qualified",Regular,Quarterly,5
61,2005-09-23,2005-07-07,2005-08-24,0.65,"Income, Qualified",Regular,Quarterly,9
62,2005-06-24,2005-04-19,2005-05-25,0.65,"Income, Qualified",Regular,Quarterly,1
63,2005-03-25,2005-01-26,2005-02-23,0.65,"Income, Qualified",Regular,Quarterly,1
64,2005-01-05,2004-11-10,2004-12-06,0.65,"Income, Qualified",Regular,Quarterly,2
65,2004-09-24,2004-07-13,2004-08-25,0.65,"Income, Qualified",Regular,Quarterly,0
66,2004-06-25,2004-03-02,2004-05-26,0.65,"Income, Qualified",Regular,Quarterly,2
67,2004-03-26,2003-12-09,2004-02-25,0.65,"Income, Qualified",Regular,Quarterly,0
68,2003-12-26,2003-10-08,2003-11-25,0.65,"Income, Qualified",Regular,Quarterly,0
69,2003-09-26,2003-07-16,2003-08-27,0.65,"Income, Qualified",Regular,Quarterly,0
70,2003-06-27,2003-05-01,2003-05-28,0.65,"Income, Qualified",Regular,Quarterly,1
71,2003-03-31,2003-02-11,2003-03-12,0.65,"Income, Qualified",Regular,Quarterly,0
