,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-16,-,2020-11-12,0.333,Income,Regular,Quarterly,2
1,2020-09-21,-,2020-08-13,0.333,Income,Regular,Quarterly,-
2,2020-06-22,-,2020-05-14,0.333,Income,Regular,Quarterly,2
3,2020-03-23,-,2020-02-13,0.333,Income,Regular,Quarterly,-
4,2019-12-18,-,2019-11-14,0.333,Income,Regular,Quarterly,37
5,2019-09-23,-,2019-08-15,0.333,Income,Regular,Quarterly,18
6,2019-06-24,-,2019-05-16,0.333,Income,Regular,Quarterly,25
7,2019-03-25,-,2019-02-14,0.333,Income,Regular,Quarterly,3
8,2018-12-19,-,2018-11-15,0.333,Income,Regular,Quarterly,0
9,2018-09-17,-,2018-08-09,0.333,Income,Regular,Quarterly,31
10,2018-06-18,-,2018-05-10,0.333,Income,Regular,Quarterly,1
11,2018-03-26,-,2018-02-15,0.333,Income,Regular,Quarterly,35
12,2017-12-20,-,2017-11-16,0.333,Income,Regular,Quarterly,8
13,2017-09-18,-,2017-08-09,0.333,Income,Regular,Quarterly,25
14,2017-06-26,-,2017-05-17,0.333,Income,Regular,Quarterly,53
15,2017-03-27,-,2017-02-15,0.333,Income,Regular,Quarterly,58
16,2016-12-16,-,2016-11-08,0.333,Income,Regular,Quarterly,17
17,2016-09-19,-,2016-08-10,0.333,Income,Regular,Quarterly,4
18,2016-06-27,-,2016-05-18,0.333,Income,Regular,Quarterly,14
19,2016-03-29,-,2016-02-17,0.333,Income,Regular,Quarterly,0
20,2015-12-18,-,2015-11-10,0.333,Income,Regular,Quarterly,-
21,2015-09-21,-,2015-08-12,0.333,Income,Regular,Quarterly,-
22,2015-06-22,-,2015-05-13,0.333,Income,Regular,Quarterly,-
23,2015-03-20,-,2015-02-11,0.333,Income,Regular,Quarterly,2
24,2014-12-22,-,2014-11-12,0.333,Income,Regular,Quarterly,7
25,2014-09-25,-,2014-08-13,0.333,Income,Regular,Quarterly,3
26,2014-06-26,-,2014-05-14,0.333,Income,Regular,Quarterly,21
27,2014-03-27,-,2014-02-12,0.333,Income,Regular,Quarterly,1
28,2013-12-23,-,2013-11-13,0.333,Income,Regular,Quarterly,2
29,2013-09-26,-,2013-08-14,0.333,Income,Regular,Quarterly,9
30,2013-06-27,-,2013-05-15,0.333,Income,Regular,Quarterly,-
31,2013-03-28,-,2013-02-13,0.333,Income,Regular,Quarterly,54
32,2012-12-20,-,2012-11-14,0.333,Income,Regular,Quarterly,20
33,2012-09-20,-,2012-08-08,0.333,Income,Regular,Quarterly,22
34,2012-06-21,-,2012-05-09,0.333,Income,Regular,Quarterly,39
35,2012-03-22,-,2012-02-15,0.333,Income,Regular,Quarterly,1
36,2011-12-16,-,2011-11-02,0.333,Income,Regular,Quarterly,1
37,2011-09-19,-,2011-08-03,0.333,Income,Regular,Quarterly,57
38,2011-06-27,-,2011-05-11,0.333,Income,Regular,Quarterly,51
39,2011-03-25,-,2011-02-09,0.333,Income,Regular,Quarterly,6
40,2010-12-17,-,2010-11-03,0.333,Income,Regular,Quarterly,1
41,2010-09-08,-,2010-08-04,0.333,Income,Regular,Quarterly,31
42,2010-06-09,-,2010-05-05,0.333,Income,Regular,Quarterly,-
43,2010-03-17,-,2010-02-10,0.333,Income,Regular,Quarterly,1
44,2009-12-09,-,2009-11-04,0.333,Income,Regular,Quarterly,1
45,2009-09-09,-,2009-08-05,0.333,Income,Regular,Quarterly,12
46,2009-06-10,-,2009-05-06,0.333,Income,Regular,Quarterly,0
47,2009-03-11,-,2009-02-04,0.333,Income,Regular,Quarterly,2
48,2008-12-10,-,2008-11-05,0.333,Income,Regular,Quarterly,-
49,2008-09-10,-,2008-08-06,0.333,Income,Regular,Quarterly,0
50,2008-06-11,-,2008-05-14,0.333,Income,Regular,Quarterly,1
51,2008-03-12,-,2008-02-06,0.333,Income,Regular,Quarterly,4
52,2007-12-12,-,2007-10-31,0.333,Income,Regular,Quarterly,0
53,2007-09-12,-,2007-08-01,0.333,Income,Regular,Quarterly,24
54,2007-06-13,-,2007-05-09,0.333,Income,Regular,Quarterly,6
55,2007-03-14,-,2007-02-07,0.333,Income,Regular,Quarterly,47
56,2006-12-13,-,2006-11-01,0.333,Income,Regular,Quarterly,3
57,2006-09-13,-,2006-08-02,0.333,Income,Regular,Quarterly,2
58,2006-06-14,-,2006-05-10,0.333,Income,Regular,Quarterly,55
59,2006-03-15,-,2006-02-08,0.333,Income,Regular,Quarterly,39
60,2005-12-15,-,2005-11-02,0.333,"Income, Qualified",Regular,Quarterly,0
61,2005-09-15,-,2005-08-03,0.333,"Income, Qualified",Regular,Quarterly,0
