,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-04-15,-,2021-03-04,3.09,Income Regular,Semi,Annually,-
1,2020-09-17,-,2020-08-06,3.09,Income Regular,Semi,Annually,28
2,2020-04-16,-,2020-03-06,3.09,Income Regular,Semi,Annually,51
3,2019-09-19,-,2019-08-08,3.09,Income Regular,Semi,Annually,19
4,2019-09-19,-,2019-08-08,3.09,Special Special,Semi,Annually,19
5,2019-04-18,-,2019-03-07,3.09,Income Regular,Semi,Annually,17
6,2019-04-18,-,2019-03-07,3.09,Special Special,Semi,Annually,17
7,2018-09-20,-,2018-08-09,3.09,Income Regular,Semi,Annually,33
8,2018-04-12,-,2018-03-01,3.09,Income Regular,Semi,Annually,33
9,2017-09-21,-,2017-08-09,3.09,Income Regular,Semi,Annually,10
10,2017-04-06,-,2017-02-22,3.09,Income Regular,Semi,Annually,112
11,2016-09-22,-,2016-08-10,3.09,Income Regular,Semi,Annually,35
12,2016-04-07,-,2016-02-24,3.09,Income Regular,Semi,Annually,5
13,2015-09-10,-,2015-08-12,3.09,Income Regular,Semi,Annually,-
14,2015-04-09,-,2015-03-04,3.09,Income Regular,Semi,Annually,-
15,2014-09-11,-,2014-08-13,3.09,Income Regular,Semi,Annually,-
16,2014-04-10,-,2014-03-05,3.09,Income Regular,Semi,Annually,24
17,2013-09-12,-,2013-08-14,3.09,Income Regular,Semi,Annually,19
18,2013-04-11,-,2013-03-06,3.09,Income Regular,Semi,Annually,1
19,2012-09-13,-,2012-08-15,3.09,Income Regular,Semi,Annually,21
20,2012-04-12,-,2012-02-29,3.09,Income Regular,Semi,Annually,-
21,2011-09-09,-,2011-08-10,3.09,Income Regular,Semi,Annually,2
22,2011-03-31,-,2011-03-02,3.09,Income Regular,Semi,Annually,0
23,2010-09-10,-,2010-08-11,3.09,Income Regular,Semi,Annually,-
24,2010-04-01,-,2010-02-24,3.09,Income Regular,Semi,Annually,-
25,2009-04-09,-,2009-02-18,3.09,Income Regular,Semi,Annually,-
26,2008-10-03,-,2008-09-03,3.09,Income Regular,Semi,Annually,-
27,2008-04-14,-,2008-02-20,3.09,Income Regular,Semi,Annually,-
28,2007-09-07,-,2007-08-08,3.09,Income Regular,Semi,Annually,-
29,2007-04-16,-,2007-03-07,3.09,Income Regular,Semi,Annually,-
30,2006-09-08,-,2006-08-09,3.09,Income Regular,Semi,Annually,-
31,2006-04-07,-,2006-02-22,3.09,Income Regular,Semi,Annually,-
32,2006-04-07,-,2006-02-22,3.09,Special Special,Semi,Annually,-
33,2005-09-09,-,2005-08-10,3.09,"Income, Qualified Regular",Regular,Annually,-
34,2005-04-11,-,2005-02-23,3.09,"Income, Qualified Regular",Regular,Annually,-
35,2004-09-13,-,2004-08-11,3.09,Income Regular,Semi,Annually,-
36,2004-04-07,-,2004-03-10,3.09,Income Regular,Semi,Annually,-
37,2003-09-15,-,2003-08-13,3.09,"Income, Qualified Regular",Regular,Annually,-
38,2003-04-07,-,2003-03-05,3.09,"Income, Qualified Regular",Regular,Annually,-
39,2002-09-16,-,2002-08-14,3.09,Income Regular,Semi,Annually,-
40,2002-04-08,-,2002-03-06,3.09,Income Regular,Semi,Annually,-
41,2001-09-17,-,2001-08-15,3.09,Income Regular,Semi,Annually,-
42,2001-04-09,-,-,3.09,Income Regular,Semi,Annually,-
43,1999-04-08,-,1999-03-11,3.09,Income,Unknown,-,-
44,1998-04-22,-,1998-03-18,3.09,Income,Unknown,-,-
