,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-24,2020-08-26,2020-10-23,0.8205,Income,Regular,Quarterly,10
1,2020-08-24,2020-05-27,2020-07-24,0.8205,Income,Regular,Quarterly,9
2,2020-05-22,2020-02-21,2020-04-22,0.8205,Income,Regular,Quarterly,3
3,2020-02-24,2019-12-03,2020-01-24,0.8205,Income,Regular,Quarterly,20
4,2019-11-22,2019-08-20,2019-10-23,0.8205,Income,Regular,Quarterly,9
5,2019-08-23,2019-05-22,2019-07-24,0.8205,Income,Regular,Quarterly,41
6,2019-05-24,2019-02-21,2019-04-24,0.8205,Income,Regular,Quarterly,50
7,2019-02-22,2018-11-28,2019-01-23,0.8205,Income,Regular,Quarterly,3
8,2018-11-23,2018-08-22,2018-10-24,0.8205,Income,Regular,Quarterly,-
9,2018-08-24,2018-05-24,2018-07-25,0.8205,Income,Regular,Quarterly,3
10,2018-05-24,2018-02-23,2018-04-24,0.8205,Income,Regular,Quarterly,3
11,2018-02-23,2017-11-29,2018-01-24,0.8205,Income,Regular,Quarterly,-
12,2017-11-24,2017-08-23,2017-10-25,0.8205,Income,Regular,Quarterly,41
13,2017-08-24,2017-05-25,2017-07-24,0.8205,Income,Regular,Quarterly,37
14,2017-05-24,2017-02-24,2017-04-21,0.8205,Income,Regular,Quarterly,1
15,2017-02-24,2016-11-30,2017-01-24,0.8205,Income,Regular,Quarterly,0
16,2016-11-24,2016-08-24,2016-10-24,0.8205,Income,Regular,Quarterly,13
17,2016-08-24,2016-05-26,2016-07-22,0.8205,Income,Regular,Quarterly,14
18,2016-05-24,2016-02-24,2016-04-21,0.8205,Income,Regular,Quarterly,33
19,2016-02-24,2015-12-02,2016-01-22,0.8205,Income,Regular,Quarterly,0
