,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-06-02,-,2020-05-21,1.7337,Income,Regular,Annually,3
1,2019-05-28,-,2019-05-16,1.7337,Income,Regular,Annually,0
2,2018-05-29,-,2018-05-18,1.7337,Income,Regular,Annually,11
3,2017-05-22,-,2017-05-11,1.7337,Income,Regular,Annually,2
4,2016-05-20,-,2016-05-10,1.7337,Income,Regular,Annually,10
5,2015-05-29,-,2015-05-18,1.7337,Income,Regular,Annually,113
6,2014-05-29,-,2014-05-22,1.7337,Income,Regular,Annually,3
7,2013-06-12,-,2013-05-31,1.7337,Income,Regular,Annually,5
8,2012-06-01,-,2012-05-21,1.7337,Special,Special,Annually,0
9,2012-06-01,-,2012-05-21,1.7337,Income,Regular,Annually,0
10,2011-06-03,-,2011-05-23,1.7337,Income,Regular,Annually,6
11,2010-06-16,-,2010-06-04,1.7337,Income,Regular,Annually,6
12,2009-05-27,-,2009-05-15,1.7337,Income,Regular,Annually,1
13,2008-06-11,-,2008-05-30,1.7337,Income,Regular,Annually,34
14,2007-05-18,-,2007-05-08,1.7337,Income,Regular,Annually,18
15,2006-05-18,-,2006-05-05,1.7337,Income,Regular,Annually,0
16,2005-05-20,-,2005-05-10,1.7337,"Income, Qualified",Regular,Annually,4
17,2004-05-17,-,2004-05-04,1.7337,Income,Regular,Annually,0
18,2003-05-22,-,2003-05-07,1.7337,"Income, Qualified",Regular,Annually,16
19,2002-05-16,-,2002-05-01,1.7337,Income,Regular,Annually,-
20,2001-05-14,-,2001-05-01,1.7337,Income,Regular,Annually,0
