,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-03-05,2021-01-13,2021-02-17,0.45,"Income, Qualified",Regular,Quarterly,-
1,2020-11-27,2020-09-30,2020-11-10,0.45,"Income, Qualified",Regular,Quarterly,4
2,2020-08-21,2020-06-24,2020-08-06,0.45,"Income, Qualified",Regular,Quarterly,1
3,2020-05-22,2020-03-17,2020-05-07,0.45,"Income, Qualified",Regular,Quarterly,0
4,2020-02-21,2019-11-13,2020-02-05,0.45,"Income, Qualified",Regular,Quarterly,5
5,2019-11-29,2019-09-11,2019-11-12,0.45,"Income, Qualified",Regular,Quarterly,0
6,2019-08-23,2019-06-26,2019-08-07,0.45,"Income, Qualified",Regular,Quarterly,1
7,2019-05-24,2019-03-19,2019-05-08,0.45,"Income, Qualified",Regular,Quarterly,0
8,2019-02-22,2018-11-14,2019-02-06,0.45,"Income, Qualified",Regular,Quarterly,0
9,2018-11-30,2018-09-12,2018-11-14,0.45,"Income, Qualified",Regular,Quarterly,1
10,2018-08-24,2018-06-19,2018-08-08,0.45,"Income, Qualified",Regular,Quarterly,4
11,2018-05-25,2018-03-20,2018-05-09,0.45,"Income, Qualified",Regular,Quarterly,11
12,2018-02-23,2017-11-15,2018-02-07,0.45,"Income, Qualified",Regular,Quarterly,4
13,2017-12-01,2017-09-13,2017-11-15,0.45,"Income, Qualified",Regular,Quarterly,1
14,2017-08-25,2017-06-28,2017-08-08,0.45,"Income, Qualified",Regular,Quarterly,46
15,2017-05-26,2017-03-21,2017-05-09,0.45,"Income, Qualified",Regular,Quarterly,0
16,2017-02-24,2017-01-26,2017-02-07,0.45,"Income, Qualified",Regular,Quarterly,2
17,2016-12-02,2016-11-03,2016-11-15,0.45,"Income, Qualified",Regular,Quarterly,0
18,2016-08-19,2016-05-11,2016-08-02,0.45,"Income, Qualified",Regular,Quarterly,-
19,2016-05-20,2016-04-21,2016-05-03,0.45,"Income, Qualified",Regular,Quarterly,5
20,2016-02-19,2015-11-10,2016-02-02,0.45,"Income, Qualified",Regular,Quarterly,-
21,2015-11-27,2015-10-29,2015-11-09,0.45,"Income, Qualified",Regular,Quarterly,1
22,2015-08-21,2015-07-23,2015-08-04,0.45,"Income, Qualified",Regular,Quarterly,0
23,2015-05-22,2015-03-17,2015-05-05,0.45,"Income, Qualified",Regular,Quarterly,7
24,2015-02-20,2015-01-22,2015-02-03,0.45,"Income, Qualified",Regular,Quarterly,0
25,2014-11-28,2014-09-10,2014-11-10,0.45,"Income, Qualified",Regular,Quarterly,2
26,2014-08-22,2014-06-25,2014-08-05,0.45,"Income, Qualified",Regular,Quarterly,3
27,2014-05-23,2014-04-24,2014-05-06,0.45,"Income, Qualified",Regular,Quarterly,4
28,2014-02-21,2014-01-23,2014-02-04,0.45,"Income, Qualified",Regular,Quarterly,0
29,2013-11-29,2013-10-30,2013-11-12,0.45,"Income, Qualified",Regular,Quarterly,1
30,2013-08-23,2013-07-25,2013-08-06,0.45,"Income, Qualified",Regular,Quarterly,25
31,2013-05-24,2013-03-19,2013-05-07,0.45,"Income, Qualified",Regular,Quarterly,3
32,2013-02-22,2012-11-13,2013-02-05,0.45,"Income, Qualified",Regular,Quarterly,0
33,2012-11-30,2012-11-01,2012-11-13,0.45,"Income, Qualified",Regular,Quarterly,8
34,2012-08-24,2012-07-26,2012-08-06,0.45,"Income, Qualified",Regular,Quarterly,1
35,2012-05-25,2012-04-26,2012-05-07,0.45,"Income, Qualified",Regular,Quarterly,16
36,2012-02-24,2011-11-08,2012-02-06,0.45,"Income, Qualified",Regular,Quarterly,1
37,2011-12-02,2011-11-03,2011-11-15,0.45,"Income, Qualified",Regular,Quarterly,0
38,2011-08-26,2011-07-28,2011-08-08,0.45,"Income, Qualified",Regular,Quarterly,3
39,2011-05-27,2011-04-27,2011-05-09,0.45,"Income, Qualified",Regular,Quarterly,7
40,2011-02-25,2011-01-26,2011-02-07,0.45,"Income, Qualified",Regular,Quarterly,1
41,2010-12-03,2010-11-04,2010-11-16,0.45,"Income, Qualified",Regular,Quarterly,4
42,2010-08-20,2010-07-21,2010-08-02,0.45,"Income, Qualified",Regular,Quarterly,2
43,2010-04-23,2010-03-24,2010-04-05,0.45,"Income, Qualified",Regular,Quarterly,0
