,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-27,2020-10-22,2020-11-12,0.18,"Income, Qualified",Regular,Quarterly,2
1,2020-08-28,2020-07-23,2020-08-06,0.18,"Income, Qualified",Regular,Quarterly,3
2,2020-05-22,2020-04-22,2020-05-07,0.18,"Income, Qualified",Regular,Quarterly,0
3,2020-02-28,2020-01-29,2020-02-13,0.18,"Income, Qualified",Regular,Quarterly,5
4,2019-11-22,2019-10-23,2019-11-07,0.18,"Income, Qualified",Regular,Quarterly,0
5,2019-08-23,2019-07-24,2019-08-08,0.18,"Income, Qualified",Regular,Quarterly,3
6,2019-05-29,2019-04-30,2019-05-14,0.18,"Income, Qualified",Regular,Quarterly,0
7,2019-02-28,2019-01-30,2019-02-13,0.18,"Income, Qualified",Regular,Quarterly,0
8,2018-11-23,2018-10-25,2018-11-08,0.18,"Income, Qualified",Regular,Quarterly,0
9,2018-08-24,2018-07-25,2018-08-09,0.18,"Income, Qualified",Regular,Quarterly,0
10,2018-05-25,2018-04-19,2018-05-10,0.18,"Income, Qualified",Regular,Quarterly,0
11,2018-02-23,2018-01-25,2018-02-08,0.18,"Income, Qualified",Regular,Quarterly,4
12,2017-11-24,2017-10-19,2017-11-09,0.18,"Income, Qualified",Regular,Quarterly,2
13,2017-08-25,2017-07-20,2017-08-09,0.18,"Income, Qualified",Regular,Quarterly,34
14,2017-05-26,2017-04-20,2017-05-10,0.18,"Income, Qualified",Regular,Quarterly,3
15,2017-02-24,2017-01-26,2017-02-08,0.18,"Income, Qualified",Regular,Quarterly,1
16,2016-11-28,2016-10-20,2016-11-09,0.18,"Income, Qualified",Regular,Quarterly,0
17,2016-08-26,2016-07-21,2016-08-10,0.18,"Income, Qualified",Regular,Quarterly,3
18,2016-05-27,2016-04-21,2016-05-11,0.18,"Income, Qualified",Regular,Quarterly,5
19,2016-02-26,2016-01-28,2016-02-10,0.18,"Income, Qualified",Regular,Quarterly,4
20,2015-11-20,2015-10-22,2015-11-04,0.18,"Income, Qualified",Regular,Quarterly,1
21,2015-08-21,2015-07-23,2015-08-05,0.18,"Income, Qualified",Regular,Quarterly,0
22,2015-05-22,2015-04-22,2015-05-06,0.18,"Income, Qualified",Regular,Quarterly,2
23,2015-02-20,2015-01-29,2015-02-05,0.18,"Income, Qualified",Regular,Quarterly,0
24,2014-11-21,2014-10-23,2014-11-05,0.18,"Income, Qualified",Regular,Quarterly,0
25,2014-08-22,2014-07-24,2014-08-06,0.18,"Income, Qualified",Regular,Quarterly,0
26,2014-05-23,2014-04-23,2014-05-07,0.18,"Income, Qualified",Regular,Quarterly,0
27,2014-02-21,2014-01-30,2014-02-05,0.18,"Income, Qualified",Regular,Quarterly,1
28,2013-11-22,2013-10-24,2013-11-06,0.18,"Income, Qualified",Regular,Quarterly,2
29,2013-08-23,2013-07-25,2013-08-07,0.18,"Income, Qualified",Regular,Quarterly,0
30,2013-05-24,2013-04-24,2013-05-08,0.18,"Income, Qualified",Regular,Quarterly,1
31,2013-02-22,2013-01-24,2013-02-06,0.18,"Income, Qualified",Regular,Quarterly,0
32,2012-11-23,2012-10-25,2012-11-07,0.18,"Income, Qualified",Regular,Quarterly,29
33,2012-08-24,2012-07-26,2012-08-08,0.18,"Income, Qualified",Regular,Quarterly,6
34,2012-05-25,2012-04-25,2012-05-09,0.18,"Income, Qualified",Regular,Quarterly,-
35,2012-02-24,2012-01-26,2012-02-08,0.18,"Income, Qualified",Regular,Quarterly,0
36,2011-11-25,2011-10-27,2011-11-08,0.18,"Income, Qualified",Regular,Quarterly,0
