,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
1,2020-06-12,-,-,0.2391,Income Regular,Semi,Annually,-
2,2019-12-10,-,-,0.2391,Income Regular,Semi,Annually,-
3,2019-06-05,-,-,0.2391,Income Regular,Semi,Annually,-
4,2018-12-10,-,-,0.2391,Income Regular,Semi,Annually,-
5,2018-06-06,-,-,0.2391,Income Regular,Semi,Annually,-
6,2017-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
7,2017-06-09,-,-,0.2391,Income Regular,Semi,Annually,-
8,2016-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
9,2016-06-07,-,-,0.2391,Income Regular,Semi,Annually,-
10,2015-12-07,-,-,0.2391,Income Regular,Semi,Annually,-
11,2014-06-10,-,-,0.2391,Income Regular,Semi,Annually,-
12,2013-12-09,-,-,0.2391,Income Regular,Semi,Annually,-
13,2013-06-11,-,-,0.2391,Income Regular,Semi,Annually,-
14,2012-12-10,-,-,0.2391,Income Regular,Semi,Annually,-
15,2012-06-13,-,-,0.2391,Income Regular,Semi,Annually,-
16,2011-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
17,2011-06-16,-,-,0.2391,Income Regular,Semi,Annually,-
18,2010-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
19,2010-06-09,-,-,0.2391,Income Regular,Semi,Annually,-
20,2009-12-08,-,-,0.2391,Income Regular,Semi,Annually,-
21,2009-06-09,-,-,0.2391,Income Regular,Semi,Annually,-
22,2008-12-08,-,2008-09-25,0.2391,Income Regular,Semi,Annually,0
23,2008-12-08,-,2008-09-25,0.2391,Special Special,Semi,Annually,0
24,2008-06-09,-,-,0.2391,Income Regular,Semi,Annually,-
25,2007-12-10,-,2007-09-26,0.2391,Income Regular,Semi,Annually,0
26,2007-06-08,-,2007-03-28,0.2391,Income Regular,Semi,Annually,8
27,2006-12-08,-,2006-09-27,0.2391,Income Regular,Semi,Annually,0
28,2006-06-08,-,2006-03-28,0.2391,Income Regular,Semi,Annually,1
29,2005-12-08,-,2005-09-27,0.2391,"Income, Qualified Regular",Regular,Annually,0
30,2005-06-08,-,2005-03-28,0.2391,"Income, Qualified Regular",Regular,Annually,-
31,2004-12-08,-,2004-09-27,0.2391,"Income, Qualified Regular",Regular,Annually,1
32,2004-06-08,-,2004-03-26,0.2391,"Income, Qualified Regular",Regular,Annually,0
33,2003-06-30,-,2003-03-26,0.2391,"Income, Qualified",Unknown,-,-
34,2002-06-28,-,2002-03-26,0.2391,Income,Unknown,-,-
35,2001-06-29,-,2001-03-27,0.2391,Income,Unknown,-,-
36,2000-12-08,-,2000-09-26,0.2391,Income,Unknown,-,-
37,2000-07-07,-,2000-03-28,0.2391,Income Regular,Semi,Annually,0
38,1999-12-06,-,1999-09-27,0.2391,Income Regular,Semi,Annually,0
39,1999-07-08,-,1999-03-26,0.2391,Income Regular,Semi,Annually,8
40,1998-12-08,-,1998-09-25,0.2391,Income Regular,Semi,Annually,0
41,1998-07-06,-,1998-03-26,0.2391,Income Regular,Semi,Annually,0
42,1997-12-08,-,1997-09-25,0.2391,Income Regular,Semi,Annually,0
43,1997-07-08,-,1997-03-25,0.2391,Income Regular,Semi,Annually,1
44,1996-07-10,-,1996-03-26,0.2391,Income,Unknown,-,-
45,1995-07-11,-,1995-03-24,0.2391,Income,Unknown,-,-
