,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-05-26,-,2020-04-30,1.6994,Income,Regular,Annually,3
1,2019-05-31,-,2019-05-07,1.6994,Income,Regular,Annually,23
2,2018-06-04,-,2018-05-09,1.6994,Income,Regular,Annually,6
3,2017-06-07,-,2017-05-11,1.6994,Income,Regular,Annually,3
4,2016-06-01,-,2016-05-05,1.6994,Income,Regular,Annually,14
5,2015-06-02,-,2015-05-06,1.6994,Income,Regular,Annually,6
6,2014-06-05,-,2014-05-07,1.6994,Income,Regular,Annually,31
7,2013-06-05,-,2013-05-06,1.6994,Income,Regular,Annually,-
8,2012-05-30,-,2012-05-07,1.6994,Income,Regular,Annually,40
9,2011-06-24,-,2011-05-11,1.6994,Income,Regular,Annually,14
10,2010-06-14,-,2010-05-17,1.6994,Income,Regular,Annually,21
11,2009-05-29,-,2009-04-20,1.6994,Income,Regular,Annually,7
12,2008-06-13,-,2008-05-16,1.6994,Income,Regular,Annually,-
13,2007-07-03,-,2007-06-04,1.6994,Income,Regular,Annually,134
14,2006-07-03,-,2006-06-02,1.6994,Income,Regular,Annually,19
15,2004-06-01,-,2004-04-30,1.6994,Income,Unknown,-,-
