,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-31,2020-08-27,2020-10-08,0.5952,Income,Regular,Quarterly,22
1,2020-07-31,2020-05-28,2020-07-09,0.5952,Income,Regular,Quarterly,2
2,2020-04-30,2020-02-27,2020-04-08,0.5952,Income,Regular,Quarterly,0
3,2020-01-31,2019-12-05,2020-01-09,0.5952,Income,Regular,Quarterly,5
4,2019-10-31,2019-08-29,2019-10-09,0.5952,Income,Regular,Quarterly,1
5,2019-07-31,2019-05-23,2019-07-09,0.5952,Income,Regular,Quarterly,-
6,2019-04-30,2019-02-28,2019-04-09,0.5952,Income,Regular,Quarterly,5
7,2019-01-31,2018-11-29,2019-01-09,0.5952,Income,Regular,Quarterly,0
8,2018-10-31,2018-08-30,2018-10-09,0.5952,Income,Regular,Quarterly,-
9,2018-07-31,2018-05-24,2018-07-09,0.5952,Income,Regular,Quarterly,1
10,2018-04-30,2018-03-01,2018-04-09,0.5952,Income,Regular,Quarterly,0
11,2018-01-31,2017-11-30,2018-01-09,0.5952,Income,Regular,Quarterly,14
12,2017-10-31,2017-08-31,2017-10-05,0.5952,Income,Regular,Quarterly,9
13,2017-07-31,2017-05-25,2017-07-06,0.5952,Income,Regular,Quarterly,4
14,2017-04-30,2017-03-02,2017-04-06,0.5952,Income,Regular,Quarterly,2
15,2017-01-31,2016-12-01,2017-01-06,0.5952,Income,Regular,Quarterly,12
16,2016-10-31,2016-08-25,2016-10-05,0.5952,Income,Regular,Quarterly,7
17,2016-07-31,2016-05-26,2016-07-06,0.5952,Income,Regular,Quarterly,4
18,2016-04-30,2016-02-25,2016-04-06,0.5952,Income,Regular,Quarterly,4
19,2016-01-29,2015-12-03,2016-01-06,0.5952,Income,Regular,Quarterly,21
20,2015-10-30,2015-08-27,2015-10-02,0.5952,Income,Regular,Quarterly,1
21,2015-07-31,2015-05-28,2015-07-07,0.5952,Income,Regular,Quarterly,-
22,2015-04-30,2015-02-26,2015-04-02,0.5952,Income,Regular,Quarterly,2
23,2015-01-31,2014-12-04,2015-01-02,0.5952,Income,Regular,Quarterly,-
24,2014-10-31,2014-08-28,2014-10-01,0.5952,Income,Regular,Quarterly,28
25,2014-07-31,2014-05-22,2014-07-07,0.5952,Income,Regular,Quarterly,13
26,2014-04-30,2014-02-27,2014-04-01,0.5952,Income,Regular,Quarterly,5
27,2014-01-31,2013-12-05,2014-01-02,0.5952,Income,Regular,Quarterly,-
28,2013-10-31,2013-08-29,2013-10-01,0.5952,Income,Regular,Quarterly,12
29,2013-07-31,2013-05-23,2013-07-05,0.5952,Income,Regular,Quarterly,1
30,2013-04-30,2013-02-28,2013-04-01,0.5952,Income,Regular,Quarterly,-
31,2013-01-31,2012-12-06,2013-01-02,0.5952,Income,Regular,Quarterly,0
32,2012-10-31,2012-08-30,2012-10-01,0.5952,Income,Regular,Quarterly,3
33,2012-07-31,2012-05-24,2012-07-02,0.5952,Income,Regular,Quarterly,1
34,2012-04-30,2012-03-01,2012-04-02,0.5952,Income,Regular,Quarterly,0
35,2012-01-31,2011-12-01,2012-01-03,0.5952,Income,Regular,Quarterly,0
36,2011-10-31,2011-09-01,2011-10-03,0.5952,Income,Regular,Quarterly,3
37,2011-07-31,2011-05-26,2011-07-01,0.5952,Income,Regular,Quarterly,0
38,2011-04-30,2011-03-03,2011-04-01,0.5952,Income,Regular,Quarterly,0
39,2011-01-31,2010-12-02,2011-01-04,0.5952,Income,Regular,Quarterly,6
40,2010-10-31,2010-09-02,2010-10-01,0.5952,Income,Regular,Quarterly,0
41,2010-07-31,2010-05-27,2010-07-01,0.5952,Income,Regular,Quarterly,3
42,2010-04-30,2010-03-04,2010-04-01,0.5952,Income,Regular,Quarterly,9
43,2010-01-31,2009-12-03,2010-01-04,0.5952,Income,Regular,Quarterly,0
44,2009-10-31,2009-08-27,2009-10-01,0.5952,Income,Regular,Quarterly,34
45,2009-07-31,2009-05-28,2009-07-01,0.5952,Income,Regular,Quarterly,0
46,2009-04-30,2009-02-25,2009-04-01,0.5952,Income,Regular,Quarterly,0
47,2009-01-31,2008-12-04,2009-01-02,0.5952,Income,Regular,Quarterly,0
48,2008-10-31,2008-08-28,2008-10-01,0.5952,Income,Regular,Quarterly,-
49,2008-07-31,2008-05-28,2008-07-07,0.5952,Income,Regular,Quarterly,1
50,2008-04-30,2008-02-28,2008-04-01,0.5952,Income,Regular,Quarterly,0
51,2008-01-31,2007-11-29,2008-01-02,0.5952,Income,Regular,Quarterly,-
52,2007-10-31,2007-08-23,2007-10-01,0.5952,Income,Regular,Quarterly,0
53,2007-07-31,2007-05-24,2007-07-02,0.5952,Income,Regular,Quarterly,0
54,2007-04-30,2007-02-22,2007-04-02,0.5952,Income,Regular,Quarterly,7
55,2007-01-31,2006-12-08,2007-01-03,0.5952,Income,Regular,Quarterly,31
56,2006-10-31,2006-08-24,2006-09-12,0.5952,Income,Regular,Quarterly,3
57,2006-07-31,2006-05-25,2006-06-13,0.5952,Income,Regular,Quarterly,46
58,2006-04-30,2006-02-23,2006-03-14,0.5952,Income,Regular,Quarterly,38
59,2006-01-31,2005-11-23,2005-12-13,0.5952,Income,Regular,Quarterly,6
60,2005-10-31,2005-08-25,2005-09-13,0.5952,Income,Regular,Quarterly,0
61,2005-07-31,2005-05-26,2005-06-14,0.5952,Income,Regular,Quarterly,1
62,2005-04-30,2005-02-24,2005-03-15,0.5952,Income,Regular,Quarterly,55
63,2005-01-31,2004-11-24,2004-12-14,0.5952,Income,Regular,Quarterly,5
64,2004-10-31,2004-08-26,2004-09-14,0.5952,Income,Regular,Quarterly,2
65,2004-07-31,2004-05-27,2004-06-15,0.5952,Income,Regular,Quarterly,18
66,2004-04-30,2004-02-26,2004-03-16,0.5952,Income,Regular,Quarterly,0
67,2004-01-31,2003-11-26,2003-12-16,0.5952,Income,Regular,Quarterly,0
68,2003-10-31,2003-08-28,2003-09-16,0.5952,Income,Regular,Quarterly,1
69,2003-07-31,2003-05-22,2003-06-17,0.5952,Income,Regular,Quarterly,58
70,2003-04-30,2003-02-27,2003-03-18,0.5952,Income,Regular,Quarterly,2
71,2003-01-31,2002-11-27,2002-12-17,0.5952,Income,Regular,Quarterly,14
72,2002-10-31,2002-08-22,2002-09-17,0.5952,Income,Regular,Quarterly,22
73,2002-07-31,2002-05-16,2002-06-18,0.5952,Income,Regular,Quarterly,7
74,2002-04-30,2002-02-21,2002-03-12,0.5952,Income,Regular,Quarterly,3
75,2002-01-31,2001-11-15,2001-12-18,0.5952,Income,Regular,Quarterly,16
76,2001-10-31,2001-07-26,2001-09-18,0.5952,Income,Regular,Quarterly,11
77,2001-07-31,2001-05-31,2001-06-12,0.5952,Income,Regular,Quarterly,1
78,2001-04-30,2001-02-22,2001-03-13,0.5952,Income,Regular,Quarterly,0
79,2001-01-31,2000-11-16,2000-12-12,0.5952,Income,Regular,Quarterly,16
80,2000-10-31,2000-08-31,2000-09-12,0.5952,Income,Regular,Quarterly,0
81,2000-07-31,2000-05-25,2000-06-13,0.5952,Income,Regular,Quarterly,46
82,2000-04-30,2000-02-24,2000-03-14,0.5952,Income,Regular,Quarterly,2
83,2000-01-31,1999-11-18,1999-12-14,0.5952,Income,Regular,Quarterly,3
84,1999-10-31,1999-08-26,1999-09-14,0.5952,Income,Regular,Quarterly,15
85,1999-07-31,1999-05-27,1999-07-06,0.5952,Income,Regular,Quarterly,0
86,1999-04-30,1999-02-25,1999-03-16,0.5952,Income,Regular,Quarterly,4
87,1999-01-31,1998-11-19,1998-12-15,0.5952,Income,Regular,Quarterly,3
88,1998-10-31,1998-08-27,1998-09-15,0.5952,Income,Regular,Quarterly,34
89,1998-07-31,1998-05-28,1998-06-16,0.5952,Income,Regular,Quarterly,0
90,1998-04-30,1998-02-26,1998-03-17,0.5952,Income,Regular,Quarterly,0
91,1998-01-31,1997-11-20,1997-12-16,0.5952,Income,Regular,Quarterly,14
92,1997-10-31,1997-08-28,1997-09-16,0.5952,Income,Regular,Quarterly,0
93,1997-07-31,1997-05-29,1997-06-17,0.5952,Income,Regular,Quarterly,5
94,1997-04-30,1997-02-27,1997-03-18,0.5952,Income,Regular,Quarterly,4
95,1997-01-31,1996-11-29,1996-12-17,0.5952,Income,Regular,Quarterly,0
96,1996-10-31,1996-08-29,1996-10-10,0.5952,Income,Regular,Quarterly,0
97,1996-07-31,1996-05-30,1996-06-18,0.5952,Income,Regular,Quarterly,-
98,1996-04-30,1996-02-29,1996-03-12,0.5952,Income,Regular,Quarterly,-
99,1996-01-31,1995-11-23,1995-12-12,0.5952,Income,Regular,Quarterly,-
100,1995-10-31,1995-08-24,1995-09-12,0.5952,Income,Regular,Quarterly,-
101,1995-07-31,1995-05-25,1995-06-13,0.5952,Income,Regular,Quarterly,-
