,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-15,2020-07-09,2020-09-14,0.22,"Income, Qualified",Regular,Quarterly,0
1,2020-07-15,2020-05-20,2020-06-12,0.22,"Income, Qualified",Regular,Quarterly,0
2,2020-04-16,2020-02-25,2020-03-13,0.22,"Income, Qualified",Regular,Quarterly,0
3,2020-01-15,2019-11-08,2019-12-16,0.22,"Income, Qualified",Regular,Quarterly,0
4,2019-10-15,2019-07-11,2019-09-16,0.22,"Income, Qualified",Regular,Quarterly,30
5,2019-07-16,2019-05-23,2019-06-13,0.22,"Income, Qualified",Regular,Quarterly,0
6,2019-04-16,2019-02-26,2019-03-14,0.22,"Income, Qualified",Regular,Quarterly,0
7,2019-01-15,2018-11-08,2018-12-14,0.22,"Income, Qualified",Regular,Quarterly,33
8,2018-10-15,2018-07-12,2018-09-14,0.22,"Income, Qualified",Regular,Quarterly,9
9,2018-07-16,2018-05-24,2018-06-14,0.22,"Income, Qualified",Regular,Quarterly,0
10,2018-04-16,2018-01-31,2018-03-14,0.22,"Income, Qualified",Regular,Quarterly,19
11,2018-01-15,2017-11-09,2017-12-14,0.22,"Income, Qualified",Regular,Quarterly,1
12,2017-10-16,2017-07-12,2017-09-14,0.22,"Income, Qualified",Regular,Quarterly,0
13,2017-07-17,2017-05-18,2017-06-13,0.22,"Income, Qualified",Regular,Quarterly,0
14,2017-04-17,2017-02-28,2017-03-13,0.22,"Income, Qualified",Regular,Quarterly,2
15,2017-01-16,2016-11-10,2016-12-13,0.22,"Income, Qualified",Regular,Quarterly,0
16,2016-10-17,2016-07-07,2016-09-13,0.22,"Income, Qualified",Regular,Quarterly,1
17,2016-07-15,2016-05-18,2016-06-13,0.22,"Income, Qualified",Regular,Quarterly,8
18,2016-04-15,2016-02-25,2016-03-11,0.22,"Income, Qualified",Regular,Quarterly,0
19,2016-01-15,2015-11-12,2015-12-11,0.22,"Income, Qualified",Regular,Quarterly,1
20,2015-10-15,2015-07-10,2015-09-11,0.22,"Income, Qualified",Regular,Quarterly,0
21,2015-07-15,2015-05-21,2015-06-11,0.22,"Income, Qualified",Regular,Quarterly,0
22,2015-04-15,2015-02-26,2015-03-12,0.22,"Income, Qualified",Regular,Quarterly,0
23,2015-01-15,2014-11-07,2014-12-11,0.22,"Income, Qualified",Regular,Quarterly,5
24,2014-10-15,2014-07-10,2014-09-11,0.22,Income,Regular,Quarterly,5
25,2014-07-15,2014-05-21,2014-06-12,0.22,"Income, Qualified",Regular,Quarterly,26
26,2014-04-15,2014-02-27,2014-03-13,0.22,"Income, Qualified",Regular,Quarterly,-
27,2014-01-15,2013-11-07,2013-12-12,0.22,"Income, Qualified",Regular,Quarterly,1
28,2013-10-15,2013-07-12,2013-09-12,0.22,"Income, Qualified",Regular,Quarterly,0
29,2013-07-15,2013-05-23,2013-06-13,0.22,"Income, Qualified",Regular,Quarterly,0
30,2013-04-15,2013-02-27,2013-03-13,0.22,"Income, Qualified",Regular,Quarterly,14
31,2013-01-15,2012-11-08,2012-12-13,0.22,"Income, Qualified",Regular,Quarterly,3
32,2012-10-15,2012-07-12,2012-09-13,0.22,"Income, Qualified",Regular,Quarterly,0
33,2012-07-16,2012-05-24,2012-06-13,0.22,"Income, Qualified",Regular,Quarterly,1
34,2012-04-16,2012-02-29,2012-03-13,0.22,"Income, Qualified",Regular,Quarterly,0
