,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-07,-,-,2.015,Income Regular,Semi,Annually,-
1,2020-06-08,-,-,2.015,Income Regular,Semi,Annually,-
2,2019-12-09,-,-,2.015,Income Regular,Semi,Annually,-
3,2019-06-04,-,-,2.015,Income Regular,Semi,Annually,-
4,2018-12-07,-,-,2.015,Income Regular,Semi,Annually,-
5,2018-06-04,-,-,2.015,Income Regular,Semi,Annually,-
6,2017-12-07,-,-,2.015,Income Regular,Semi,Annually,-
7,2017-06-05,-,-,2.015,Income Regular,Semi,Annually,-
8,2016-12-09,-,-,2.015,Income Regular,Semi,Annually,-
9,2016-06-13,-,-,2.015,Income Regular,Semi,Annually,-
10,2015-12-07,-,-,2.015,Income Regular,Semi,Annually,-
11,2015-06-29,-,-,2.015,Income Regular,Semi,Annually,-
12,2014-12-08,-,-,2.015,Income Regular,Semi,Annually,-
13,2014-06-30,-,-,2.015,Income Regular,Semi,Annually,-
14,2013-12-09,-,-,2.015,Income Regular,Semi,Annually,-
15,2013-06-27,-,-,2.015,Income Regular,Semi,Annually,-
16,2012-12-07,-,-,2.015,Income Regular,Semi,Annually,-
17,2012-06-28,-,-,2.015,Income Regular,Semi,Annually,-
18,2011-12-12,-,-,2.015,Income Regular,Semi,Annually,-
19,2011-06-30,-,-,2.015,Income Regular,Semi,Annually,-
20,2010-12-06,-,-,2.015,Income Regular,Semi,Annually,-
21,2010-07-07,-,-,2.015,Income Regular,Semi,Annually,-
22,2009-12-08,-,-,2.015,Income Regular,Semi,Annually,-
23,2009-07-06,-,2009-03-26,2.015,Income Regular,Semi,Annually,0
24,2008-12-08,-,-,2.015,Income Regular,Semi,Annually,-
25,2008-07-07,-,-,2.015,Income Regular,Semi,Annually,-
26,2007-12-06,-,-,2.015,Income Regular,Semi,Annually,-
27,2007-07-05,-,2007-03-28,2.015,Income Regular,Semi,Annually,-
28,2006-12-07,-,-,2.015,Income Regular,Semi,Annually,-
29,2006-07-06,-,-,2.015,Income Regular,Semi,Annually,-
30,2005-12-05,-,2005-09-27,2.015,Income Regular,Semi,Annually,1
31,2005-07-05,-,2005-03-28,2.015,Income Regular,Semi,Annually,0
32,2004-12-06,-,2004-09-27,2.015,Income Regular,Semi,Annually,3
33,2004-07-06,-,2004-03-26,2.015,Income Regular,Semi,Annually,0
34,2003-12-08,-,2003-09-25,2.015,"Income, Qualified Regular",Regular,Annually,4
35,2003-07-10,-,2003-03-26,2.015,"Income, Qualified Regular",Regular,Annually,0
36,2002-12-06,-,2002-09-25,2.015,Income Regular,Semi,Annually,0
37,2002-07-08,-,2002-03-26,2.015,Income Regular,Semi,Annually,1
38,2001-12-06,-,2001-09-25,2.015,Income Regular,Semi,Annually,0
39,2001-07-09,-,2001-03-27,2.015,Income Regular,Semi,Annually,0
40,2000-07-17,-,2000-03-28,2.015,Income,Unknown,-,-
41,1999-07-13,-,1999-03-26,2.015,Income,Unknown,-,-
42,1998-12-14,-,1998-09-25,2.015,Income,Unknown,-,-
43,1998-09-30,1998-08-31,1998-09-11,2.015,Income,Regular,Quarterly,11
44,1998-07-10,-,1998-03-26,2.015,Income,Unknown,-,-
45,1998-06-30,1998-06-01,1998-06-11,2.015,Income,Regular,Quarterly,4
46,1998-03-31,1998-03-05,1998-03-11,2.015,Income,Regular,Quarterly,23
47,1997-12-31,1997-12-02,1997-12-11,2.015,Income,Regular,Quarterly,2
48,1997-12-12,-,1997-09-25,2.015,Income,Unknown,-,-
49,1997-09-30,1997-09-02,1997-09-11,2.015,Income,Regular,Quarterly,3
50,1997-07-14,-,1997-03-25,2.015,Income,Unknown,-,-
51,1997-06-30,1997-06-03,1997-06-12,2.015,Income,Regular,Quarterly,2
52,1997-03-31,1997-02-04,1997-03-12,2.015,Income,Regular,Quarterly,4
53,1996-12-31,1996-12-04,1996-12-12,2.015,Income,Regular,Quarterly,6
54,1996-12-12,-,1996-09-25,2.015,Income,Unknown,-,-
55,1996-09-30,1996-09-03,1996-09-11,2.015,Income,Regular,Quarterly,0
56,1996-07-12,-,1996-03-26,2.015,Income,Unknown,-,-
57,1996-06-28,1996-06-03,1996-06-12,2.015,Income,Regular,Quarterly,0
58,1996-03-29,1996-03-04,1996-03-13,2.015,Income,Regular,Quarterly,0
59,1995-12-30,1995-12-05,1995-12-13,2.015,Income,Regular,Quarterly,1
60,1995-12-13,-,1995-09-26,2.015,Income,Unknown,-,-
61,1995-09-30,1995-09-07,1995-09-13,2.015,Income,Regular,Quarterly,1
62,1995-07-17,-,1995-03-24,2.015,Income,Unknown,-,-
63,1995-06-30,1995-05-31,1995-06-13,2.015,Income,Regular,Quarterly,0
64,1995-03-15,-,1994-12-22,2.015,Approximate Dividend Rate,Rate,-,-
