,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-10-16,-,2020-09-23,0.771,Income,Regular,Quarterly,11
1,2020-07-23,-,2020-06-25,0.771,Income,Regular,Quarterly,0
2,2020-04-21,-,2020-03-26,0.771,Income,Regular,Quarterly,2
3,2020-01-28,-,2020-01-02,0.771,Income,Regular,Quarterly,1
4,2019-10-18,-,2019-09-25,0.771,Income,Regular,Quarterly,3
5,2019-07-02,-,2019-06-07,0.771,Income,Regular,Quarterly,0
6,2019-04-12,-,2019-03-15,0.771,Income,Regular,Quarterly,1
7,2019-01-17,-,2018-12-14,0.771,Income,Regular,Quarterly,37
8,2018-10-19,-,2018-09-21,0.771,Income,Regular,Quarterly,1
9,2018-07-06,-,2018-06-07,0.771,Income,Regular,Quarterly,0
10,2018-04-16,-,2018-03-15,0.771,Income,Regular,Quarterly,14
11,2018-01-19,-,2017-12-15,0.771,Income,Regular,Quarterly,12
12,2017-10-19,-,2017-09-21,0.771,Income,Regular,Quarterly,14
13,2017-06-29,-,2017-05-31,0.771,Income,Regular,Quarterly,71
14,2017-04-13,-,2017-03-15,0.771,Income,Regular,Quarterly,0
15,2017-01-20,-,2016-12-16,0.771,Income,Regular,Quarterly,0
16,2016-10-24,-,2016-09-22,0.771,Income,Regular,Quarterly,0
17,2016-07-01,-,2016-06-01,0.771,Income,Regular,Quarterly,4
18,2016-04-19,-,2016-03-16,0.771,Income,Regular,Quarterly,0
19,2016-01-22,-,2015-12-16,0.771,Income,Regular,Quarterly,5
20,2015-10-29,-,2015-09-23,0.771,Income,Regular,Quarterly,5
21,2015-07-10,-,2015-06-03,0.771,Income,Regular,Quarterly,14
22,2015-04-15,-,2015-03-18,0.771,Income,Regular,Quarterly,0
23,2015-01-07,-,2014-12-10,0.771,Income,Regular,Quarterly,38
24,2014-10-10,-,2014-09-18,0.771,Income,Regular,Quarterly,6
25,2014-06-20,-,2014-05-28,0.771,Income,Regular,Quarterly,12
26,2014-04-11,-,2014-03-19,0.771,Income,Regular,Quarterly,7
27,2014-01-07,-,2013-12-11,0.771,Income,Regular,Quarterly,5
28,2013-10-15,-,2013-09-19,0.771,Income,Regular,Quarterly,3
29,2013-07-18,-,2013-06-19,0.771,Income,Regular,Quarterly,21
30,2013-04-11,-,2013-03-13,0.771,Income,Regular,Quarterly,69
31,2013-01-10,-,2012-12-12,0.771,Income,Regular,Quarterly,0
32,2012-10-18,-,2012-09-19,0.771,Income,Regular,Quarterly,-
33,2012-07-10,-,2012-06-13,0.771,Income,Regular,Quarterly,2
34,2012-04-12,-,2012-03-14,0.771,Income,Regular,Quarterly,-
35,2012-01-13,-,2011-12-14,0.771,Income,Regular,Quarterly,7
36,2011-10-13,-,2011-09-14,0.771,Income,Regular,Quarterly,1
37,2011-06-17,-,2011-05-18,0.771,Income Regular,Semi,Annually,32
38,2010-12-07,-,2010-11-09,0.771,Income Regular,Semi,Annually,48
39,2010-06-22,-,2010-05-24,0.771,Income Regular,Semi,Annually,3
40,2009-12-08,-,2009-11-09,0.771,Income Regular,Semi,Annually,0
41,2009-06-12,-,2009-05-14,0.771,Income Regular,Semi,Annually,4
42,2008-12-12,-,2008-11-14,0.771,Income Regular,Semi,Annually,7
43,2008-06-16,-,2008-05-20,0.771,Income Regular,Semi,Annually,1
44,2007-12-10,-,2007-11-13,0.771,Income Regular,Semi,Annually,5
45,2007-06-08,-,2007-05-15,0.771,Income Regular,Semi,Annually,3
46,2006-12-11,-,2006-11-14,0.771,Income Regular,Semi,Annually,11
47,2006-06-09,-,2006-05-15,0.771,Income Regular,Semi,Annually,128
48,2005-12-15,-,2005-11-21,0.771,Income Regular,Semi,Annually,0
49,2005-06-15,-,2005-05-19,0.771,Income Regular,Semi,Annually,3
50,2004-12-16,-,2004-11-19,0.771,Income,Regular,Annually,3
51,2004-06-15,-,2004-05-19,0.771,Income,Regular,Annually,3
