,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-16,2020-10-15,2020-10-29,1.02,"Income, Qualified",Regular,Quarterly,0
1,2020-08-17,2020-07-16,2020-07-30,1.02,"Income, Qualified",Regular,Quarterly,3
2,2020-05-18,2020-04-23,2020-05-01,1.02,"Income, Qualified",Regular,Quarterly,13
3,2020-02-10,2020-01-16,2020-01-30,1.02,"Income, Qualified",Regular,Quarterly,3
4,2019-11-18,2019-10-17,2019-10-30,1.02,"Income, Qualified",Regular,Quarterly,3
5,2019-08-12,2019-07-18,2019-07-30,1.02,"Income, Qualified",Regular,Quarterly,32
6,2019-05-20,2019-04-25,2019-05-03,1.02,"Income, Qualified",Regular,Quarterly,0
7,2019-02-11,2019-01-17,2019-01-30,1.02,"Income, Qualified",Regular,Quarterly,0
8,2018-11-19,2018-10-18,2018-10-30,1.02,"Income, Qualified",Regular,Quarterly,0
9,2018-08-13,2018-07-19,2018-07-30,1.02,"Income, Qualified",Regular,Quarterly,4
10,2018-05-21,2018-04-26,2018-05-04,1.02,"Income, Qualified",Regular,Quarterly,0
11,2018-02-12,2018-01-18,2018-01-30,1.02,"Income, Qualified",Regular,Quarterly,-
12,2017-11-13,2017-10-19,2017-10-30,1.02,"Income, Qualified",Regular,Quarterly,4
13,2017-08-14,2017-07-19,2017-07-27,1.02,"Income, Qualified",Regular,Quarterly,25
14,2017-05-15,2017-04-19,2017-04-27,1.02,"Income, Qualified",Regular,Quarterly,12
15,2017-02-13,2017-01-19,2017-01-27,1.02,"Income, Qualified",Regular,Quarterly,28
16,2016-11-21,2016-10-26,2016-11-03,1.02,"Income, Qualified",Regular,Quarterly,2
17,2016-08-15,2016-07-21,2016-07-28,1.02,"Income, Qualified",Regular,Quarterly,62
18,2016-05-16,2016-04-20,2016-04-28,1.02,"Income, Qualified",Regular,Quarterly,18
19,2016-02-08,2016-01-21,2016-01-28,1.02,"Income, Qualified",Regular,Quarterly,0
20,2015-11-16,2015-10-15,2015-10-28,1.02,"Income, Qualified",Regular,Quarterly,0
21,2015-08-17,2015-07-16,2015-07-29,1.02,"Income, Qualified",Regular,Quarterly,1
22,2015-05-18,2015-04-15,2015-04-28,1.02,"Income, Qualified",Regular,Quarterly,12
23,2015-02-09,2015-01-15,2015-01-28,1.02,"Income, Qualified",Regular,Quarterly,6
24,2014-11-17,2014-10-16,2014-10-29,1.02,"Income, Qualified",Regular,Quarterly,2
25,2014-08-18,2014-07-17,2014-07-29,1.02,"Income, Qualified",Regular,Quarterly,13
26,2014-05-19,2014-04-16,2014-04-28,1.02,"Income, Qualified",Regular,Quarterly,10
27,2014-02-10,2014-01-16,2014-01-29,1.02,"Income, Qualified",Regular,Quarterly,9
28,2013-11-18,2013-10-17,2013-10-29,1.02,"Income, Qualified",Regular,Quarterly,0
29,2013-08-19,2013-07-18,2013-07-29,1.02,"Income, Qualified",Regular,Quarterly,2
30,2013-05-20,2013-04-17,2013-04-26,1.02,"Income, Qualified",Regular,Quarterly,2
31,2013-02-11,2013-01-17,2013-01-29,1.02,"Income, Qualified",Regular,Quarterly,2
32,2012-11-19,2012-10-18,2012-10-29,1.02,"Income, Qualified",Regular,Quarterly,3
33,2012-08-20,2012-07-19,2012-07-27,1.02,"Income, Qualified",Regular,Quarterly,0
34,2012-05-21,2012-04-18,2012-04-26,1.02,"Income, Qualified",Regular,Quarterly,1
35,2012-02-13,2012-01-19,2012-01-27,1.02,"Income, Qualified",Regular,Quarterly,0
36,2011-11-21,2011-10-20,2011-10-27,1.02,"Income, Qualified",Regular,Quarterly,0
37,2011-08-22,2011-07-21,2011-07-28,1.02,"Income, Qualified",Regular,Quarterly,55
38,2011-05-23,2011-04-20,2011-04-28,1.02,"Income, Qualified",Regular,Quarterly,-
39,2011-02-14,2011-01-20,2011-01-27,1.02,"Income, Qualified",Regular,Quarterly,0
40,2010-11-22,2010-10-21,2010-10-28,1.02,"Income, Qualified",Regular,Quarterly,1
41,2010-08-16,2010-07-15,2010-07-28,1.02,"Income, Qualified",Regular,Quarterly,8
42,2010-05-17,2010-04-14,2010-04-28,1.02,"Income, Qualified",Regular,Quarterly,1
43,2010-02-22,2010-01-21,2010-01-28,1.02,"Income, Qualified",Regular,Quarterly,10
44,2009-11-16,2009-10-15,2009-10-28,1.02,"Income, Qualified",Regular,Quarterly,1
45,2009-08-17,2009-07-16,2009-07-29,1.02,"Income, Qualified",Regular,Quarterly,3
