,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-02,2020-09-25,2020-10-08,0.52,"Income, Qualified",Regular,Quarterly,23
1,2020-08-03,2020-06-26,2020-07-09,0.52,"Income, Qualified",Regular,Quarterly,-
2,2020-05-01,2020-03-27,2020-04-08,0.52,"Income, Qualified",Regular,Quarterly,1
3,2020-02-03,2019-12-13,2020-01-09,0.52,"Income, Qualified",Regular,Quarterly,-
4,2019-11-01,2019-09-26,2019-10-09,0.52,"Income, Qualified",Regular,Quarterly,2
5,2019-08-01,2019-06-28,2019-07-09,0.52,"Income, Qualified",Regular,Quarterly,14
6,2019-05-01,2019-03-29,2019-04-09,0.52,"Income, Qualified",Regular,Quarterly,30
7,2019-02-01,2018-12-13,2019-01-09,0.52,"Income, Qualified",Regular,Quarterly,54
8,2018-11-01,2018-09-28,2018-10-09,0.52,"Income, Qualified",Regular,Quarterly,-
9,2018-08-01,2018-06-29,2018-07-09,0.52,"Income, Qualified",Regular,Quarterly,28
10,2018-05-01,2018-03-30,2018-04-09,0.52,"Income, Qualified",Regular,Quarterly,1
11,2018-02-01,2017-12-15,2018-01-09,0.52,"Income, Qualified",Regular,Quarterly,17
12,2017-11-01,2017-09-29,2017-10-06,0.52,"Income, Qualified",Regular,Quarterly,-
13,2017-08-01,2017-06-30,2017-07-06,0.52,"Income, Qualified",Regular,Quarterly,15
14,2017-05-01,2017-03-31,2017-04-06,0.52,"Income, Qualified",Regular,Quarterly,-
15,2017-02-01,2016-10-22,2017-01-06,0.52,"Income, Qualified",Regular,Quarterly,-
16,2016-11-01,2016-09-30,2016-10-05,0.52,"Income, Qualified",Regular,Quarterly,45
17,2016-08-01,2016-06-24,2016-07-06,0.52,"Income, Qualified",Regular,Quarterly,26
18,2016-05-02,2016-03-25,2016-04-06,0.52,"Income, Qualified",Regular,Quarterly,24
19,2016-02-01,2015-12-18,2016-01-06,0.52,"Income, Qualified",Regular,Quarterly,12
20,2015-11-02,2015-09-25,2015-10-07,0.52,"Income, Qualified",Regular,Quarterly,1
21,2015-08-03,2015-06-26,2015-07-08,0.52,"Income, Qualified",Regular,Quarterly,-
22,2015-05-01,2015-03-27,2015-04-08,0.52,"Income, Qualified",Regular,Quarterly,11
23,2015-02-02,2014-12-19,2015-01-07,0.52,"Income, Qualified",Regular,Quarterly,7
24,2014-11-03,2014-09-26,2014-10-08,0.52,"Income, Qualified",Regular,Quarterly,25
25,2014-08-01,2014-06-27,2014-07-08,0.52,"Income, Qualified",Regular,Quarterly,5
26,2014-05-01,2014-03-28,2014-04-08,0.52,"Income, Qualified",Regular,Quarterly,5
27,2014-02-03,2013-12-13,2014-01-08,0.52,"Income, Qualified",Regular,Quarterly,56
28,2013-11-01,2013-09-27,2013-10-08,0.52,"Income, Qualified",Regular,Quarterly,2
29,2013-08-01,2013-06-28,2013-07-08,0.52,"Income, Qualified",Regular,Quarterly,3
30,2013-05-01,2013-03-29,2013-04-08,0.52,"Income, Qualified",Regular,Quarterly,2
31,2013-02-01,2012-11-07,2013-01-08,0.52,"Income, Qualified",Regular,Quarterly,18
32,2012-11-01,2012-09-28,2012-10-05,0.52,"Income, Qualified",Regular,Quarterly,-
33,2012-08-01,2012-06-29,2012-07-06,0.52,"Income, Qualified",Regular,Quarterly,7
34,2012-05-01,2012-03-30,2012-04-05,0.52,"Income, Qualified",Regular,Quarterly,13
35,2012-02-01,2011-12-16,2012-01-06,0.52,"Income, Qualified",Regular,Quarterly,9
36,2011-11-01,2011-09-30,2011-10-05,0.52,"Income, Qualified",Regular,Quarterly,0
37,2011-08-01,2011-06-24,2011-07-06,0.52,"Income, Qualified",Regular,Quarterly,-
38,2011-05-02,2011-03-25,2011-04-06,0.52,"Income, Qualified",Regular,Quarterly,2
39,2011-02-01,2010-12-17,2011-01-06,0.52,"Income, Qualified",Regular,Quarterly,58
40,2010-11-01,2010-09-24,2010-10-06,0.52,"Income, Qualified",Regular,Quarterly,21
41,2010-08-02,2010-06-25,2010-07-07,0.52,"Income, Qualified",Regular,Quarterly,1
42,2010-05-03,2010-03-26,2010-04-07,0.52,"Income, Qualified",Regular,Quarterly,2
43,2010-02-01,2009-12-18,2010-01-06,0.52,"Income, Qualified",Regular,Quarterly,-
44,2009-11-02,2009-09-25,2009-10-07,0.52,"Income, Qualified",Regular,Quarterly,39
45,2009-08-03,2009-06-26,2009-07-08,0.52,"Income, Qualified",Regular,Quarterly,8
46,2009-05-01,2009-03-27,2009-04-07,0.52,"Income, Qualified",Regular,Quarterly,19
47,2009-02-02,2008-12-12,2009-01-07,0.52,"Income, Qualified",Regular,Quarterly,-
48,2008-11-03,2008-09-26,2008-10-08,0.52,"Income, Qualified",Regular,Quarterly,3
49,2008-08-01,2008-06-27,2008-07-08,0.52,"Income, Qualified",Regular,Quarterly,0
50,2008-05-01,2008-03-28,2008-04-08,0.52,"Income, Qualified",Regular,Quarterly,17
51,2008-02-01,2007-12-11,2008-01-08,0.52,"Income, Qualified",Regular,Quarterly,-
52,2007-11-01,2007-09-28,2007-10-05,0.52,"Income, Qualified",Regular,Quarterly,0
53,2007-08-01,2007-06-29,2007-07-06,0.52,"Income, Qualified",Regular,Quarterly,53
54,2007-05-01,2007-03-30,2007-04-05,0.52,"Income, Qualified",Regular,Quarterly,0
55,2007-02-01,2006-12-15,2007-01-08,0.52,"Income, Qualified",Regular,Quarterly,2
56,2006-11-01,2006-09-29,2006-10-05,0.52,"Income, Qualified",Regular,Quarterly,3
57,2006-08-01,2006-06-30,2006-07-06,0.52,"Income, Qualified",Regular,Quarterly,13
58,2006-05-01,2006-03-31,2006-04-06,0.52,"Income, Qualified",Regular,Quarterly,49
59,2006-02-01,2005-12-09,2006-01-06,0.52,"Income, Qualified",Regular,Quarterly,1
60,2005-11-01,2005-09-30,2005-10-05,0.52,"Income, Qualified",Regular,Quarterly,31
61,2005-11-01,2005-09-21,2005-10-05,0.52,"Income, Qualified",Regular,Quarterly,31
62,2005-08-01,2005-06-24,2005-07-06,0.52,"Income, Qualified",Regular,Quarterly,6
63,2005-08-01,2005-06-30,2005-07-06,0.52,"Income, Qualified",Regular,Quarterly,6
64,2005-05-02,2005-03-11,2005-04-06,0.52,"Income, Qualified",Regular,Quarterly,-
65,2005-05-02,2005-03-16,2005-03-29,0.52,"Income, Qualified",Regular,Quarterly,1
66,2005-02-01,2004-12-20,2004-12-29,0.52,"Income, Qualified",Regular,Quarterly,-
67,2005-02-01,2004-12-10,2005-01-06,0.52,"Income, Qualified",Regular,Quarterly,-
68,2004-11-01,2004-09-24,2004-10-06,0.52,"Income, Qualified",Regular,Quarterly,-
69,2004-11-01,2004-09-24,2004-09-28,0.52,"Income, Qualified",Regular,Quarterly,1
70,2004-08-02,2004-06-25,2004-07-07,0.52,"Income, Qualified",Regular,Quarterly,12
71,2004-08-02,2004-06-23,2004-06-28,0.52,"Income, Qualified",Regular,Quarterly,0
72,2004-05-03,2004-03-17,2004-03-29,0.52,"Income, Qualified",Regular,Quarterly,0
73,2004-05-03,2004-03-26,2004-04-06,0.52,"Income, Qualified",Regular,Quarterly,12
74,2004-02-02,2003-12-12,2004-01-07,0.52,"Income, Qualified",Regular,Quarterly,1
75,2004-02-02,2003-12-17,2003-12-29,0.52,"Income, Qualified",Regular,Quarterly,0
76,2003-11-03,2003-09-26,2003-10-08,0.52,"Income, Qualified",Regular,Quarterly,12
77,2003-11-03,2003-09-26,2003-10-08,0.52,"Special, Qualified",Special,Quarterly,12
78,2003-11-03,2003-09-15,2003-09-26,0.52,"Income, Qualified",Regular,Quarterly,2
79,2003-08-01,2003-06-27,2003-07-08,0.52,"Income, Qualified",Regular,Quarterly,-
80,2003-08-01,2003-06-27,2003-07-08,0.52,"Special, Qualified",Special,Quarterly,-
81,2003-08-01,2003-06-11,2003-06-26,0.52,"Income, Qualified",Regular,Quarterly,0
82,2003-05-01,2003-03-28,2003-04-08,0.52,"Special, Qualified",Special,Quarterly,12
83,2003-05-01,2003-03-17,2003-03-27,0.52,"Income, Qualified",Regular,Quarterly,4
84,2003-05-01,2003-03-28,2003-04-08,0.52,"Income, Qualified",Regular,Quarterly,12
85,2003-02-03,2002-12-13,2003-01-08,0.52,"Income, Qualified",Regular,Quarterly,-
86,2003-02-03,2002-12-18,2002-12-27,0.52,"Initial, Qualified",Regular,Quarterly,4
87,2002-11-01,2002-09-11,2002-09-26,0.52,Income,Regular,Quarterly,-
88,2002-11-01,2002-09-27,2002-10-08,0.52,Income,Regular,Quarterly,2
89,2002-08-01,2002-06-28,2002-07-08,0.52,Income,Regular,Quarterly,-
90,2002-08-01,2002-06-17,2002-06-26,0.52,Income,Regular,Quarterly,1
91,2002-05-01,2002-03-14,2002-03-26,0.52,Income,Regular,Quarterly,0
92,2002-05-01,2002-03-22,2002-04-08,0.52,Income,Regular,Quarterly,-
93,2002-02-01,2001-12-14,2002-01-08,0.52,Income,Regular,Quarterly,-
94,2002-02-01,2001-12-19,2001-12-27,0.52,Income,Regular,Quarterly,0
95,2001-11-01,2001-09-21,2001-09-26,0.52,Income,Regular,Quarterly,0
96,2001-11-01,2001-09-28,2001-10-05,0.52,Income,Regular,Quarterly,1
97,2001-08-01,2001-06-20,2001-06-27,0.52,Income,Regular,Quarterly,1
98,2001-08-01,2001-06-29,2001-07-06,0.52,Income,Regular,Quarterly,3
99,2001-05-01,2001-03-30,2001-04-06,0.52,Income,Regular,Quarterly,28
