,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-11-20,-,2020-10-29,0.4845,Income,Regular,Quarterly,3
1,2020-09-09,-,2020-08-06,0.4845,Income,Regular,Quarterly,24
2,2020-06-04,-,2020-05-14,0.4845,Income,Regular,Quarterly,2
3,2020-03-18,-,2020-02-20,0.4845,Income,Regular,Quarterly,-
4,2019-12-04,-,2019-10-31,0.4845,Income,Regular,Quarterly,4
5,2019-09-11,-,2019-08-08,0.4845,Income,Regular,Quarterly,2
6,2019-06-05,-,2019-05-02,0.4845,Income,Regular,Quarterly,1
7,2019-03-20,-,2019-02-14,0.4845,Income,Regular,Quarterly,3
8,2018-12-05,-,2018-11-01,0.4845,Income,Regular,Quarterly,0
9,2018-09-05,-,2018-08-02,0.4845,Income,Regular,Quarterly,3
10,2018-06-06,-,2018-05-03,0.4845,Income,Regular,Quarterly,1
11,2018-03-21,-,2018-02-15,0.4845,Income,Regular,Quarterly,0
12,2017-12-13,-,2017-11-02,0.4845,Income,Regular,Quarterly,4
13,2017-09-06,-,2017-08-02,0.4845,Income,Regular,Quarterly,2
14,2017-06-07,-,2017-05-03,0.4845,Income,Regular,Quarterly,3
15,2017-03-15,-,2017-02-08,0.4845,Income,Regular,Quarterly,0
16,2016-12-07,-,2016-10-26,0.4845,Income,Regular,Quarterly,63
17,2016-09-07,-,2016-08-03,0.4845,Income,Regular,Quarterly,6
18,2016-06-01,-,2016-04-27,0.4845,Income,Regular,Quarterly,9
19,2016-03-09,-,2016-02-03,0.4845,Income,Regular,Quarterly,0
20,2015-12-09,-,2015-10-28,0.4845,Income,Regular,Quarterly,1
21,2015-09-09,-,2015-08-05,0.4845,Income,Regular,Quarterly,0
22,2015-06-03,-,2015-04-22,0.4845,Income,Regular,Quarterly,3
23,2015-03-11,-,2015-02-04,0.4845,Income,Regular,Quarterly,14
24,2014-12-10,-,2014-11-05,0.4845,Income,Regular,Quarterly,3
25,2014-09-10,-,2014-08-06,0.4845,Income,Regular,Quarterly,4
26,2014-06-11,-,2014-05-07,0.4845,Income,Regular,Quarterly,0
27,2014-03-12,-,2014-02-05,0.4845,Income,Regular,Quarterly,1
28,2013-12-11,-,2013-11-06,0.4845,Income,Regular,Quarterly,37
29,2013-09-11,-,2013-08-07,0.4845,Income,Regular,Quarterly,31
30,2013-06-12,-,2013-05-08,0.4845,Income,Regular,Quarterly,5
31,2013-03-13,-,2013-02-06,0.4845,Income,Regular,Quarterly,21
32,2012-12-12,-,2012-11-07,0.4845,Income,Regular,Quarterly,12
33,2012-09-12,-,2012-08-08,0.4845,Income,Regular,Quarterly,20
34,2012-06-13,-,2012-05-09,0.4845,Income,Regular,Quarterly,38
35,2012-03-22,-,2012-02-15,0.4845,Income,Regular,Quarterly,1
36,2011-12-14,-,2011-11-08,0.4845,Income,Regular,Quarterly,0
37,2011-09-14,-,2011-08-10,0.4845,Income,Regular,Quarterly,2
38,2011-06-15,-,2011-05-11,0.4845,Income,Regular,Quarterly,41
39,2011-03-16,-,2011-02-09,0.4845,Income,Regular,Quarterly,12
40,2010-12-15,-,2010-11-09,0.4845,Income,Regular,Quarterly,36
41,2010-09-15,-,2010-08-11,0.4845,Income,Regular,Quarterly,24
42,2010-06-16,-,2010-05-12,0.4845,Income,Regular,Quarterly,24
43,2010-03-17,-,2010-02-10,0.4845,Income,Regular,Quarterly,1
44,2009-12-16,-,2009-11-18,0.4845,Income,Regular,Quarterly,19
45,2009-06-18,-,2009-05-20,0.4845,Income Regular,Semi,Annually,1
46,2008-12-03,-,2008-11-05,0.4845,Income Regular,Semi,Annually,-
47,2008-06-19,-,2008-05-21,0.4845,Income Regular,Semi,Annually,4
48,2007-12-05,-,2007-11-07,0.4845,Income Regular,Semi,Annually,5
49,2007-06-21,-,2007-05-23,0.4845,Income Regular,Semi,Annually,17
50,2006-12-04,-,2006-11-08,0.4845,Income Regular,Semi,Annually,2
51,2006-12-04,-,2006-11-08,0.4845,Extra Special,Semi,Annually,2
52,2006-06-12,-,2006-05-17,0.4845,Income,Unknown,-,-
53,2005-06-13,-,2005-05-18,0.4845,"Income, Qualified",Unknown,-,-
54,2004-06-14,-,2004-05-19,0.4845,"Income, Qualified",Unknown,-,-
55,2003-06-09,-,2003-05-14,0.4845,"Income, Qualified",Unknown,-,-
56,2002-06-10,-,2002-05-15,0.4845,Income,Unknown,-,-
57,2001-05-29,-,2001-04-25,0.4845,Income,Unknown,-,-
58,2000-05-30,-,2000-04-20,0.4845,Income,Unknown,-,-
59,1999-06-16,-,-,0.4845,Special,Special,-,-
60,1999-06-01,-,1999-04-21,0.4845,Income,Unknown,-,-
61,1998-06-01,-,1998-04-22,0.4845,Income,Unknown,-,-
62,1997-06-02,-,1997-04-09,0.4845,Income,Unknown,-,-
63,1996-06-03,-,1996-04-15,0.4845,Income,Unknown,-,-
64,1995-05-26,-,1995-04-07,0.4845,Income,Unknown,-,-
