,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-30,2020-11-05,2020-11-27,0.97,"Income, Qualified",Regular,Quarterly,24
1,2020-09-30,2020-07-30,2020-08-28,0.97,"Income, Qualified",Regular,Quarterly,0
2,2020-06-30,2020-05-14,2020-05-28,0.97,"Income, Qualified",Regular,Quarterly,4
3,2020-03-31,2020-02-06,2020-02-27,0.97,"Income, Qualified",Regular,Quarterly,59
4,2019-12-30,2019-11-14,2019-11-27,0.97,"Income, Qualified",Regular,Quarterly,13
5,2019-09-30,2019-07-25,2019-08-29,0.97,"Income, Qualified",Regular,Quarterly,0
6,2019-06-28,2019-05-16,2019-05-30,0.97,"Income, Qualified",Regular,Quarterly,0
7,2019-03-29,2019-02-07,2019-02-27,0.97,"Income, Qualified",Regular,Quarterly,23
8,2018-12-28,2018-11-15,2018-11-29,0.97,"Income, Qualified",Regular,Quarterly,1
9,2018-09-28,2018-07-26,2018-08-30,0.97,"Income, Qualified",Regular,Quarterly,3
10,2018-06-29,2018-05-10,2018-05-30,0.97,"Income, Qualified",Regular,Quarterly,0
11,2018-03-30,2018-02-08,2018-02-27,0.97,"Income, Qualified",Regular,Quarterly,36
12,2017-12-28,2017-11-16,2017-11-29,0.97,"Income, Qualified",Regular,Quarterly,0
13,2017-09-29,2017-07-27,2017-08-29,0.97,"Income, Qualified",Regular,Quarterly,0
14,2017-06-30,2017-05-11,2017-05-26,0.97,"Income, Qualified",Regular,Quarterly,0
15,2017-03-31,2017-02-02,2017-02-24,0.97,"Income, Qualified",Regular,Quarterly,0
16,2016-12-29,2016-11-17,2016-11-28,0.97,"Income, Qualified",Regular,Quarterly,3
17,2016-09-30,2016-07-28,2016-08-29,0.97,"Income, Qualified",Regular,Quarterly,0
18,2016-06-30,2016-05-12,2016-05-26,0.97,"Income, Qualified",Regular,Quarterly,1
19,2016-03-31,2016-02-04,2016-02-25,0.97,"Income, Qualified",Regular,Quarterly,3
20,2015-12-30,2015-11-19,2015-11-25,0.97,"Income, Qualified",Regular,Quarterly,-
21,2015-09-30,2015-07-30,2015-08-27,0.97,"Income, Qualified",Regular,Quarterly,0
22,2015-06-30,2015-05-14,2015-05-27,0.97,"Income, Qualified",Regular,Quarterly,-
23,2015-03-30,2015-02-05,2015-02-25,0.97,"Income, Qualified",Regular,Quarterly,-
24,2015-01-02,2014-11-20,2014-11-28,0.97,"Income, Qualified",Regular,Quarterly,54
25,2014-10-01,2014-07-31,2014-08-27,0.97,"Income, Qualified",Regular,Quarterly,4
26,2014-07-01,2014-05-15,2014-06-12,0.97,"Income, Qualified",Regular,Quarterly,28
