,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-03,2020-11-02,2020-11-12,1.01,"Income, Qualified",Regular,Quarterly,2
1,2020-09-09,2020-08-12,2020-08-21,1.01,"Income, Qualified",Regular,Quarterly,1
2,2020-06-10,2020-05-14,2020-05-22,1.01,"Income, Qualified",Regular,Quarterly,3
3,2020-03-10,2020-02-13,2020-02-24,1.01,"Income, Qualified",Regular,Quarterly,-
4,2019-12-04,2019-11-07,2019-11-15,1.01,"Income, Qualified",Regular,Quarterly,-
5,2019-09-04,2019-08-08,2019-08-16,1.01,"Income, Qualified",Regular,Quarterly,0
6,2019-06-05,2019-05-09,2019-05-17,1.01,"Income, Qualified",Regular,Quarterly,19
7,2019-03-12,2019-02-15,2019-02-25,1.01,"Income, Qualified",Regular,Quarterly,0
8,2018-12-05,2018-11-08,2018-11-16,1.01,"Income, Qualified",Regular,Quarterly,1
9,2018-09-05,2018-08-09,2018-08-17,1.01,"Income, Qualified",Regular,Quarterly,0
10,2018-06-06,2018-05-10,2018-05-18,1.01,"Income, Qualified",Regular,Quarterly,1
11,2018-03-07,2018-02-08,2018-02-16,1.01,"Income, Qualified",Regular,Quarterly,12
12,2017-11-29,2017-11-02,2017-11-10,1.01,"Income, Qualified",Regular,Quarterly,0
13,2017-08-30,2017-08-03,2017-08-10,1.01,"Income, Qualified",Regular,Quarterly,2
14,2017-05-31,2017-05-04,2017-05-11,1.01,"Income, Qualified",Regular,Quarterly,2
15,2017-03-08,2017-02-08,2017-02-16,1.01,"Income, Qualified",Regular,Quarterly,-
16,2016-11-30,2016-11-03,2016-11-09,1.01,"Income, Qualified",Regular,Quarterly,0
17,2016-08-31,2016-08-05,2016-08-12,1.01,"Income, Qualified",Regular,Quarterly,62
18,2016-06-01,2016-05-05,2016-05-12,1.01,"Income, Qualified",Regular,Quarterly,10
19,2016-03-09,2016-02-10,2016-02-18,1.01,"Income, Qualified",Regular,Quarterly,8
20,2015-12-02,2015-11-05,2015-11-12,1.01,"Income, Qualified",Regular,Quarterly,-
21,2015-09-01,2015-08-06,2015-08-13,1.01,"Income, Qualified",Regular,Quarterly,2
22,2015-06-03,2015-05-07,2015-05-14,1.01,"Income, Qualified",Regular,Quarterly,0
23,2015-03-10,2015-02-11,2015-02-19,1.01,"Income, Qualified",Regular,Quarterly,-
24,2014-12-03,2014-11-06,2014-11-13,1.01,"Income, Qualified",Regular,Quarterly,11
25,2014-09-03,2014-08-07,2014-08-14,1.01,"Income, Qualified",Regular,Quarterly,1
26,2014-06-04,2014-05-08,2014-05-15,1.01,"Income, Qualified",Regular,Quarterly,6
27,2014-03-11,2014-02-13,2014-02-20,1.01,"Income, Qualified",Regular,Quarterly,0
28,2013-12-04,2013-11-07,2013-11-14,1.01,"Income, Qualified",Regular,Quarterly,2
29,2013-09-04,2013-08-08,2013-08-15,1.01,"Income, Qualified",Regular,Quarterly,18
30,2013-05-29,2013-05-02,2013-05-09,1.01,"Income, Qualified",Regular,Quarterly,43
31,2013-03-12,2013-02-14,2013-02-21,1.01,"Income, Qualified",Regular,Quarterly,8
32,2012-12-05,2012-11-08,2012-11-15,1.01,"Income, Qualified",Regular,Quarterly,0
33,2012-09-05,2012-08-09,2012-08-16,1.01,"Income, Qualified",Regular,Quarterly,-
34,2012-05-30,2012-05-03,2012-05-10,1.01,"Income, Qualified",Regular,Quarterly,25
35,2012-03-07,2012-02-09,2012-02-16,1.01,"Income, Qualified",Regular,Quarterly,0
36,2011-11-30,2011-11-03,2011-11-09,1.01,"Income, Qualified",Regular,Quarterly,15
37,2011-09-07,2011-08-11,2011-08-18,1.01,"Income, Qualified",Regular,Quarterly,7
38,2011-06-01,2011-05-05,2011-05-12,1.01,"Income, Qualified",Regular,Quarterly,40
39,2011-03-02,2011-02-03,2011-02-10,1.01,"Income, Qualified",Regular,Quarterly,0
40,2010-12-01,2010-11-04,2010-11-10,1.01,"Income, Qualified",Regular,Quarterly,7
41,2010-09-01,2010-08-05,2010-08-12,1.01,"Income, Qualified",Regular,Quarterly,3
42,2010-06-02,2010-05-06,2010-05-13,1.01,"Income, Qualified",Regular,Quarterly,-
43,2010-03-03,2010-02-04,2010-02-11,1.01,"Income, Qualified",Regular,Quarterly,3
44,2009-12-03,2009-11-05,2009-11-12,1.01,"Income, Qualified",Regular,Quarterly,2
45,2009-09-09,2009-08-13,2009-08-20,1.01,"Income, Qualified",Regular,Quarterly,1
46,2009-06-03,2009-05-07,2009-05-14,1.01,"Income, Qualified",Regular,Quarterly,2
47,2009-03-10,2009-02-11,2009-02-19,1.01,"Income, Qualified",Regular,Quarterly,0
48,2008-12-03,2008-11-06,2008-11-13,1.01,"Income, Qualified",Regular,Quarterly,0
49,2008-09-09,2008-08-14,2008-08-21,1.01,"Income, Qualified",Regular,Quarterly,1
50,2008-06-03,2008-05-08,2008-05-15,1.01,"Income, Qualified",Regular,Quarterly,10
51,2008-03-04,2008-01-31,2008-02-07,1.01,"Income, Qualified",Regular,Quarterly,3
52,2008-01-03,2007-11-08,2007-11-15,1.01,"Income, Qualified",Regular,Quarterly,9
53,2007-09-17,2007-08-29,2007-09-06,1.01,"Income, Qualified",Regular,Quarterly,8
54,2007-06-05,2007-05-10,2007-05-17,1.01,"Income, Qualified",Regular,Quarterly,8
55,2007-03-06,2007-02-08,2007-02-15,1.01,"Income, Qualified",Regular,Quarterly,-
56,2007-01-04,2006-11-16,2006-11-22,1.01,"Income, Qualified",Regular,Quarterly,-
57,2006-09-06,2006-08-10,2006-08-17,1.01,"Income, Qualified",Regular,Quarterly,18
58,2006-05-31,2006-05-04,2006-05-11,1.01,"Income, Qualified",Regular,Quarterly,37
59,2006-03-07,2006-02-09,2006-02-16,1.01,"Income, Qualified",Regular,Quarterly,13
60,2006-01-04,2005-11-16,2005-11-23,1.01,"Income, Qualified",Regular,Quarterly,-
61,2005-09-07,2005-08-11,2005-08-18,1.01,"Income, Qualified",Regular,Quarterly,2
62,2005-06-01,2005-05-05,2005-05-12,1.01,"Income, Qualified",Regular,Quarterly,3
63,2005-03-09,2005-02-09,2005-02-17,1.01,"Income, Qualified",Regular,Quarterly,-
64,2005-01-04,2004-11-18,2004-11-24,1.01,"Income, Qualified",Regular,Quarterly,3
65,2004-09-08,2004-08-12,2004-08-19,1.01,"Income, Qualified",Regular,Quarterly,1
66,2004-06-02,2004-05-06,2004-05-13,1.01,"Income, Qualified",Regular,Quarterly,8
67,2004-03-09,2004-02-12,2004-02-19,1.01,"Income, Qualified",Regular,Quarterly,40
68,2004-01-05,2003-11-13,2003-11-20,1.01,"Income, Qualified",Regular,Quarterly,2
69,2003-09-09,2003-08-14,2003-08-21,1.01,"Income, Qualified",Regular,Quarterly,18
70,2003-06-03,2003-05-07,2003-05-15,1.01,"Income, Qualified",Regular,Quarterly,0
71,2003-03-11,2003-02-13,2003-02-20,1.01,"Income, Qualified",Regular,Quarterly,21
72,2003-01-06,2002-11-13,2002-11-21,1.01,"Income, Qualified",Regular,Quarterly,0
73,2002-09-10,2002-08-14,2002-08-22,1.01,Income,Regular,Quarterly,-
74,2002-06-07,2002-05-15,2002-05-23,1.01,Income,Regular,Quarterly,0
