,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-01,2020-10-23,2020-11-12,0.32,"Income, Qualified",Regular,Quarterly,2
1,2020-09-01,2020-07-22,2020-08-13,0.32,"Income, Qualified",Regular,Quarterly,2
2,2020-06-02,2020-04-22,2020-05-13,0.32,"Income, Qualified",Regular,Quarterly,1
3,2020-03-03,2020-01-28,2020-02-13,0.32,"Income, Qualified",Regular,Quarterly,1
4,2019-12-03,2019-10-22,2019-11-14,0.32,"Income, Qualified",Regular,Quarterly,0
5,2019-09-03,2019-07-15,2019-08-15,0.32,"Income, Qualified",Regular,Quarterly,0
6,2019-06-04,2019-04-16,2019-05-16,0.32,"Income, Qualified",Regular,Quarterly,0
7,2019-03-05,2019-01-29,2019-02-14,0.32,"Income, Qualified",Regular,Quarterly,1
8,2018-12-04,2018-10-17,2018-11-15,0.32,"Income, Qualified",Regular,Quarterly,0
9,2018-09-04,2018-07-16,2018-08-16,0.32,"Income, Qualified",Regular,Quarterly,0
10,2018-06-05,2018-04-17,2018-05-17,0.32,"Income, Qualified",Regular,Quarterly,4
11,2018-03-06,2018-01-30,2018-02-15,0.32,"Income, Qualified",Regular,Quarterly,0
12,2017-12-05,2017-10-17,2017-11-16,0.32,"Income, Qualified",Regular,Quarterly,0
13,2017-09-05,2017-07-17,2017-08-16,0.32,"Income, Qualified",Regular,Quarterly,0
14,2017-06-06,2017-04-18,2017-05-17,0.32,"Income, Qualified",Regular,Quarterly,3
15,2017-03-07,2017-01-31,2017-02-15,0.32,"Income, Qualified",Regular,Quarterly,0
16,2016-12-06,2016-10-17,2016-11-16,0.32,"Income, Qualified",Regular,Quarterly,0
17,2016-09-06,2016-07-19,2016-08-17,0.32,"Income, Qualified",Regular,Quarterly,0
18,2016-06-07,2016-04-20,2016-05-11,0.32,"Income, Qualified",Regular,Quarterly,9
19,2016-03-01,2016-02-05,2016-02-17,0.32,"Income, Qualified",Regular,Quarterly,0
20,2015-12-01,2015-10-21,2015-11-10,0.32,"Income, Qualified",Regular,Quarterly,0
21,2015-09-01,2015-07-22,2015-08-12,0.32,"Income, Qualified",Regular,Quarterly,0
22,2015-06-02,2015-04-23,2015-05-13,0.32,"Income, Qualified",Regular,Quarterly,1
23,2015-03-03,2015-01-28,2015-02-11,0.32,"Income, Qualified",Regular,Quarterly,0
24,2014-12-02,2014-10-22,2014-11-12,0.32,"Income, Qualified",Regular,Quarterly,0
25,2014-09-03,2014-07-23,2014-08-13,0.32,"Income, Qualified",Regular,Quarterly,0
26,2014-06-03,2014-04-23,2014-05-14,0.32,"Income, Qualified",Regular,Quarterly,7
27,2014-03-04,2014-01-29,2014-02-12,0.32,"Income, Qualified",Regular,Quarterly,0
28,2013-12-03,2013-10-23,2013-11-13,0.32,"Income, Qualified",Regular,Quarterly,0
29,2013-09-04,2013-07-16,2013-08-14,0.32,"Income, Qualified",Regular,Quarterly,19
30,2013-06-04,2013-04-24,2013-05-15,0.32,"Income, Qualified",Regular,Quarterly,0
31,2013-03-05,2013-01-30,2013-02-13,0.32,"Income, Qualified",Regular,Quarterly,2
32,2012-12-04,2012-10-24,2012-11-14,0.32,"Income, Qualified",Regular,Quarterly,2
33,2012-09-04,2012-07-19,2012-08-15,0.32,"Income, Qualified",Regular,Quarterly,19
34,2012-06-05,2012-04-26,2012-05-16,0.32,"Income, Qualified",Regular,Quarterly,0
35,2012-03-06,2012-02-01,2012-02-15,0.32,"Income, Qualified",Regular,Quarterly,5
36,2011-12-06,2011-10-19,2011-11-16,0.32,"Income, Qualified",Regular,Quarterly,10
37,2011-09-07,2011-07-22,2011-08-17,0.32,"Income, Qualified",Regular,Quarterly,5
38,2011-06-07,2011-04-25,2011-05-18,0.32,"Income, Qualified",Regular,Quarterly,9
39,2011-03-01,2011-01-27,2011-02-09,0.32,"Income, Qualified",Regular,Quarterly,1
40,2010-12-07,2010-10-20,2010-11-17,0.32,"Income, Qualified",Regular,Quarterly,0
41,2010-09-01,2010-07-22,2010-08-11,0.32,"Income, Qualified",Regular,Quarterly,45
42,2010-06-02,2010-04-20,2010-05-12,0.32,"Income, Qualified",Regular,Quarterly,0
43,2010-03-02,2010-01-21,2010-02-10,0.32,"Income, Qualified",Regular,Quarterly,0
44,2009-12-01,2009-10-21,2009-11-12,0.32,"Income, Qualified",Regular,Quarterly,9
45,2009-09-01,2009-07-27,2009-08-12,0.32,"Income, Qualified",Regular,Quarterly,1
46,2009-06-02,2009-04-23,2009-05-13,0.32,"Income, Qualified",Regular,Quarterly,3
47,2009-03-03,2009-01-26,2009-02-11,0.32,"Income, Qualified",Regular,Quarterly,0
48,2008-12-02,2008-10-16,2008-11-12,0.32,"Income, Qualified",Regular,Quarterly,1
49,2008-08-29,2008-06-11,2008-08-13,0.32,"Initial, Qualified",Regular,Quarterly,0
50,1997-06-06,-,1997-05-20,0.32,Income,Unknown,-,-
