,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-01,2020-10-27,2020-11-05,0.1,"Income, Qualified",Regular,Quarterly,0
1,2020-09-01,2020-07-28,2020-08-06,0.1,"Income, Qualified",Regular,Quarterly,1
2,2020-06-01,2020-04-28,2020-05-07,0.1,"Income, Qualified",Regular,Quarterly,13
3,2020-03-01,2020-01-28,2020-02-06,0.1,"Income, Qualified",Regular,Quarterly,-
4,2019-12-01,2019-10-22,2019-11-07,0.1,"Income, Qualified",Regular,Quarterly,0
5,2019-09-01,2019-07-23,2019-08-08,0.1,"Income, Qualified",Regular,Quarterly,0
6,2019-06-01,2019-04-23,2019-05-09,0.1,"Income, Qualified",Regular,Quarterly,1
7,2019-03-01,2019-01-22,2019-01-31,0.1,"Income, Qualified",Regular,Quarterly,22
8,2018-12-01,2018-10-23,2018-11-08,0.1,"Income, Qualified",Regular,Quarterly,14
9,2018-09-01,2018-07-24,2018-08-09,0.1,"Income, Qualified",Regular,Quarterly,-
10,2018-06-01,2018-04-24,2018-05-03,0.1,"Income, Qualified",Regular,Quarterly,1
11,2018-03-01,2018-01-23,2018-02-01,0.1,"Income, Qualified",Regular,Quarterly,-
12,2017-12-01,2017-10-24,2017-11-02,0.1,"Income, Qualified",Regular,Quarterly,0
13,2017-09-01,2017-07-25,2017-08-02,0.1,"Income, Qualified",Regular,Quarterly,37
14,2017-06-01,2017-04-25,2017-05-03,0.1,"Income, Qualified",Regular,Quarterly,0
15,2017-03-01,2017-01-24,2017-02-01,0.1,"Income, Qualified",Regular,Quarterly,2
16,2016-12-01,2016-10-25,2016-11-02,0.1,"Income, Qualified",Regular,Quarterly,5
17,2016-09-01,2016-07-26,2016-08-03,0.1,"Income, Qualified",Regular,Quarterly,1
18,2016-06-01,2016-04-26,2016-05-04,0.1,"Income, Qualified",Regular,Quarterly,15
19,2016-03-01,2016-01-26,2016-02-03,0.1,"Income, Qualified",Regular,Quarterly,13
20,2015-12-01,2015-10-27,2015-11-04,0.1,"Income, Qualified",Regular,Quarterly,2
21,2015-09-01,2015-07-28,2015-08-05,0.1,"Income, Qualified",Regular,Quarterly,3
22,2015-06-01,2015-04-28,2015-05-06,0.1,"Income, Qualified",Regular,Quarterly,2
23,2015-03-01,2015-01-27,2015-02-04,0.1,"Income, Qualified",Regular,Quarterly,1
24,2014-12-01,2014-10-28,2014-11-05,0.1,"Income, Qualified",Regular,Quarterly,0
25,2014-09-01,2014-07-22,2014-08-06,0.1,"Income, Qualified",Regular,Quarterly,8
26,2014-06-01,2014-04-29,2014-05-07,0.1,"Income, Qualified",Regular,Quarterly,0
27,2014-03-01,2014-01-28,2014-02-05,0.1,"Income, Qualified",Regular,Quarterly,1
28,2013-12-01,2013-10-22,2013-11-06,0.1,"Income, Qualified",Regular,Quarterly,2
29,2013-09-01,2013-07-23,2013-08-07,0.1,"Income, Qualified",Regular,Quarterly,-
30,2013-06-01,2013-04-23,2013-05-08,0.1,"Income, Qualified",Regular,Quarterly,0
31,2013-03-01,2013-01-22,2013-01-30,0.1,"Income, Qualified",Regular,Quarterly,9
32,2012-12-01,2012-10-23,2012-11-07,0.1,"Income, Qualified",Regular,Quarterly,28
33,2012-09-01,2012-07-24,2012-08-08,0.1,"Income, Qualified",Regular,Quarterly,3
34,2012-06-01,2012-04-24,2012-05-02,0.1,"Income, Qualified",Regular,Quarterly,54
35,2012-03-30,2012-03-13,2012-03-22,0.1,"Special, Qualified",Special,Quarterly,-
36,2012-03-01,2012-01-24,2012-02-01,0.1,"Income, Qualified",Regular,Quarterly,0
37,2011-12-01,2011-10-25,2011-11-02,0.1,"Income, Qualified",Regular,Quarterly,0
38,2011-09-01,2011-07-26,2011-08-03,0.1,"Income, Qualified",Regular,Quarterly,0
39,2011-06-01,2011-04-20,2011-05-04,0.1,"Income, Qualified",Regular,Quarterly,-
