,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2021-09-07,2021-02-18,2021-08-12,0.55,"Income, Qualified",Regular,Quarterly,-
1,2021-06-01,2021-02-18,2021-05-06,0.55,"Income, Qualified",Regular,Quarterly,-
2,2021-04-05,2021-02-18,2021-03-18,0.55,"Income, Qualified",Regular,Quarterly,-
3,2021-01-04,2020-02-18,2020-12-10,0.55,"Income, Qualified",Regular,Quarterly,23
4,2020-09-08,2020-02-18,2020-08-13,0.55,"Income, Qualified",Regular,Quarterly,1
5,2020-06-01,2020-02-18,2020-05-07,0.55,"Income, Qualified",Regular,Quarterly,2
6,2020-04-06,2020-02-18,2020-03-19,0.55,"Income, Qualified",Regular,Quarterly,12
7,2020-01-02,2019-02-19,2019-12-05,0.55,"Income, Qualified",Regular,Quarterly,1
8,2019-09-03,2019-02-19,2019-08-08,0.55,"Income, Qualified",Regular,Quarterly,0
9,2019-06-03,2019-02-19,2019-05-09,0.55,"Income, Qualified",Regular,Quarterly,1
10,2019-04-01,2019-02-19,2019-03-14,0.55,"Income, Qualified",Regular,Quarterly,2
11,2019-01-02,2018-02-20,2018-12-06,0.55,"Income, Qualified",Regular,Quarterly,28
12,2018-09-04,2018-02-20,2018-08-09,0.55,"Income, Qualified",Regular,Quarterly,1
13,2018-06-04,2018-02-20,2018-05-10,0.55,"Income, Qualified",Regular,Quarterly,1
14,2018-04-02,2018-02-20,2018-03-08,0.55,"Income, Qualified",Regular,Quarterly,0
15,2018-01-02,2017-02-21,2017-12-07,0.55,"Income, Qualified",Regular,Quarterly,4
16,2017-09-05,2017-02-21,2017-08-09,0.55,"Income, Qualified",Regular,Quarterly,0
17,2017-06-05,2017-02-21,2017-05-10,0.55,"Income, Qualified",Regular,Quarterly,6
18,2017-04-03,2017-02-21,2017-03-08,0.55,"Income, Qualified",Regular,Quarterly,2
19,2017-01-03,2016-02-18,2016-12-07,0.55,"Income, Qualified",Regular,Quarterly,0
20,2016-09-06,2016-02-18,2016-08-10,0.55,"Income, Qualified",Regular,Quarterly,0
21,2016-06-06,2016-02-18,2016-05-11,0.55,"Income, Qualified",Regular,Quarterly,6
22,2016-04-04,2016-02-18,2016-03-09,0.55,"Income, Qualified",Regular,Quarterly,4
23,2016-01-04,2015-02-19,2015-12-02,0.55,"Income, Qualified",Regular,Quarterly,1
24,2015-09-08,2015-02-19,2015-08-05,0.55,"Income, Qualified",Regular,Quarterly,0
25,2015-06-01,2015-02-19,2015-05-06,0.55,"Income, Qualified",Regular,Quarterly,2
26,2015-04-06,2015-02-19,2015-03-11,0.55,"Income, Qualified",Regular,Quarterly,3
27,2015-01-05,2014-02-20,2014-12-03,0.55,"Income, Qualified",Regular,Quarterly,14
28,2014-09-03,2014-02-20,2014-08-06,0.55,"Income, Qualified",Regular,Quarterly,0
29,2014-06-02,2014-02-20,2014-05-07,0.55,"Income, Qualified",Regular,Quarterly,1
30,2014-04-01,2014-02-20,2014-03-07,0.55,"Income, Qualified",Regular,Quarterly,2
31,2014-01-02,2013-02-21,2013-12-04,0.55,"Income, Qualified",Regular,Quarterly,-
32,2013-09-03,2013-02-21,2013-08-07,0.55,"Income, Qualified",Regular,Quarterly,65
33,2013-06-03,2013-02-21,2013-05-08,0.55,"Income, Qualified",Regular,Quarterly,2
34,2013-04-01,2013-02-21,2013-03-08,0.55,"Income, Qualified",Regular,Quarterly,2
